报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,9.55亿,6.88%,10.33亿,20.59%,546.27亿,0.10%,0.3000,6.47,1.28,3.64,-4.27,2.43%,9.83%,4.71%,3.36%,187.92,4.09,44.02,143.90,1.09,0.95,0.47,6.58,82.90%
2024-03-31,5.57亿,9.60%,5.40亿,7.96%,290.36亿,0.37%,0.1800,6.43,1.30,3.61,-3.50,2.57%,8.53%,2.80%,1.94%,175.91,2.10,42.77,133.14,1.11,0.95,0.48,6.27,82.29%
2023-12-31,20.63亿,16.07%,17.08亿,5.31%,1093.85亿,10.34%,0.5900,6.23,1.30,3.43,-0.10,2.54%,11.35%,9.94%,7.19%,177.10,8.08,44.55,132.55,1.09,0.94,0.51,6.17,82.13%
2023-09-30,14.12亿,9.77%,13.75亿,11.53%,785.93亿,1.70%,0.4500,6.07,1.29,3.31,-5.28,2.47%,10.24%,7.74%,5.01%,191.64,5.80,46.57,145.08,1.11,0.94,0.51,6.28,82.23%
2023-06-30,8.94亿,7.27%,8.57亿,8.02%,545.73亿,3.36%,0.2800,5.90,1.29,3.13,-4.33,2.30%,9.64%,4.86%,3.45%,175.66,4.11,43.81,131.85,1.07,0.91,0.48,6.65,82.63%
2023-03-31,5.08亿,20.15%,5.00亿,20.60%,289.29亿,10.09%,0.1700,5.86,1.29,3.09,-3.86,2.42%,8.72%,2.91%,1.97%,161.47,2.13,42.17,119.30,1.07,0.90,0.48,6.57,82.45%
2022-12-31,17.77亿,15.96%,16.22亿,21.05%,991.38亿,18.42%,0.5700,5.64,1.29,2.92,-1.46,2.48%,10.07%,10.85%,6.99%,174.66,7.86,45.78,128.88,1.03,0.87,0.52,6.47,82.22%
2022-09-30,12.86亿,23.49%,12.33亿,24.22%,772.79亿,20.27%,0.4500,5.32,0.65,3.20,-5.43,2.31%,8.44%,8.81%,6.18%,169.17,6.42,42.03,127.14,1.04,0.88,0.51,7.88,84.17%
2022-06-30,8.33亿,49.43%,7.93亿,52.47%,528.00亿,24.11%,0.2600,5.09,0.65,3.02,-5.10,2.19%,8.29%,5.09%,4.09%,159.06,4.42,40.69,118.37,1.04,0.87,0.49,7.85,84.08%
2022-03-31,4.23亿,25.84%,4.14亿,26.97%,262.76亿,23.74%,0.1400,4.99,0.64,2.97,-4.27,2.28%,7.25%,2.76%,2.19%,156.38,2.06,43.73,112.65,1.03,0.83,0.47,7.89,83.95%
