报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,890.20万,-42.98%,-361.97万,-148.85%,7.09亿,1.02%,0.0232,2.19,0.21,0.57,-0.14,1.40%,11.58%,1.07%,1.06%,401.63,1.59,113.35,288.28,1.18,0.90,0.83,2.28,68.82%
2024-03-31,617.75万,-9.34%,-536.05万,-238.74%,2.65亿,2.79%,0.0161,2.18,0.21,0.57,0.06,2.41%,14.16%,0.74%,0.74%,516.81,0.60,151.11,365.71,1.43,1.13,1.03,2.65,71.99%
2023-12-31,2133.68万,-43.04%,2921.59万,35.08%,14.23亿,28.97%,0.0557,2.17,0.21,0.55,-0.09,1.74%,16.41%,2.60%,2.57%,337.29,3.82,94.26,243.03,1.29,1.05,0.95,2.50,70.79%
2023-09-30,2350.51万,-34.21%,1798.34万,-12.04%,10.60亿,54.56%,0.0613,2.17,0.21,0.56,-0.07,2.29%,12.81%,2.86%,2.82%,345.97,2.82,95.90,250.07,1.31,1.04,0.95,2.43,70.28%
2023-06-30,1561.10万,222.88%,741.02万,238.27%,7.01亿,54.63%,0.0407,2.15,0.21,0.54,0.04,2.21%,11.81%,1.91%,1.89%,334.06,1.91,94.38,239.68,1.41,1.10,0.98,2.15,67.75%
2023-03-31,681.37万,15.35%,386.38万,-23.77%,2.58亿,36.20%,0.0178,2.13,0.21,0.52,0.20,2.33%,15.29%,0.84%,0.83%,426.03,0.73,123.30,302.72,1.24,0.98,0.84,1.95,65.56%
2022-12-31,3745.66万,-43.37%,2162.91万,140.36%,11.03亿,29.35%,0.0977,2.11,0.21,0.50,0.12,3.71%,14.65%,4.73%,4.62%,343.49,3.76,95.86,247.63,1.22,0.99,0.82,2.01,66.27%
2022-09-30,3572.87万,-34.65%,2044.53万,135.01%,6.86亿,6.71%,0.0932,2.10,0.21,0.50,0.14,5.19%,13.31%,4.52%,4.43%,407.59,2.27,118.72,288.86,1.21,0.94,0.80,1.88,64.78%
2022-06-30,483.49万,-92.50%,219.06万,104.51%,4.54亿,0.65%,0.0126,2.02,0.21,0.42,0.16,1.05%,11.64%,0.62%,0.62%,385.18,1.84,97.68,287.49,1.24,1.03,0.90,1.67,62.45%
2022-03-31,590.68万,4.29%,506.85万,58.99%,1.90亿,12.44%,0.0154,2.03,0.21,0.43,0.26,3.07%,14.13%,0.76%,0.76%,450.79,0.76,118.56,332.23,1.42,1.17,1.00,1.53,60.40%
2021-12-31,6614.70万,31.21%,-5359.03万,-298.93%,8.53亿,-7.02%,0.1726,2.02,0.21,0.41,-0.17,7.87%,7.38%,8.96%,8.56%,428.12,2.58,139.34,288.79,1.37,1.14,0.98,1.77,63.86%
2021-09-30,5467.22万,71.66%,-5840.13万,-313.57%,6.43亿,-1.94%,0.1426,1.99,0.21,0.40,-0.50,8.49%,5.26%,7.46%,7.18%,455.02,1.88,143.31,311.71,1.30,1.06,0.87,1.94,65.96%
2021-06-30,6445.22万,160.97%,-4857.73万,-305.33%,4.51亿,-1.00%,0.1681,2.01,0.21,0.42,-0.33,14.28%,3.94%,8.74%,8.35%,436.59,1.23,146.74,289.86,1.33,1.02,0.81,1.82,64.56%
2021-03-31,566.37万,7.98%,318.79万,-29.20%,1.69亿,7.15%,0.0148,1.85,0.21,0.27,-0.35,3.32%,15.12%,0.80%,0.80%,610.16,0.38,236.10,374.06,1.22,0.89,0.69,2.27,69.41%
2020-12-31,5041.27万,-0.32%,2693.99万,-12.52%,9.17亿,1.40%,0.1315,1.84,0.21,0.26,-0.23,5.52%,19.34%,7.31%,7.15%,444.67,2.09,171.88,272.79,1.20,0.85,0.73,2.23,69.08%
2020-09-30,3184.98万,-21.23%,2734.57万,-17.99%,6.55亿,-7.18%,0.0831,1.79,0.21,0.22,-0.28,4.90%,18.54%,4.66%,4.64%,488.68,1.60,168.28,320.40,1.19,0.88,0.79,2.29,69.56%
2020-06-30,2469.71万,-20.13%,2365.84万,-6.36%,4.55亿,-0.40%,0.0644,1.77,0.21,0.20,-0.31,5.45%,20.03%,3.62%,3.64%,467.84,1.12,160.26,307.59,1.16,0.84,0.80,2.08,67.51%
2020-03-31,524.53万,-38.44%,450.28万,-12.78%,1.57亿,-4.41%,0.0137,1.76,0.21,0.19,-0.19,3.32%,17.55%,0.78%,0.78%,623.88,0.41,218.29,405.59,1.16,0.84,0.80,2.02,66.93%
2019-12-31,5057.51万,142.69%,3079.48万,140.67%,9.05亿,17.65%,0.1319,1.75,0.21,0.18,-0.07,5.59%,24.32%,7.88%,7.55%,393.73,2.30,156.45,237.28,1.15,0.83,0.78,2.01,66.74%
2019-09-30,4043.15万,274.54%,3334.28万,440.50%,7.06亿,81.29%,0.1055,1.71,0.20,0.16,-0.06,5.73%,23.10%,6.35%,6.16%,375.45,1.54,175.29,200.16,1.25,0.72,0.67,2.01,66.81%
2019-06-30,3092.14万,444.54%,2526.66万,287.48%,4.57亿,110.49%,0.0807,1.69,0.20,0.14,0.15,6.76%,23.46%,4.89%,4.78%,360.62,1.06,169.32,191.31,1.29,0.74,0.67,1.74,63.47%
2019-03-31,852.10万,154.81%,516.28万,129.80%,1.65亿,144.53%,0.0222,1.63,0.20,0.08,0.37,5.18%,23.52%,1.37%,1.36%,478.05,0.40,222.66,255.39,1.04,0.65,0.60,1.91,65.67%
2018-12-31,2083.97万,123.81%,1279.57万,112.53%,7.69亿,181.14%,0.0544,1.61,0.20,0.06,-0.0100,2.71%,21.84%,3.44%,3.38%,361.90,2.84,126.90,235.00,1.03,0.69,0.64,1.72,63.24%
2018-09-30,1079.51万,126.52%,-979.22万,81.77%,3.89亿,69.51%,0.0282,1.58,0.20,0.04,0.0094,2.77%,18.18%,1.80%,1.78%,526.97,1.39,193.72,333.25,1.02,0.63,0.63,1.60,61.50%
2018-06-30,567.85万,116.91%,-1347.69万,71.08%,2.17亿,98.71%,0.0148,1.57,0.20,0.02,-0.05,2.62%,17.59%,0.95%,0.94%,625.52,0.84,213.90,411.62,1.01,0.63,0.63,1.48,59.67%
2018-03-31,-1554.56万,37.93%,-1732.23万,35.07%,6729.70万,40.27%,-0.0406,1.51,0.20,-0.03,0.13,-23.10%,14.94%,-2.64%,-2.68%,939.22,0.33,275.99,663.23,0.93,0.71,0.71,1.89,65.38%
2017-12-31,-8751.50万,51.70%,-1.02亿,47.64%,2.73亿,3.23%,-0.2283,1.55,0.20,0.0093,0.48,-32.00%,6.71%,-13.69%,-14.69%,1048.69,1.28,281.76,766.94,0.94,0.76,0.76,1.77,63.93%
2017-09-30,-4070.10万,50.64%,-5370.66万,38.80%,2.30亿,5.03%,-0.1062,1.68,0.20,0.13,0.29,-17.72%,13.64%,-6.14%,-6.33%,994.87,0.88,305.74,689.13,0.99,0.77,0.77,1.55,60.78%
2017-06-30,-3358.84万,26.19%,-4660.79万,5.55%,1.09亿,-34.47%,-0.0876,1.70,0.20,0.15,0.20,-30.74%,10.93%,-5.04%,-5.17%,1443.00,0.38,471.08,971.92,0.97,0.70,0.70,1.58,61.29%
2017-03-31,-2504.65万,3.26%,-2667.71万,5.08%,4797.66万,-34.37%,-0.0653,1.72,0.20,0.17,0.19,-52.21%,14.27%,-3.73%,-3.81%,1687.79,0.17,530.97,1156.81,1.27,0.88,0.88,1.66,62.46%
2016-12-31,-1.81亿,-1398.89%,-1.95亿,-264.95%,2.65亿,-65.02%,-0.4726,1.78,0.20,0.24,0.67,-68.40%,5.08%,-23.46%,-26.52%,1517.05,0.92,391.35,1125.70,1.59,1.24,1.24,1.80,64.32%
2016-09-30,-8245.51万,-232.88%,-8776.06万,-129.49%,2.19亿,-50.59%,-0.2151,2.04,0.20,0.50,0.44,-37.70%,8.67%,-10.03%,-10.56%,1476.56,0.72,374.06,1102.49,1.75,1.36,1.36,1.55,60.81%
2016-06-30,-4550.80万,-2236.90%,-4934.68万,-5020.21%,1.67亿,-52.56%,-0.1187,2.13,0.20,0.59,0.30,-27.29%,11.90%,-5.42%,-5.57%,1380.35,0.51,350.60,1029.75,1.62,1.30,1.30,1.74,63.47%
2016-03-31,-2588.95万,-2070.84%,-2810.39万,-14678.40%,7310.34万,-62.76%,-0.0675,2.18,0.20,0.64,0.31,-35.42%,20.19%,-3.05%,-3.09%,1664.30,0.20,443.13,1221.17,1.26,1.02,1.02,1.90,65.51%
2015-12-31,1394.87万,-38.16%,-5343.62万,-528.32%,7.57亿,-28.49%,0.0364,2.25,0.20,0.71,-0.18,1.84%,18.28%,1.62%,1.62%,711.62,1.79,201.64,509.99,1.11,0.92,0.92,1.90,65.52%
2015-09-30,-2477.05万,-558.49%,-3824.12万,-85369.54%,4.43亿,-36.76%,-0.0646,2.15,0.20,0.61,-0.13,-5.60%,18.27%,-2.94%,-3.00%,970.16,0.84,320.97,649.19,1.05,0.75,0.75,2.03,67.04%
2015-06-30,212.96万,165.44%,-96.38万,85.86%,3.52亿,-20.37%,0.0056,2.24,0.20,0.70,-0.20,0.61%,20.46%,0.25%,0.25%,856.12,0.61,293.97,562.15,1.07,0.75,0.75,1.98,66.41%
2015-03-31,131.36万,111.04%,-19.02万,98.59%,1.96亿,28.69%,0.0034,2.24,0.20,0.70,0.02,0.67%,23.54%,0.15%,0.15%,781.74,0.33,272.98,508.76,1.21,0.89,0.89,2.31,69.79%
2014-12-31,2255.45万,125.63%,1247.59万,113.16%,10.59亿,20.39%,0.0588,2.23,0.20,0.70,0.69,2.13%,23.28%,2.67%,2.63%,580.76,1.74,207.43,373.33,1.24,0.95,0.95,2.06,67.27%
2014-09-30,540.26万,116.27%,4.48万,100.11%,7.00亿,-2.61%,0.0141,2.19,0.20,0.66,0.71,0.77%,22.50%,0.65%,0.64%,649.24,1.06,254.62,394.62,1.24,0.85,0.85,2.05,67.25%
2014-06-30,-325.44万,86.35%,-681.80万,75.84%,4.41亿,-13.65%,-0.0085,2.17,0.20,0.64,0.43,-0.74%,23.98%,-0.39%,-0.39%,684.40,0.67,269.18,415.22,1.23,0.88,0.88,2.09,67.62%
2014-03-31,-1189.35万,-490.20%,-1346.65万,-174.87%,1.53亿,-31.49%,-0.0310,2.14,0.20,0.62,0.20,-7.80%,24.61%,-1.44%,-1.45%,1002.99,0.22,413.98,589.01,1.04,0.72,0.72,2.22,68.91%
2013-12-31,-8799.80万,-518.23%,-9482.94万,-2527.40%,8.80亿,-7.32%,-0.2296,2.17,0.20,0.65,0.21,-10.00%,16.23%,-10.00%,-10.56%,712.73,1.39,259.22,453.51,1.04,0.73,0.73,2.27,69.40%
2013-09-30,-3319.64万,-730.97%,-3939.78万,-1907.21%,7.19亿,4.16%,-0.0866,2.32,0.20,0.79,0.03,-4.62%,16.65%,-3.65%,-3.74%,667.66,1.12,240.92,426.74,1.07,0.74,0.74,2.15,68.23%
2013-06-30,-2384.56万,-934.92%,-2822.55万,-9055.88%,5.11亿,2.11%,-0.0622,2.34,0.20,0.82,0.12,-4.66%,15.15%,-2.61%,-2.66%,619.43,0.82,219.43,400.00,1.08,0.75,0.75,2.18,68.56%
2013-03-31,-201.51万,13.38%,-489.92万,-76.45%,2.23亿,-2.28%,-0.0053,2.42,0.20,0.89,0.30,-0.91%,18.75%,-0.22%,-0.22%,716.00,0.34,265.10,450.90,1.09,0.76,0.76,2.11,67.80%
2012-12-31,2104.04万,110.80%,390.66万,101.95%,9.49亿,12.76%,0.0549,2.42,0.20,0.90,-0.05,2.22%,19.89%,2.29%,2.27%,667.54,1.39,259.33,408.21,1.16,0.83,0.83,2.11,67.85%
2012-09-30,526.12万,-21.59%,218.00万,-41.92%,6.90亿,0.56%,0.0137,2.38,0.20,0.87,-0.22,0.76%,17.42%,0.58%,0.58%,686.96,1.01,267.96,418.99,1.20,0.80,0.80,1.97,66.36%
2012-06-30,285.60万,-43.52%,31.52万,-84.33%,5.01亿,-6.71%,0.0075,2.37,0.20,0.86,-0.27,0.57%,16.27%,0.31%,0.31%,625.93,0.72,248.41,377.52,1.24,0.85,0.85,2.04,67.16%
2012-03-31,-232.65万,-154.46%,-277.65万,False,2.28亿,-13.43%,-0.0061,2.36,0.20,0.85,-0.11,-1.02%,16.56%,-0.26%,-0.26%,671.34,0.34,265.57,405.77,1.26,0.91,0.91,2.19,68.65%
2011-12-31,-1.95亿,-280.04%,-2.00亿,-301.09%,8.42亿,-38.52%,-0.5084,2.37,0.20,0.85,-0.08,-23.15%,8.59%,-19.40%,-21.49%,706.24,1.47,244.17,462.07,1.15,0.77,0.77,2.00,66.66%
2011-09-30,670.96万,-93.34%,375.33万,-96.20%,6.86亿,-37.72%,0.0175,2.89,0.20,1.38,0.0100,0.98%,16.48%,0.61%,0.61%,694.89,1.06,254.57,440.31,1.40,0.92,0.92,1.52,60.32%
2011-06-30,505.67万,-93.61%,201.18万,-97.40%,5.37亿,-25.96%,0.0132,2.89,0.20,1.37,0.13,0.94%,14.97%,0.46%,0.46%,582.60,0.87,207.21,375.39,1.40,0.96,0.96,1.49,59.83%
2011-03-31,427.19万,-91.08%,False,False,2.63亿,-16.71%,0.0111,2.89,0.20,1.37,0.06,1.62%,16.64%,0.39%,0.39%,587.88,0.45,199.12,388.77,1.08,0.74,0.74,1.78,64.07%
2010-12-31,1.08亿,-23.60%,9943.21万,-25.17%,13.69亿,29.56%,0.2823,2.87,0.20,1.36,-0.57,7.91%,20.36%,10.13%,9.82%,434.89,3.22,111.87,323.01,1.08,0.77,0.77,1.84,64.80%
2010-09-30,1.01亿,-53.24%,9874.75万,-50.99%,11.02亿,9.47%,0.2629,2.86,0.20,1.37,-1.21,9.15%,24.52%,9.47%,9.21%,436.46,2.63,102.51,333.95,1.07,0.75,0.75,2.14,68.10%
2010-06-30,7913.04万,-43.33%,7730.92万,-49.95%,7.25亿,-3.81%,0.2064,2.80,0.20,1.31,-1.19,10.92%,26.14%,7.51%,7.38%,422.49,2.02,88.91,333.58,1.10,0.83,0.83,1.87,65.12%
2010-03-31,4789.06万,-17.62%,4637.39万,-31.81%,3.16亿,-12.85%,0.1249,2.83,0.20,1.34,-0.42,15.16%,32.30%,4.52%,4.42%,470.90,0.93,96.68,374.22,1.12,0.88,0.88,1.64,62.08%
2009-12-31,1.42亿,-48.84%,1.33亿,-52.47%,10.57亿,-29.75%,0.3700,2.70,0.20,1.21,-0.18,13.41%,28.44%,14.60%,13.69%,438.40,4.45,80.90,357.50,1.09,0.93,0.93,1.77,63.90%
2009-09-30,2.16亿,2.59%,2.01亿,25.31%,10.06亿,0.34%,0.5622,3.04,0.20,1.56,-0.90,23.67%,29.98%,0.0000%,20.37%,352.62,6.80,39.68,312.93,1.26,1.14,1.14,1.43,58.91%
2009-06-30,1.40亿,-14.11%,1.54亿,36.34%,7.54亿,0.19%,0.3640,2.83,0.20,1.36,-0.47,21.22%,30.55%,15.77%,14.86%,311.76,4.91,36.66,275.10,1.27,1.17,1.17,1.35,57.40%
2009-03-31,5813.44万,-0.68%,6800.26万,31.89%,3.63亿,13.93%,0.1517,3.16,0.24,1.59,-0.67,18.71%,30.57%,0.0000%,6.72%,311.15,2.12,42.41,268.74,1.31,1.14,1.14,1.36,57.55%
2008-12-31,2.77亿,17.55%,2.80亿,29.31%,15.04亿,22.36%,0.7220,2.94,0.24,1.39,0.99,21.18%,26.02%,40.56%,33.55%,235.44,8.57,42.02,193.42,1.34,1.14,1.14,1.14,53.33%
2008-09-30,2.10亿,48.60%,1.61亿,17.58%,10.03亿,20.30%,0.5480,2.61,0.23,1.13,0.24,20.94%,26.03%,0.0000%,25.24%,270.27,5.84,46.20,224.07,1.33,1.11,1.11,1.27,55.90%
2008-06-30,1.63亿,86.12%,1.13亿,29.88%,7.52亿,48.93%,0.4240,2.46,0.23,0.98,-0.72,21.62%,24.39%,22.98%,20.72%,270.87,5.09,35.36,235.51,1.33,1.16,1.16,1.49,59.89%
2008-03-31,5853.10万,182.59%,5156.15万,147.24%,3.18亿,47.73%,0.1832,2.80,0.30,1.19,-1.45,18.39%,28.42%,False,8.49%,289.60,2.07,43.43,246.17,1.32,1.09,1.09,1.38,57.97%
2007-12-31,2.36亿,118.98%,2.16亿,132.71%,12.29亿,44.99%,0.7375,2.57,0.30,0.95,0.93,19.16%,24.19%,41.93%,37.36%,238.91,8.16,44.14,194.77,1.26,1.08,1.08,1.67,62.55%
2007-09-30,1.41亿,230.28%,1.37亿,254.09%,8.34亿,64.48%,0.4425,2.18,0.30,0.62,0.77,17.26%,26.43%,False,26.38%,268.79,4.35,62.04,206.75,1.20,0.97,0.97,2.17,66.68%
