报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
2024-06-30,2.01亿,20.31%,1.97亿,26.44%,11.99亿,14.62%,0.0400,3.03,1.35,0.08,0.18,14.97%,1.44%,1.43%,2.77,73.17%
2024-03-31,1.31亿,85.53%,1.27亿,98.49%,6.44亿,38.93%,0.0300,3.02,1.35,0.08,0.16,19.29%,0.94%,0.93%,2.48,70.88%
2023-12-31,2.12亿,98.54%,1.96亿,117.07%,19.68亿,4.62%,0.0500,2.99,1.35,0.05,-0.10,10.28%,1.53%,1.52%,2.70,72.63%
2023-09-30,2.08亿,103.12%,1.95亿,124.15%,14.77亿,2.03%,0.0400,3.00,1.35,0.08,-0.26,13.66%,1.50%,1.49%,2.76,73.08%
2023-06-30,1.67亿,233.35%,1.56亿,219.31%,10.46亿,32.77%,0.0400,2.99,1.35,0.07,-0.12,15.66%,1.21%,1.21%,3.04,74.89%
2023-03-31,7049.73万,282.45%,6380.06万,364.58%,4.64亿,19.31%,0.0200,2.98,1.36,0.06,-0.41,14.28%,0.51%,0.51%,2.86,73.50%
2022-12-31,1.07亿,-79.23%,9023.44万,-81.60%,18.81亿,-57.45%,0.0200,2.96,1.36,0.05,0.43,5.72%,0.78%,0.77%,2.61,71.69%
2022-09-30,1.02亿,-79.40%,8683.51万,-82.38%,14.48亿,-58.33%,0.0200,2.96,1.36,0.06,-0.17,6.58%,0.75%,0.74%,2.47,70.49%
2022-06-30,-1.25亿,-154.79%,-1.31亿,-159.14%,7.88亿,-66.28%,-0.0300,2.90,1.36,0.02,0.57,-16.56%,-0.92%,-0.93%,3.02,74.51%
2022-03-31,1843.29万,-84.76%,1373.29万,-88.37%,3.88亿,-63.90%,0.0040,2.95,1.36,0.07,-0.23,3.39%,0.13%,0.13%,2.92,73.83%
2021-12-31,5.13亿,392.04%,4.90亿,412.27%,44.21亿,42.46%,0.1100,2.95,1.36,0.06,-0.21,12.46%,3.78%,3.75%,2.89,73.68%
2021-09-30,4.97亿,472.61%,4.93亿,500.73%,34.74亿,57.30%,0.1100,2.97,1.36,0.11,-0.18,14.51%,3.66%,3.60%,2.92,73.40%
2021-06-30,2.29亿,642.16%,2.21亿,684.39%,23.36亿,86.89%,0.0500,2.91,1.36,0.05,-0.28,9.95%,1.70%,1.69%,2.96,73.63%
2021-03-31,1.21亿,280.20%,1.18亿,271.23%,10.76亿,146.45%,0.0300,2.91,1.36,0.05,0.02,11.75%,0.90%,0.90%,2.93,73.41%
2020-12-31,1.04亿,79.14%,9572.24万,399.65%,31.03亿,30.80%,0.0200,2.88,1.36,0.02,0.30,3.29%,0.93%,0.78%,2.86,72.91%
2020-09-30,8675.18万,-70.13%,8204.60万,-69.18%,22.08亿,11.24%,0.0200,2.88,1.36,0.04,0.27,4.42%,0.82%,0.65%,2.54,70.55%
2020-06-30,3085.08万,-87.14%,2819.16万,-88.10%,12.50亿,-2.89%,0.0100,2.51,0.90,0.03,0.79,2.69%,0.32%,0.32%,3.83,77.90%
2020-03-31,-6712.48万,-136.88%,-6895.59万,-138.17%,4.37亿,-33.66%,-0.0200,2.48,0.90,0.0055,0.31,-13.63%,-0.70%,-0.70%,3.80,77.77%
2019-12-31,5822.27万,-11.50%,1915.80万,-60.29%,23.73亿,43.82%,0.0200,2.50,0.90,0.02,0.90,3.16%,0.59%,0.60%,3.42,75.91%
2019-09-30,2.90亿,113.81%,2.66亿,110.37%,19.85亿,56.36%,0.0800,2.58,0.90,0.14,0.64,16.49%,2.91%,2.91%,3.38,75.68%
2019-06-30,2.40亿,64.63%,2.37亿,74.82%,12.87亿,48.76%,0.0600,2.63,0.97,0.12,0.93,21.82%,2.38%,2.35%,3.31,74.53%
2019-03-31,1.82亿,78.78%,1.81亿,91.86%,6.58亿,46.10%,0.0500,2.62,0.97,0.11,0.88,31.65%,1.81%,1.80%,3.66,76.40%
2018-12-31,6578.76万,-85.12%,4824.38万,-89.04%,16.50亿,-23.19%,0.0200,2.57,0.97,0.06,0.41,5.81%,0.66%,0.66%,3.10,73.25%
2018-09-30,1.36亿,-61.82%,1.27亿,-64.98%,12.70亿,-19.18%,0.0300,2.60,0.97,0.10,-0.28,14.24%,1.34%,1.35%,3.25,74.12%
2018-06-30,1.46亿,9.27%,1.36亿,-3.52%,8.65亿,2.73%,0.0400,2.60,0.97,0.10,-0.16,18.18%,1.43%,1.45%,3.44,75.32%
2018-03-31,1.02亿,1.75%,9416.10万,-4.93%,4.51亿,6.43%,0.0300,2.61,0.98,0.13,-0.10,26.71%,1.00%,0.99%,2.99,72.67%
2017-12-31,4.42亿,-38.50%,4.40亿,-33.85%,21.48亿,6.91%,0.1100,2.59,0.98,0.10,-1.06,24.27%,4.24%,4.35%,2.87,71.84%
2017-09-30,3.56亿,-35.29%,3.61亿,-31.82%,15.71亿,-1.21%,0.0900,2.65,0.98,0.20,-0.72,26.12%,3.38%,3.43%,2.78,71.26%
2017-06-30,1.33亿,-56.44%,1.40亿,-50.82%,8.42亿,-12.51%,0.0300,2.59,0.97,0.14,0.09,19.94%,1.27%,1.31%,2.95,72.40%
2017-03-31,1.00亿,-21.10%,9904.32万,-16.03%,4.23亿,-1.43%,0.0300,2.71,0.98,0.25,-0.62,27.12%,0.94%,0.94%,2.60,69.57%
2016-12-31,7.19亿,-48.87%,6.65亿,-52.41%,20.09亿,-49.38%,0.2200,2.70,0.98,0.23,-0.69,36.84%,8.89%,6.79%,2.73,71.41%
2016-09-30,5.50亿,-56.24%,5.30亿,-57.61%,15.90亿,-49.48%,0.1700,False,False,False,False,35.42%,False,6.85%,3.98,78.35%
2016-06-30,3.06亿,-69.75%,2.86亿,False,9.63亿,-59.66%,0.1000,2.41,0.58,0.32,-0.27,32.66%,3.73%,3.94%,4.05,78.58%
2016-03-31,1.27亿,False,1.18亿,False,4.29亿,False,0.0400,False,False,False,False,29.25%,1.54%,False,False,False
2015-12-31,14.06亿,149.96%,13.98亿,156.45%,40.04亿,121.45%,0.4900,2.53,0.58,0.43,-0.33,35.02%,20.54%,17.22%,4.02,78.69%
2015-09-30,12.56亿,218.18%,12.51亿,234.30%,31.48亿,175.73%,False,False,False,False,False,39.92%,False,False,False,False
2015-06-30,10.12亿,463.78%,False,False,23.87亿,307.79%,0.3800,False,0.19,0.83,False,42.52%,False,False,6.97,86.56%
2014-12-31,5.62亿,122.31%,5.45亿,130.37%,18.08亿,55.18%,0.2400,2.20,0.19,0.56,1.01,30.42%,11.41%,9.72%,3.87,79.28%
2014-09-30,3.95亿,60.20%,3.74亿,False,11.42亿,31.80%,0.1800,2.13,0.19,0.58,0.32,33.45%,8.48%,7.05%,2.79,73.39%
2014-06-30,1.80亿,28.36%,False,False,5.85亿,7.01%,0.0900,False,0.19,0.50,False,29.45%,False,False,1.90,65.26%
2013-12-31,2.53亿,38.38%,2.37亿,33.35%,11.65亿,15.61%,0.1200,2.01,0.0001,0.55,-0.43,20.46%,6.40%,6.18%,2.32,69.41%
2013-09-30,2.46亿,False,False,False,8.66亿,False,0.1200,False,-0.0100,0.59,False,27.44%,False,False,2.00,66.26%
2013-06-30,1.40亿,False,False,False,5.47亿,False,0.0700,False,False,False,False,24.50%,False,False,False,False
2012-12-31,1.83亿,72.51%,1.77亿,211.96%,10.08亿,41.94%,0.0900,1.88,-0.0081,0.47,0.10,18.18%,4.90%,4.78%,1.93,65.74%
2011-12-31,1.06亿,-77.83%,5688.55万,False,7.10亿,-47.23%,0.0500,1.78,-0.02,0.43,-2.39,14.95%,2.53%,2.88%,2.00,66.56%
2010-12-31,4.78亿,-44.85%,False,False,13.46亿,-27.62%,0.2400,False,0.0007,0.59,False,35.54%,False,False,2.39,70.49%
2009-12-31,8.67亿,705.30%,False,False,18.59亿,286.19%,0.4300,False,0.0001,0.43,False,46.61%,False,False,2.97,74.74%
2008-12-31,1.08亿,-90.15%,False,False,4.81亿,-79.37%,False,False,-0.02,0.14,False,22.56%,False,False,1.82,64.48%
2007-12-31,10.93亿,455.16%,False,False,23.34亿,338.37%,False,False,0.15,0.77,False,46.56%,False,False,3.57,78.04%
2006-12-31,1.97亿,False,False,False,5.31亿,False,False,False,0.0002,0.04,False,37.09%,False,False,2.77,73.50%
