报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,1036.44万,-43.89%,1089.28万,-36.68%,3.68亿,-6.80%,0.0500,2.90,1.32,0.66,-0.43,2.80%,21.88%,1.75%,1.78%,374.00,2.39,75.44,298.56,0.95,0.78,0.77,1.90,65.19%
2024-03-31,990.21万,260.33%,1149.85万,377.97%,1.67亿,30.42%,0.0500,2.99,1.30,0.75,-0.19,5.92%,23.20%,1.63%,1.65%,391.86,1.20,75.29,316.57,0.96,0.83,0.82,2.14,67.85%
2023-12-31,4317.66万,113.55%,3960.70万,119.56%,9.81亿,46.61%,0.2100,3.00,1.39,0.70,0.50,4.85%,18.38%,7.26%,7.16%,243.15,8.20,43.89,199.26,0.96,0.84,0.83,2.17,68.16%
2023-09-30,3505.18万,117.31%,3699.79万,282.51%,6.72亿,15.91%,0.1700,3.06,1.39,0.66,-0.04,5.24%,19.59%,5.84%,5.70%,295.42,4.01,67.34,228.08,0.94,0.76,0.70,2.13,68.17%
2023-06-30,1847.12万,109.75%,1720.36万,322.20%,3.95亿,19.05%,0.0900,2.97,1.36,0.57,0.10,4.88%,18.81%,3.12%,3.10%,307.00,2.48,72.54,234.47,0.97,0.78,0.72,1.97,64.98%
2023-03-31,-617.60万,97.00%,-413.66万,63.00%,1.28亿,6.14%,-0.0300,2.87,1.36,0.45,0.03,-5.79%,15.19%,-1.05%,-1.07%,457.70,1.01,89.00,368.70,0.93,0.81,0.75,2.22,67.66%
2022-12-31,-3.19亿,-1590.67%,-2.02亿,-1292.58%,6.69亿,-41.48%,-1.5900,2.89,1.36,0.48,0.58,-49.49%,-2.53%,-39.62%,-54.78%,353.27,6.41,56.17,297.10,0.94,0.82,0.77,2.42,69.47%
2022-09-30,-2.03亿,-1181.10%,-2027.15万,-219.83%,5.79亿,-13.32%,-1.0100,3.58,1.36,1.06,0.38,-34.60%,12.13%,-23.18%,-28.19%,363.26,3.97,67.99,295.28,1.04,0.91,0.85,2.36,68.52%
2022-06-30,-1.89亿,-789.58%,-774.24万,-129.85%,3.32亿,-23.44%,-0.9400,3.76,1.36,1.13,0.43,-56.52%,17.39%,-21.83%,-25.08%,385.05,1.86,96.87,288.18,1.04,0.88,0.74,2.22,67.49%
2022-03-31,-2.06亿,-9666.77%,-1117.86万,-590.11%,1.20亿,-36.66%,-1.0300,3.80,1.36,1.10,0.02,-173.17%,12.11%,-23.82%,-26.96%,563.90,0.69,130.38,433.53,1.06,0.90,0.76,2.31,68.50%
2021-12-31,2138.00万,-14.23%,1697.94万,-9.48%,11.43亿,22.19%,0.1100,4.82,1.36,2.13,0.25,2.71%,17.34%,2.19%,2.21%,224.87,7.92,45.45,179.43,1.08,0.96,0.83,1.81,63.23%
2021-09-30,1873.36万,-7.03%,1691.68万,-4.96%,6.68亿,9.19%,0.0900,4.81,1.36,2.11,-0.0100,2.99%,19.25%,1.90%,1.94%,304.71,4.25,63.57,241.14,1.11,0.98,0.74,1.72,62.34%
2021-06-30,2748.03万,-13.65%,2593.88万,-13.42%,4.34亿,-1.67%,0.1400,4.95,1.36,2.15,0.41,6.70%,22.06%,2.77%,2.76%,298.83,2.67,67.50,231.33,1.15,1.01,0.86,1.48,59.46%
2021-03-31,215.40万,46.68%,228.09万,100.83%,1.90亿,12.96%,0.0100,4.89,1.36,2.10,0.18,0.99%,17.81%,0.22%,0.22%,334.41,1.17,77.12,257.29,1.10,0.95,0.84,1.69,62.55%
2020-12-31,2492.82万,-42.70%,1875.73万,-43.07%,9.36亿,-33.54%,0.1200,4.87,1.36,2.08,0.27,2.88%,22.63%,2.56%,2.55%,330.81,4.97,72.43,258.38,1.07,0.94,0.79,1.68,62.38%
