报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,8000.39万,-48.69%,6461.63万,-57.97%,17.62亿,1.31%,0.3000,8.14,5.39,1.77,1.23,4.80%,21.84%,3.68%,3.67%,335.52,0.84,215.00,120.51,1.46,0.74,0.73,1.29,54.61%
2024-03-31,2595.47万,-63.69%,1544.67万,-78.05%,8.50亿,-20.91%,0.1000,8.07,5.39,1.70,0.21,3.67%,20.86%,1.21%,1.20%,338.80,0.41,217.65,121.15,1.42,0.74,0.74,1.34,55.54%
2023-12-31,9501.82万,-44.59%,8650.70万,-44.27%,30.87亿,-18.46%,0.3600,7.97,5.37,1.60,0.53,3.08%,21.62%,4.55%,4.44%,403.47,1.47,245.72,157.76,1.45,0.70,0.69,1.15,51.69%
2023-09-30,1.20亿,62.83%,1.15亿,64.05%,23.30亿,-17.87%,0.4500,8.04,5.34,1.73,0.20,5.16%,22.72%,5.88%,5.58%,398.74,1.08,251.16,147.58,1.41,0.66,0.66,1.07,51.81%
2023-06-30,1.56亿,278.81%,1.54亿,270.79%,17.40亿,21.24%,0.5900,8.14,5.31,1.86,0.67,8.96%,23.40%,7.66%,7.15%,368.75,0.79,228.25,140.49,1.38,0.70,0.70,1.20,54.55%
2023-03-31,7147.25万,166.64%,7036.37万,164.56%,10.74亿,124.98%,0.2700,7.68,5.12,1.58,0.44,6.65%,22.56%,3.63%,3.55%,311.66,0.50,181.34,130.32,1.27,0.69,0.69,1.55,60.81%
2022-12-31,1.71亿,154.93%,1.55亿,389.33%,37.86亿,29.66%,0.6700,7.36,5.07,1.31,0.22,4.53%,18.66%,9.37%,8.90%,287.03,2.09,171.99,115.05,1.23,0.64,0.64,1.72,63.19%
2022-09-30,7386.67万,81.92%,7006.76万,459.35%,28.37亿,38.34%,0.2900,7.13,5.05,0.97,-0.18,2.60%,15.20%,4.15%,4.06%,266.96,1.69,159.41,107.55,1.22,0.62,0.62,1.80,64.26%
2022-06-30,-8720.38万,-242.34%,-9001.86万,-365.50%,14.35亿,-1.60%,-0.3400,6.49,5.03,0.34,-0.13,-6.08%,12.06%,-5.13%,-5.26%,298.16,0.94,192.12,106.03,1.19,0.52,0.52,1.62,61.89%
2022-03-31,-1.07亿,-489.52%,-1.09亿,-559.25%,4.77亿,-38.15%,-0.4200,6.42,5.01,0.26,0.08,-22.46%,5.53%,-6.34%,-6.54%,390.72,0.34,260.95,129.78,1.19,0.41,0.41,1.34,57.21%
2021-12-31,6725.98万,125.26%,3172.00万,111.17%,29.20亿,7.78%,0.2700,6.91,4.98,0.69,-0.25,2.30%,19.78%,3.95%,3.86%,258.33,2.03,177.45,80.88,1.25,0.56,0.56,1.21,54.71%
2021-09-30,4060.50万,132.31%,1252.65万,108.47%,20.51亿,-3.46%,0.1600,6.78,4.96,0.63,-0.87,1.98%,20.19%,2.40%,2.37%,270.98,1.43,188.23,82.75,1.34,0.56,0.56,1.15,53.58%
2021-06-30,6126.36万,206.77%,3390.47万,146.18%,14.58亿,2.40%,0.2400,6.85,4.95,0.71,-0.12,4.20%,21.84%,3.61%,3.54%,248.24,1.04,172.30,75.95,1.32,0.58,0.58,1.12,52.78%
2021-03-31,2753.35万,146.68%,2373.19万,139.13%,7.72亿,35.61%,0.1100,6.72,4.94,0.58,-0.52,3.57%,22.99%,1.41%,1.62%,234.56,0.54,166.27,68.30,1.25,0.52,0.52,1.18,54.18%
2020-12-31,-2.66亿,-1324.62%,-2.84亿,-4344.00%,27.09亿,-8.91%,-1.1200,6.60,4.94,0.47,-0.81,-9.83%,12.92%,-19.56%,-15.99%,210.71,2.75,130.89,79.82,1.17,0.46,0.46,1.13,52.97%
2020-09-30,-1.26亿,-1261.98%,-1.48亿,-722.04%,21.25亿,-1.49%,-0.5300,7.14,4.94,1.03,-1.83,-5.92%,12.85%,-8.19%,-6.98%,199.68,2.43,111.31,88.37,1.25,0.59,0.59,0.97,49.16%
2020-06-30,-5738.02万,-1084.02%,-7342.50万,-23068675.99%,14.24亿,-1.78%,-0.2500,9.56,6.66,1.69,-1.89,-4.03%,12.33%,-4.10%,-3.10%,193.57,1.80,100.26,93.31,1.47,0.91,0.91,0.94,48.42%
2020-03-31,-5898.26万,-1296.35%,-6065.57万,-596.87%,5.69亿,-17.54%,-0.2700,6.63,3.43,1.96,-0.86,-10.36%,8.49%,-5.11%,-5.25%,217.16,0.78,115.73,101.43,1.07,0.55,0.54,1.53,60.44%
2019-12-31,2174.62万,-71.68%,-639.16万,-114.93%,29.74亿,-5.78%,0.1000,6.98,3.43,2.31,0.94,0.73%,17.49%,1.90%,1.84%,185.50,3.90,92.37,93.13,1.09,0.65,0.65,1.45,59.13%
2019-09-30,-922.74万,-116.37%,-1799.42万,-174.56%,21.57亿,-5.24%,-0.0400,6.62,3.29,2.17,0.99,-0.43%,15.96%,-0.82%,-0.83%,186.03,2.93,92.26,93.77,1.08,0.64,0.64,1.51,60.08%
2019-06-30,583.12万,-17.50%,300.00,100.00%,14.50亿,1.40%,0.0300,8.71,4.54,2.94,1.72,0.40%,15.86%,0.51%,0.52%,190.53,1.95,92.23,98.31,1.04,0.68,0.68,1.67,62.48%
2019-03-31,-422.41万,89.73%,-870.40万,79.16%,6.90亿,1.07%,-0.0300,8.74,4.51,3.04,0.71,-0.61%,13.86%,-0.37%,-0.38%,195.04,0.95,94.76,100.28,1.14,0.70,0.70,1.41,58.51%
2018-12-31,7677.75万,26.69%,4280.10万,-22.58%,31.56亿,26.94%,0.4600,8.76,4.48,3.07,-1.30,2.43%,11.63%,7.01%,6.81%,153.37,4.67,77.04,76.33,1.13,0.68,0.68,1.43,58.91%
2018-09-30,5636.85万,2.31%,2413.29万,False,22.76亿,23.24%,0.3400,8.56,4.44,2.98,-1.09,2.48%,10.20%,5.16%,5.11%,153.25,3.41,79.30,73.95,1.16,0.67,0.67,1.34,57.19%
