报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,3595.04万,38.62%,4022.55万,88.47%,4.32亿,15.01%,0.0900,3.28,1.12,0.94,0.07,7.50%,36.32%,2.61%,2.71%,321.75,0.86,208.89,112.86,2.32,1.57,1.41,0.61,37.62%
2024-03-31,1687.94万,84.58%,1485.35万,94.02%,1.78亿,11.59%,0.0400,3.40,1.12,1.05,0.0063,8.72%,38.10%,1.21%,1.23%,382.03,0.34,262.31,119.71,3.02,2.07,1.78,0.50,33.16%
2023-12-31,6396.78万,34.06%,4840.55万,73.81%,7.21亿,-1.57%,0.1600,3.39,1.12,1.01,0.33,8.81%,37.66%,4.77%,4.67%,384.90,1.32,273.20,111.70,3.21,2.11,1.84,0.49,32.63%
2023-09-30,3343.33万,-22.92%,2391.59万,-28.93%,5.25亿,-9.96%,0.0800,3.29,1.12,0.93,0.27,5.96%,36.64%,2.52%,2.52%,392.47,0.99,274.08,118.39,2.99,2.04,1.88,0.52,33.88%
2023-06-30,2593.44万,-25.98%,2134.36万,-29.59%,3.75亿,-12.62%,0.0600,3.30,1.12,0.91,0.10,6.53%,35.85%,1.94%,1.94%,379.74,0.67,267.98,111.76,3.02,1.99,1.76,0.55,35.41%
2023-03-31,914.48万,-40.28%,765.58万,-42.09%,1.60亿,-23.61%,0.0200,3.28,1.12,0.92,-0.02,4.70%,35.27%,0.69%,0.69%,440.44,0.28,319.83,120.61,3.08,1.97,1.69,0.56,35.70%
2022-12-31,4771.55万,-46.28%,2784.98万,-63.56%,7.33亿,-21.61%,0.1200,3.27,1.12,0.90,0.18,6.70%,36.13%,3.63%,3.61%,391.60,1.25,287.72,103.88,2.87,1.88,1.62,0.59,36.89%
2022-09-30,4337.66万,-45.76%,3364.99万,-54.72%,5.84亿,-20.73%,0.1100,3.25,1.12,0.91,0.15,7.55%,34.85%,3.25%,3.31%,368.27,0.98,275.17,93.09,3.25,1.96,1.73,0.55,35.55%
2022-06-30,3503.48万,-40.57%,3031.12万,-44.78%,4.29亿,-16.14%,0.0900,3.23,1.12,0.89,0.0100,8.15%,34.71%,2.63%,2.68%,338.73,0.75,240.03,98.70,2.81,1.88,1.65,0.64,39.04%
2022-03-31,1531.26万,-45.53%,1322.12万,-49.19%,2.09亿,-12.56%,0.0400,3.26,1.12,0.94,-0.07,6.25%,33.82%,1.16%,1.16%,352.38,0.36,252.17,100.21,2.34,1.50,1.21,0.68,40.29%
