报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,5606.93万,299.42%,5490.16万,283.42%,30.09亿,-9.81%,0.1100,4.51,2.39,0.90,0.07,2.12%,11.50%,2.50%,2.47%,229.18,0.92,196.14,33.04,0.87,0.24,0.24,2.68,69.32%
2024-03-31,658.96万,17.40%,485.12万,5.80%,13.61亿,-11.09%,0.0100,4.85,2.73,0.88,0.0019,0.69%,9.51%,0.30%,0.30%,255.57,0.40,223.49,32.07,0.89,0.23,0.23,2.89,70.67%
2023-12-31,-1.88亿,-243.94%,-1.47亿,-226.51%,69.98亿,-0.14%,-0.4300,4.84,2.73,0.87,0.15,-2.18%,7.51%,-9.52%,-8.48%,168.48,2.46,146.15,22.33,0.90,0.26,0.26,2.91,70.80%
2023-09-30,-8600.94万,-135.68%,-3620.06万,-115.23%,52.99亿,-0.24%,-0.2000,4.63,2.24,1.14,0.0100,-1.07%,8.25%,-4.28%,-4.26%,172.38,1.92,140.96,31.43,0.86,0.27,0.27,3.16,72.32%
2023-06-30,-2811.61万,-118.71%,-2993.15万,-120.34%,33.37亿,0.77%,-0.0600,4.61,2.06,1.30,0.10,-0.27%,8.15%,-1.39%,-1.40%,171.34,1.25,143.52,27.82,0.85,0.24,0.24,2.87,70.41%
2023-03-31,561.32万,-85.40%,458.52万,-87.96%,15.31亿,4.23%,0.0100,4.68,2.05,1.38,0.51,1.08%,8.28%,0.28%,0.28%,178.12,0.60,150.10,28.02,0.88,0.25,0.25,2.62,68.57%
2022-12-31,1.30亿,55.28%,1.16亿,57.84%,70.08亿,29.31%,0.3000,4.67,2.05,1.37,0.08,2.49%,9.58%,6.74%,6.40%,124.45,3.64,98.83,25.63,0.88,0.25,0.25,2.55,68.15%
2022-09-30,2.41亿,187.26%,2.38亿,211.96%,53.12亿,32.80%,0.5500,4.91,2.17,1.65,-0.17,5.11%,12.36%,12.23%,11.26%,120.75,3.52,76.68,44.07,1.03,0.50,0.50,1.94,62.24%
2022-06-30,1.50亿,146.87%,1.47亿,167.04%,33.11亿,36.25%,0.3400,4.55,2.03,1.44,-0.41,5.22%,12.51%,7.81%,7.57%,122.90,2.21,81.50,41.39,1.12,0.53,0.53,1.88,61.12%
2022-03-31,3844.69万,108.62%,3809.75万,121.11%,14.69亿,54.80%,0.0900,4.33,2.03,1.22,-0.33,3.32%,11.40%,2.06%,2.04%,126.39,1.02,88.05,38.33,1.10,0.47,0.47,1.75,59.27%
