报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,6.02亿,1.32%,5.94亿,7.27%,47.50亿,15.49%,1.0500,8.49,1.51,5.55,0.97,12.70%,24.90%,12.87%,12.11%,143.39,2.74,65.62,77.77,1.65,1.38,1.38,1.63,61.89%
2024-03-31,2.72亿,36.00%,2.66亿,57.12%,23.13亿,11.68%,0.4700,7.90,1.50,4.97,0.58,11.77%,25.93%,6.03%,5.87%,146.96,1.31,68.47,78.49,1.44,1.21,1.20,1.96,66.15%
2023-12-31,11.17亿,8.42%,9.83亿,3.92%,87.92亿,-11.52%,1.9500,7.44,1.49,4.50,1.46,12.73%,25.61%,25.60%,25.53%,136.19,5.38,66.85,69.33,1.41,1.18,1.17,1.87,65.07%
2023-09-30,7.95亿,-3.10%,7.79亿,-2.97%,57.86亿,-14.12%,1.3900,6.89,1.52,3.94,0.91,13.74%,27.06%,19.75%,19.59%,142.47,4.01,67.33,75.14,1.57,1.34,1.33,1.76,63.73%
2023-06-30,5.95亿,23.36%,5.53亿,16.07%,41.13亿,-19.07%,1.0400,6.47,1.51,3.55,0.89,15.73%,28.58%,13.99%,15.04%,140.83,2.46,73.06,67.77,1.53,1.31,1.31,1.86,65.03%
2023-03-31,2.00亿,-5.33%,1.69亿,-19.21%,20.71亿,-22.25%,0.3500,6.77,1.50,3.87,0.26,10.16%,29.12%,4.76%,4.64%,145.09,1.19,75.64,69.44,1.52,1.29,1.29,1.70,62.91%
2022-12-31,10.30亿,104.98%,9.46亿,115.46%,99.37亿,12.14%,1.7900,6.45,1.49,3.55,1.39,11.04%,23.02%,27.42%,25.84%,131.75,5.15,69.91,61.83,1.63,1.37,1.35,1.77,63.94%
2022-09-30,8.20亿,71.73%,8.02亿,83.20%,67.38亿,17.36%,1.4300,6.15,1.48,3.30,1.51,12.18%,21.39%,23.52%,23.25%,134.36,3.97,68.05,66.31,1.32,1.08,1.07,1.73,63.36%
2022-06-30,4.82亿,45.35%,4.77亿,52.61%,45.10亿,10.81%,0.8400,5.52,1.46,2.72,0.95,10.69%,22.17%,13.76%,15.21%,138.44,2.53,71.08,67.36,1.24,1.00,1.00,2.10,67.78%
2022-03-31,2.11亿,10.64%,2.09亿,15.14%,23.51亿,16.79%,0.3700,6.01,1.45,3.24,0.13,8.99%,22.89%,6.31%,6.11%,137.06,1.25,71.80,65.26,1.32,1.04,1.03,1.73,63.39%
