报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,3135.07万,107.67%,1.12亿,127.30%,64.75亿,-20.35%,0.0600,10.42,6.91,2.22,0.52,1.85%,9.48%,0.56%,0.56%,135.67,2.21,81.27,54.40,1.42,0.97,0.80,2.01,59.79%
2024-03-31,-4246.06万,84.45%,6301.06万,122.98%,31.06亿,-26.44%,-0.0800,10.28,6.91,2.09,-0.16,0.04%,9.94%,-0.76%,-0.76%,139.32,1.09,82.94,56.37,1.48,1.02,0.77,1.85,57.94%
2023-12-31,-7.23亿,-179.85%,-11.81亿,-231.01%,153.11亿,-21.08%,-1.4000,10.42,6.91,2.16,3.05,-5.19%,1.64%,-12.04%,-12.83%,136.89,4.20,85.74,51.15,1.51,1.03,0.84,1.71,56.13%
2023-09-30,-3.32亿,-134.40%,-3.31亿,-134.51%,119.30亿,-12.98%,-0.6900,11.70,6.91,3.49,1.10,-3.69%,3.34%,-5.45%,-5.24%,141.06,3.14,86.09,54.97,1.41,0.96,0.74,1.57,54.99%
2023-06-30,-4.09亿,-171.97%,-4.12亿,-172.43%,81.30亿,2.09%,-0.8700,11.57,6.92,3.35,-0.12,-6.76%,0.32%,-6.99%,-6.53%,139.59,2.13,84.43,55.16,1.42,0.95,0.71,1.62,55.83%
2023-03-31,-2.73亿,-272.68%,-2.74亿,-276.88%,42.22亿,32.54%,-0.5900,11.78,6.19,4.27,-0.48,-7.84%,1.58%,-5.14%,-4.57%,148.68,0.93,96.78,51.90,1.37,0.79,0.68,1.87,58.66%
2022-12-31,9.05亿,45.96%,9.01亿,46.66%,194.01亿,105.12%,1.9700,11.83,5.18,5.30,-0.74,6.06%,13.23%,18.57%,16.61%,120.68,4.29,83.90,36.78,1.44,0.79,0.74,1.84,57.87%
2022-09-30,9.65亿,103.68%,9.60亿,103.97%,137.10亿,107.47%,2.1000,11.82,5.04,5.56,-1.35,9.14%,15.66%,19.35%,17.72%,134.22,2.87,93.97,40.25,1.35,0.71,0.68,2.00,61.25%
2022-06-30,5.68亿,94.88%,5.68亿,97.72%,79.63亿,102.81%,1.2300,10.95,5.03,4.71,-2.65,9.32%,16.28%,11.80%,11.27%,145.46,1.76,102.08,43.39,1.30,0.71,0.65,2.11,62.53%
2022-03-31,1.58亿,44.21%,1.55亿,39.29%,31.85亿,87.59%,0.3400,10.17,4.72,4.29,-1.47,5.23%,11.16%,3.44%,3.38%,157.71,0.81,111.10,46.61,1.34,0.66,0.61,1.73,59.51%
2021-12-31,6.20亿,189.64%,6.14亿,193.47%,94.58亿,61.65%,1.4000,9.81,4.72,3.95,-2.59,8.07%,17.09%,15.30%,13.74%,153.20,3.52,102.30,50.89,1.35,0.69,0.63,1.50,55.80%
2021-09-30,4.74亿,305.13%,4.71亿,345.77%,66.08亿,63.53%,1.0800,9.49,4.71,3.65,-0.71,8.79%,17.33%,12.21%,10.85%,125.04,3.37,80.16,44.88,1.31,0.67,0.58,1.26,51.40%
2021-06-30,2.91亿,370.59%,2.87亿,399.58%,39.26亿,49.36%,0.6700,8.98,4.41,3.45,-0.35,9.24%,18.60%,7.64%,7.46%,140.57,1.92,93.86,46.71,1.24,0.74,0.66,1.62,57.37%
2021-03-31,1.10亿,722.11%,1.11亿,714.91%,16.98亿,43.34%,0.2500,8.69,4.39,3.23,-1.25,8.01%,17.36%,2.95%,2.90%,150.68,0.99,90.87,59.80,1.39,0.86,0.73,1.35,53.10%
2020-12-31,2.14亿,147.64%,2.09亿,80.93%,58.51亿,33.84%,0.5900,8.45,4.37,2.98,0.79,4.88%,15.65%,7.22%,5.84%,148.41,4.20,85.73,62.68,1.27,0.80,0.74,1.12,48.43%
2020-09-30,1.17亿,98.70%,1.06亿,31.22%,40.41亿,36.74%,0.3400,8.21,4.35,2.76,0.57,3.88%,18.05%,4.24%,3.28%,155.25,2.95,91.43,63.82,1.27,0.79,0.72,1.10,48.98%
2020-06-30,6191.44万,86.68%,5753.78万,84.82%,26.29亿,42.64%,0.1800,7.37,2.93,3.31,0.83,3.16%,16.68%,2.36%,2.35%,156.45,2.05,87.77,68.68,1.27,0.89,0.82,1.87,61.15%
2020-03-31,1333.85万,68.91%,1365.97万,123.96%,11.85亿,37.61%,0.0400,7.44,2.86,3.31,0.57,1.63%,14.85%,0.51%,0.51%,168.22,0.92,98.30,69.92,1.30,0.89,0.84,1.91,61.72%
