报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,1427.68万,105.11%,-163.53万,82.75%,9.04亿,0.90%,0.0060,0.97,1.38,-1.51,0.0077,1.26%,15.32%,0.59%,0.59%,236.74,1.56,115.40,121.34,2.49,1.95,1.80,0.71,40.80%
2024-03-31,1137.52万,173.96%,-1120.73万,38.34%,4.29亿,5.58%,0.0050,0.97,1.38,-1.52,-0.02,2.70%,13.92%,0.47%,0.47%,250.13,0.74,121.36,128.77,2.55,1.97,1.85,0.69,40.11%
2023-12-31,3785.12万,-87.85%,-402.31万,97.63%,19.73亿,-40.82%,0.0150,0.96,1.38,-1.52,-0.0015,1.62%,17.67%,1.58%,1.57%,230.56,3.12,115.48,115.07,2.33,1.81,1.67,0.75,42.19%
2023-09-30,1450.33万,-95.38%,-362.13万,97.92%,13.90亿,-49.33%,0.0060,0.96,1.38,-1.53,-0.04,0.89%,18.49%,0.61%,0.61%,244.07,2.12,127.29,116.78,2.42,1.84,1.66,0.74,41.74%
2023-06-30,696.04万,-97.68%,-948.17万,95.05%,8.96亿,-58.25%,0.0030,0.95,1.38,-1.53,-0.03,0.56%,18.53%,0.29%,0.29%,248.37,1.40,128.58,119.79,3.04,2.39,2.20,0.81,43.82%
2023-03-31,-1537.99万,74.56%,-1817.48万,69.69%,4.06亿,-64.32%,-0.0060,0.94,1.38,-1.54,-0.02,-4.27%,18.69%,-0.65%,-0.65%,277.93,0.61,146.89,131.04,2.99,2.32,2.17,0.80,43.58%
2022-12-31,3.12亿,168.82%,-1.70亿,59.93%,33.34亿,-27.07%,0.1240,0.95,1.38,-1.54,-0.02,9.18%,21.72%,13.68%,13.08%,210.48,3.11,115.75,94.73,2.76,2.22,2.08,0.95,47.78%
2022-09-30,3.14亿,299.50%,-1.74亿,10.58%,27.42亿,-18.51%,0.1250,0.95,1.38,-1.53,-0.03,11.29%,22.33%,13.80%,13.20%,198.45,2.48,108.80,89.64,2.68,2.15,2.03,1.01,48.88%
2022-06-30,3.00亿,479.46%,-1.91亿,-72.58%,21.46亿,-4.72%,0.1200,0.94,1.38,-1.54,-0.05,13.88%,23.27%,13.24%,12.69%,168.84,1.92,93.75,75.08,2.81,2.21,2.09,0.98,48.27%
2022-03-31,-6045.49万,-2.74%,-5996.89万,5.47%,11.38亿,-0.04%,-0.0240,0.86,1.39,-1.69,-0.08,-5.56%,24.41%,-2.79%,-2.81%,212.66,0.74,121.47,91.19,1.07,0.76,0.72,2.43,69.66%
2021-12-31,-4.53亿,-204.91%,-4.23亿,-2.56%,45.71亿,3.11%,-0.1810,0.87,1.39,-1.67,0.0100,-9.87%,24.93%,-18.60%,-20.84%,204.40,3.25,110.85,93.55,1.08,0.79,0.75,2.48,70.05%
2021-09-30,-1.57亿,-122.91%,-1.95亿,29.55%,33.66亿,5.94%,-0.0630,0.90,1.39,-1.52,-0.0079,-4.67%,25.02%,-6.35%,-6.96%,215.86,2.34,115.59,100.26,0.87,0.61,0.58,2.67,71.45%
2021-06-30,-7916.65万,-110.43%,-1.11亿,46.82%,22.52亿,11.10%,-0.0320,0.95,1.39,-1.48,0.0075,-3.54%,25.71%,-3.11%,-3.31%,211.78,1.60,112.47,99.31,0.91,0.60,0.56,2.63,71.22%
2021-03-31,-5884.19万,68.37%,-6343.81万,59.54%,11.39亿,8.71%,-0.0230,0.96,1.39,-1.48,-0.02,-4.99%,26.44%,-2.29%,-2.44%,204.18,0.85,105.77,98.41,1.73,1.17,1.08,2.54,70.58%
2020-12-31,4.31亿,125.68%,-4.13亿,75.01%,44.33亿,-22.58%,0.1860,1.08,1.39,-1.45,0.0093,9.77%,24.77%,27.57%,16.00%,342.57,1.51,238.93,103.64,1.71,1.29,1.19,2.32,68.78%
2020-09-30,6.88亿,204.15%,-2.76亿,58.45%,31.77亿,-23.76%,0.3040,1.16,1.39,-1.35,-0.06,20.98%,25.20%,25.46%,23.64%,369.36,1.08,251.16,118.20,1.90,1.41,1.34,2.36,69.21%
2020-06-30,7.59亿,330.43%,-2.09亿,38.03%,20.27亿,-25.82%,0.3360,-0.80,1.51,-3.58,-0.05,69.89%,34.29%,False,False,666.02,0.35,509.77,156.25,1.09,0.63,0.62,False,114.01%
2020-03-31,-1.86亿,-32.23%,-1.57亿,-11.49%,10.47亿,-20.71%,-0.1890,-1.81,1.52,-4.50,-0.04,-25.58%,33.87%,False,False,633.69,0.20,447.32,186.37,0.46,0.30,0.28,False,116.63%
2019-12-31,-16.80亿,49.01%,-16.52亿,49.98%,57.26亿,-11.34%,-0.7440,-1.66,1.52,-4.34,-0.06,-59.31%,31.20%,False,False,886.97,0.50,717.27,169.70,0.88,0.28,0.28,False,114.98%
2019-09-30,-6.60亿,20.25%,-6.65亿,20.19%,41.67亿,-7.53%,-0.2920,-0.65,1.53,-3.34,-0.11,-33.96%,31.05%,False,False,948.10,0.35,772.75,175.35,0.97,0.27,0.27,False,104.56%
2019-06-30,-3.29亿,19.90%,-3.36亿,18.66%,14.73亿,-5.27%,-0.3340,-0.32,1.54,-2.99,-0.08,-22.72%,32.41%,False,False,985.95,0.22,810.08,175.87,1.02,0.29,0.29,False,100.75%
2019-03-31,-1.41亿,28.86%,-1.41亿,29.82%,7.81亿,-1.27%,-0.1430,-0.08,1.54,-2.80,-0.05,-18.47%,32.00%,False,False,940.57,0.12,771.21,169.36,0.74,0.20,0.20,False,98.64%
2018-12-31,-32.95亿,-6064.90%,-33.02亿,-1737.92%,33.02亿,-39.35%,-3.3450,0.05,1.54,-2.66,0.34,-100.85%,27.37%,-194.08%,-6971.68%,910.58,0.48,750.16,160.42,0.75,0.24,0.24,249.61,97.60%
2018-09-30,-8.28亿,-587.81%,-8.33亿,-357.65%,23.67亿,-44.58%,-0.8410,2.45,1.53,-0.17,-0.23,-35.34%,29.14%,-28.56%,-34.14%,1010.05,0.32,844.01,166.03,0.81,0.21,0.21,4.99,81.78%
