报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,1.00亿,-2.72%,8563.84万,-2.71%,23.08亿,0.98%,0.2156,4.19,0.96,2.02,0.07,4.28%,23.35%,5.16%,5.14%,132.47,3.09,58.20,74.26,0.94,0.64,0.61,1.41,58.10%
2024-03-31,4701.09万,2.14%,4167.46万,4.96%,11.21亿,-7.08%,0.1416,5.84,1.74,2.82,0.05,4.14%,25.70%,2.46%,2.42%,134.73,1.46,61.76,72.97,0.94,0.64,0.62,1.41,58.10%
2023-12-31,1.59亿,3.15%,1.28亿,41.12%,42.75亿,6.78%,0.4796,5.69,1.73,2.68,0.77,3.68%,25.71%,8.80%,8.43%,134.60,4.99,72.13,62.47,0.95,0.59,0.57,1.31,56.30%
2023-09-30,1.42亿,4.38%,1.30亿,49.22%,32.24亿,9.09%,0.4290,5.62,1.70,2.63,0.40,4.38%,26.29%,7.90%,7.64%,132.78,3.75,72.04,60.73,0.95,0.58,0.56,1.21,54.50%
2023-06-30,1.03亿,4.32%,8802.26万,51.80%,22.85亿,16.72%,0.2216,5.48,1.67,2.51,0.14,4.48%,27.09%,5.76%,5.66%,129.36,2.59,69.44,59.92,0.94,0.58,0.53,1.42,58.37%
2023-03-31,4602.44万,23.74%,3970.61万,67.49%,12.06亿,22.03%,0.1386,5.37,1.64,2.44,0.06,3.78%,28.17%,2.63%,2.58%,128.58,1.27,71.03,57.55,0.94,0.55,0.52,1.46,58.96%
2022-12-31,1.54亿,25.57%,9075.74万,29.76%,40.04亿,9.63%,0.4869,5.20,1.61,2.30,1.32,3.77%,28.23%,8.54%,8.93%,139.97,4.53,79.46,60.50,0.89,0.49,0.47,1.57,60.74%
2022-09-30,1.36亿,51.29%,8734.76万,41.02%,29.55亿,9.39%,0.4110,5.49,1.80,2.32,0.44,4.39%,27.87%,8.01%,7.38%,138.10,3.60,75.08,63.02,0.91,0.59,0.56,1.36,57.19%
2022-06-30,9874.72万,55.31%,5798.48万,30.83%,19.58亿,8.84%,0.3164,5.07,1.59,2.20,0.29,4.66%,27.82%,5.63%,5.59%,139.48,2.41,74.80,64.68,0.86,0.53,0.51,1.44,58.64%
2022-03-31,3719.42万,36.32%,2370.67万,0.59%,9.88亿,11.43%,0.1192,5.00,1.59,2.13,0.10,3.77%,27.56%,2.31%,2.29%,142.24,1.18,76.35,65.90,0.88,0.54,0.51,1.56,60.45%
2021-12-31,1.23亿,18.57%,6994.03万,21.38%,36.52亿,5.43%,0.3940,4.90,1.59,2.02,0.76,3.13%,30.11%,7.79%,7.50%,149.11,4.46,80.66,68.45,0.88,0.51,0.49,1.48,59.18%
2021-09-30,9021.26万,27.70%,6193.99万,42.84%,26.20亿,7.97%,0.2890,4.82,1.59,1.95,0.39,3.37%,30.83%,6.18%,6.00%,148.89,3.48,77.48,71.41,0.91,0.58,0.53,1.48,59.26%
2021-06-30,6358.25万,10.10%,4431.91万,15.34%,17.43亿,10.50%,0.2037,4.73,1.59,1.87,0.24,3.58%,31.73%,4.40%,4.31%,153.34,2.25,79.99,73.35,0.93,0.60,0.56,1.55,60.29%
2021-03-31,2728.54万,27.56%,2356.79万,79.86%,8.64亿,17.48%,0.0874,4.62,1.59,1.75,0.12,3.08%,32.29%,1.91%,1.89%,154.87,1.09,82.43,72.43,0.88,0.56,0.52,1.60,61.02%
2020-12-31,1.04亿,28.17%,5762.30万,36.15%,33.21亿,2.57%,0.3323,4.53,1.59,1.66,0.94,3.07%,34.66%,7.57%,7.34%,157.50,4.28,84.11,73.39,0.84,0.51,0.49,1.55,60.18%
2020-09-30,7064.59万,-5.98%,4336.37万,6.60%,24.26亿,1.71%,0.2263,4.43,1.59,1.56,0.14,2.91%,35.14%,5.22%,5.10%,161.59,3.21,84.08,77.51,0.87,0.56,0.53,1.54,60.58%
2020-06-30,5775.15万,2.09%,3842.37万,-2.97%,15.78亿,0.63%,0.1850,4.40,1.59,1.52,0.08,3.65%,35.69%,4.28%,4.21%,165.95,2.08,86.70,79.25,0.88,0.55,0.53,1.55,60.76%
2020-03-31,2138.98万,29.26%,1310.32万,18.62%,7.35亿,-2.01%,0.0685,4.31,1.59,1.41,0.03,2.90%,36.43%,1.60%,1.59%,178.95,0.94,95.56,83.39,0.87,0.56,0.52,1.70,62.91%
2019-12-31,8092.10万,32.82%,4232.43万,-2.41%,32.38亿,7.46%,0.2589,4.24,1.59,1.34,0.21,2.49%,38.16%,6.19%,6.11%,158.30,4.23,85.19,73.10,0.85,0.55,0.53,1.69,62.72%
2019-09-30,7514.24万,33.15%,4067.92万,-27.35%,23.86亿,6.92%,0.2407,4.22,1.59,1.33,0.13,3.14%,36.75%,5.76%,5.70%,159.62,3.19,84.75,74.86,1.00,0.69,0.69,1.53,60.35%
2019-06-30,5656.66万,48.54%,3960.10万,6.39%,15.68亿,6.27%,0.1812,4.18,1.59,1.27,0.10,3.60%,35.88%,4.33%,4.33%,159.21,2.15,83.82,75.39,1.01,0.69,0.69,1.46,59.28%
2019-03-31,1654.73万,44.63%,1104.68万,6.37%,7.50亿,5.26%,0.0530,4.17,1.59,1.24,0.03,2.20%,36.68%,1.28%,1.27%,167.37,1.03,87.74,79.63,1.03,0.70,0.70,1.37,57.82%
2018-12-31,6092.64万,-6.77%,4337.13万,-10.13%,30.13亿,16.88%,0.1921,4.06,1.65,1.17,0.74,2.01%,38.95%,4.90%,4.73%,160.20,4.26,84.47,75.73,0.97,0.63,0.63,1.33,57.05%
2018-09-30,5643.51万,-6.47%,5599.57万,28.68%,22.31亿,24.56%,0.1780,4.01,1.61,1.16,0.15,2.53%,37.24%,4.50%,4.44%,161.32,3.26,82.91,78.41,1.01,0.66,0.66,1.33,57.03%
2018-06-30,3808.11万,-12.56%,3722.20万,30.15%,14.75亿,27.21%,0.1201,3.94,1.60,1.10,0.09,2.58%,35.09%,3.09%,3.05%,161.01,2.24,80.27,80.74,1.03,0.70,0.70,1.34,57.20%
2018-03-31,1144.14万,22.12%,1038.54万,43.40%,7.13亿,35.52%,0.0361,3.84,1.60,1.02,0.05,1.60%,32.04%,0.94%,0.94%,162.71,1.10,81.54,81.18,1.02,0.66,0.66,1.31,56.74%
2017-12-31,6534.81万,42.57%,4826.05万,27.65%,25.78亿,26.77%,0.2091,3.85,1.59,0.98,0.17,2.53%,30.60%,5.53%,5.35%,150.60,5.29,68.07,82.52,1.00,0.69,0.69,1.27,55.90%
2017-09-30,6034.23万,40.11%,4351.40万,26.08%,17.91亿,32.60%,0.1933,3.86,1.53,0.98,0.18,3.37%,27.23%,5.12%,5.01%,156.74,4.11,65.76,90.98,1.02,0.70,0.70,1.28,56.11%
2017-06-30,4354.99万,65.56%,2859.96万,41.81%,11.60亿,30.11%,0.1395,3.83,1.53,0.93,0.09,3.75%,27.26%,3.71%,3.64%,159.36,2.74,65.78,93.58,1.01,0.69,0.69,1.24,55.27%
2017-03-31,936.87万,44.12%,724.25万,15.71%,5.26亿,23.34%,0.0300,3.71,1.53,0.82,0.04,1.78%,26.62%,0.81%,0.81%,168.77,1.36,66.35,102.42,0.96,0.69,0.69,1.23,55.13%
2016-12-31,4583.63万,30.29%,3780.55万,76.88%,20.34亿,29.58%,0.1468,3.69,1.53,0.79,0.25,2.25%,26.61%,3.98%,3.98%,149.23,5.48,65.68,83.55,0.94,0.66,0.66,1.16,53.71%
2016-09-30,4306.81万,23.57%,3451.26万,37.85%,13.51亿,13.61%,0.1380,3.69,1.53,0.80,0.10,3.18%,26.88%,3.76%,3.74%,162.85,3.62,74.67,88.18,0.89,0.61,0.61,1.12,52.16%
2016-06-30,2630.42万,29.20%,2016.74万,48.14%,8.91亿,13.19%,0.0843,3.59,1.53,0.75,0.05,2.94%,27.26%,2.31%,2.34%,166.99,2.28,78.87,88.12,0.87,0.58,0.58,1.15,52.82%
2016-03-31,650.07万,-0.29%,625.93万,74.83%,4.26亿,7.67%,0.0208,3.64,1.53,0.78,0.03,1.50%,26.03%,0.57%,0.57%,167.93,1.15,78.47,89.46,0.88,0.60,0.60,1.12,52.16%
2015-12-31,3517.96万,-14.18%,2137.31万,-34.32%,15.69亿,-8.51%,0.1127,3.69,1.57,0.80,0.15,2.02%,26.87%,2.86%,2.81%,175.49,4.34,82.99,92.51,0.97,0.63,0.63,0.97,48.63%
2015-09-30,3485.40万,-2.67%,2503.62万,-19.04%,11.89亿,-6.97%,0.1117,3.67,1.57,0.80,0.13,2.73%,26.49%,2.86%,2.82%,176.17,3.36,80.36,95.82,0.99,0.68,0.68,0.97,48.47%
2015-06-30,2035.91万,8.64%,1361.34万,-4.22%,7.88亿,-7.89%,0.0652,3.67,1.57,0.76,0.06,2.38%,26.51%,1.65%,1.63%,174.65,2.28,79.01,95.64,0.94,0.64,0.64,0.92,47.13%
2015-03-31,651.98万,61.64%,358.03万,42.34%,3.96亿,-2.27%,0.0209,3.58,1.57,0.72,0.05,1.51%,26.73%,0.54%,0.53%,177.49,1.11,80.74,96.75,0.95,0.66,0.66,0.98,48.76%
2014-12-31,4099.09万,49.89%,3254.24万,89.45%,16.99亿,11.05%,0.1313,3.56,1.57,0.70,0.03,2.42%,26.50%,3.75%,3.68%,143.75,5.36,67.19,76.55,1.01,0.70,0.70,0.98,48.74%
2014-09-30,3581.17万,58.79%,3092.60万,113.05%,12.65亿,14.86%,0.1147,3.54,1.57,0.68,0.05,2.84%,24.99%,3.29%,3.24%,139.27,4.36,61.93,77.34,1.21,0.87,0.87,0.92,47.21%
2014-06-30,1874.07万,57.87%,1421.39万,76.60%,8.46亿,18.88%,0.0600,3.29,1.57,0.63,0.09,2.24%,24.41%,1.84%,1.83%,133.76,2.99,60.26,73.49,1.30,0.97,0.97,1.02,49.62%
2014-03-31,403.34万,47.65%,251.52万,101.63%,4.02亿,15.86%,0.0129,3.24,1.57,0.58,0.05,1.07%,24.22%,0.40%,0.40%,138.21,1.41,63.89,74.32,1.36,1.00,1.00,1.02,49.55%
2013-12-31,2734.66万,43.79%,1717.70万,76.66%,15.30亿,-7.71%,0.0914,3.25,1.59,0.57,-0.23,1.78%,26.06%,2.90%,2.70%,133.52,5.47,65.86,67.67,1.41,1.02,1.02,0.91,46.78%
2013-09-30,2255.28万,39.33%,1451.60万,33.52%,11.01亿,-17.44%,0.0765,3.23,1.59,0.55,0.04,2.01%,24.71%,2.45%,2.24%,138.83,4.04,66.78,72.04,1.45,1.08,1.08,0.79,43.10%
2013-06-30,1187.09万,10.91%,804.88万,4.81%,7.12亿,-23.52%,0.0415,3.20,1.59,0.52,0.05,1.63%,25.05%,1.35%,1.19%,139.26,2.65,67.98,71.28,1.44,1.09,1.09,0.79,43.01%
2013-03-31,273.17万,4.03%,124.75万,-22.13%,3.47亿,-13.03%,0.0105,3.27,1.59,0.59,0.05,0.76%,24.91%,0.37%,0.27%,143.63,1.24,72.31,71.33,1.41,1.03,1.03,0.73,41.11%
2012-12-31,1901.89万,73.00%,972.34万,95.14%,16.58亿,8.99%,0.0731,2.82,1.03,0.69,0.18,1.09%,22.98%,2.62%,2.59%,108.19,6.71,53.68,54.51,1.02,0.63,0.63,0.92,46.57%
2012-09-30,1618.69万,-2.18%,1087.17万,-3.96%,13.34亿,16.62%,0.0623,2.81,1.03,0.68,0.07,1.19%,19.53%,2.23%,2.21%,102.05,5.87,46.02,56.03,1.07,0.71,0.71,0.93,46.71%
2012-06-30,1070.30万,-22.00%,767.93万,-28.35%,9.31亿,35.75%,0.0412,2.79,1.03,0.66,0.07,1.13%,17.85%,1.48%,1.40%,93.95,4.30,41.90,52.05,1.01,0.69,0.69,0.92,46.46%
2012-03-31,262.59万,-47.04%,160.19万,-55.44%,3.99亿,12.11%,0.0101,2.79,0.95,0.74,0.07,0.61%,1.31%,0.36%,0.36%,98.88,2.25,40.04,58.84,1.04,0.68,0.68,0.80,43.05%
2011-12-31,1099.39万,-73.59%,498.28万,-81.97%,15.21亿,41.18%,0.0423,2.78,0.95,0.73,0.21,0.65%,20.00%,1.38%,1.37%,102.17,7.30,49.29,52.88,1.02,0.64,0.64,0.76,41.95%
2011-09-30,1654.69万,-53.66%,1132.00万,-63.90%,11.44亿,40.28%,0.0636,2.80,0.95,0.75,0.10,1.26%,18.41%,2.13%,2.11%,102.77,5.64,47.89,54.87,1.19,0.77,0.77,0.79,42.65%
2011-06-30,1372.25万,-36.69%,1071.79万,-47.43%,6.85亿,30.21%,0.0528,2.79,0.95,0.74,0.08,1.80%,20.55%,1.83%,1.81%,112.94,3.39,53.09,59.86,1.19,0.79,0.79,0.77,42.12%
2011-03-31,495.79万,1.24%,359.46万,-20.41%,3.56亿,48.81%,0.0191,2.76,0.95,0.71,0.06,1.42%,19.73%,0.69%,0.69%,106.08,1.81,49.86,56.23,1.13,0.75,0.75,0.75,41.62%
2010-12-31,4162.55万,81.09%,2763.24万,48.18%,10.74亿,12.40%,0.1601,2.74,0.95,0.69,0.21,3.77%,26.56%,6.01%,5.83%,138.71,5.52,65.20,73.51,1.14,0.77,0.77,0.73,40.92%
2010-09-30,3571.00万,77.00%,3135.64万,65.77%,8.13亿,15.22%,0.1373,2.72,0.95,0.68,0.15,4.30%,26.35%,5.18%,5.05%,143.95,4.26,63.32,80.63,1.29,0.94,0.94,0.79,43.89%
2010-06-30,2167.55万,161.74%,2038.71万,171.45%,5.25亿,18.80%,0.0800,2.67,0.95,0.62,0.15,3.96%,26.34%,3.18%,3.13%,147.42,2.71,66.52,80.90,1.38,0.93,0.93,0.65,39.03%
2010-03-31,489.70万,79.25%,451.66万,72.85%,2.39亿,10.63%,0.0188,2.60,0.95,0.56,0.12,1.57%,26.78%,0.73%,0.72%,162.22,1.23,73.11,89.12,1.30,0.91,0.91,0.73,41.96%
2009-12-31,2298.62万,62.06%,1864.74万,35.61%,9.56亿,9.37%,0.0900,2.58,0.95,0.54,0.12,2.48%,27.44%,3.48%,3.42%,156.82,5.08,70.91,85.91,1.27,0.94,0.94,0.78,43.70%
2009-09-30,2017.49万,103.87%,1891.52万,111.50%,7.05亿,6.82%,0.0776,2.57,0.95,0.53,0.09,2.97%,26.27%,0.0000%,3.02%,152.94,4.15,65.03,87.91,1.12,0.89,0.89,0.80,44.14%
2009-06-30,828.13万,52.87%,751.04万,53.57%,4.42亿,3.77%,0.0300,2.52,0.95,0.49,0.40,2.02%,25.53%,1.27%,1.26%,165.38,2.46,73.11,92.28,1.13,0.89,0.89,0.86,46.04%
2009-03-31,273.20万,51.73%,261.30万,55.72%,2.16亿,7.77%,0.0105,2.50,0.95,0.47,0.08,1.46%,23.85%,0.0000%,0.42%,171.72,1.19,75.41,96.31,1.09,0.83,0.83,0.85,45.73%
2008-12-31,1418.36万,151.73%,1375.08万,31.18%,8.74亿,24.16%,0.0500,2.49,0.95,0.46,0.19,1.74%,26.73%,2.21%,2.19%,160.51,5.09,70.74,89.77,1.11,0.81,0.81,0.79,43.88%
2008-09-30,989.57万,22.84%,894.33万,-27.62%,6.60亿,20.98%,0.0381,2.47,0.95,0.44,0.22,1.52%,25.07%,0.0000%,1.54%,154.48,4.41,61.17,93.31,1.08,0.83,0.83,0.80,44.36%
2008-06-30,541.73万,-63.43%,489.06万,-34.04%,4.25亿,27.99%,0.0208,2.46,0.95,0.42,0.19,1.26%,24.43%,False,0.85%,159.94,2.85,63.10,96.84,1.08,0.82,0.82,0.78,43.53%
2008-03-31,180.06万,20.36%,167.80万,18.46%,2.00亿,53.07%,0.0069,2.44,0.95,0.41,0.10,0.94%,24.52%,False,0.28%,168.38,1.36,66.32,102.06,1.06,0.82,0.82,0.83,45.17%
2007-12-31,563.43万,-76.75%,1048.21万,501.33%,7.04亿,34.46%,0.0217,2.44,0.95,0.40,0.21,0.84%,25.00%,0.89%,0.89%,167.42,5.82,61.85,105.57,1.10,0.83,0.83,0.71,41.31%
2007-09-30,805.58万,5.06%,1235.52万,False,5.46亿,27.00%,0.0310,2.42,0.93,0.40,0.05,1.55%,23.05%,False,1.28%,163.90,5.23,51.61,112.29,1.13,0.92,0.92,0.76,43.01%
2007-06-30,1481.28万,187.26%,741.48万,26.41%,3.32亿,22.03%,0.0570,2.44,0.93,0.43,0.06,4.54%,22.15%,2.39%,2.33%,172.90,3.26,55.24,117.66,1.18,0.98,0.98,0.81,44.43%
2007-03-31,149.60万,-39.35%,141.66万,-39.43%,1.31亿,11.78%,0.0058,2.40,0.95,0.38,-0.0066,1.19%,21.43%,False,0.24%,201.29,1.49,60.42,140.87,1.16,0.98,0.98,0.69,40.65%
2006-12-31,2423.78万,168.56%,174.31万,-73.54%,5.23亿,18.63%,0.0900,2.37,0.95,0.38,0.14,4.67%,24.96%,3.63%,3.58%,200.54,5.31,67.81,132.73,1.16,0.99,0.99,0.71,41.31%
2006-09-30,766.79万,-13.77%,False,False,4.30亿,38.83%,0.0295,2.31,0.95,0.30,0.16,1.87%,23.72%,False,1.34%,184.86,4.72,57.25,127.61,0.82,0.69,1.11,0.88,46.58%
2006-06-30,515.67万,-8.32%,586.58万,5.53%,2.72亿,42.00%,0.0198,2.31,0.95,0.29,0.02,2.04%,23.34%,0.96%,0.95%,193.27,2.91,61.88,131.40,0.86,0.71,1.15,0.82,44.97%
2006-03-31,246.66万,-6.95%,233.87万,-11.45%,1.17亿,31.84%,0.0100,2.30,0.95,0.27,-0.0061,2.34%,24.01%,False,0.40%,225.53,1.19,75.63,149.90,0.91,0.76,1.17,0.85,45.64%
2005-12-31,902.51万,-5.90%,658.83万,-24.75%,4.41亿,57.27%,0.0347,2.29,0.95,0.26,0.13,2.10%,25.48%,1.53%,1.52%,214.46,5.35,67.25,147.21,0.95,0.78,1.16,0.83,45.13%
2005-09-30,889.21万,-27.96%,880.21万,-29.14%,3.10亿,60.86%,False,2.29,0.95,0.27,0.03,2.92%,27.12%,False,1.50%,233.23,4.08,66.25,166.98,0.96,0.82,1.20,0.82,44.74%
