报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
2024-06-30,110.83亿,11.07%,111.06亿,11.18%,555.91亿,13.58%,3.5500,28.85,7.68,31.97,19.59,19.94%,11.21%,12.31%,15.60,93.98%
2024-03-31,49.42亿,-28.55%,49.53亿,-28.38%,264.79亿,-8.71%,1.5800,30.13,7.68,31.11,12.07,18.67%,4.97%,5.26%,14.21,93.42%
2023-12-31,87.12亿,-59.48%,87.46亿,-10.78%,715.47亿,-33.78%,2.7900,33.68,7.69,29.53,29.34,12.18%,7.94%,8.29%,12.36,92.51%
2023-09-30,95.42亿,-15.50%,95.61亿,83.94%,618.55亿,-18.63%,3.0600,34.72,7.69,30.30,25.52,15.43%,8.53%,8.81%,11.60,92.06%
2023-06-30,99.78亿,8.57%,99.89亿,92.84%,489.43亿,-4.74%,3.2000,35.99,7.69,30.44,21.00,20.39%,8.68%,8.89%,10.66,91.42%
2023-03-31,69.17亿,114.81%,69.16亿,416.50%,290.05亿,17.44%,2.2200,38.98,7.69,30.90,12.25,23.85%,5.86%,5.69%,9.55,90.52%
2022-12-31,215.00亿,43.84%,98.03亿,-34.11%,1080.48亿,-3.62%,3.1500,32.98,7.69,17.31,28.65,4.58%,9.29%,9.55%,11.20,91.80%
2022-09-30,112.92亿,-5.54%,51.98亿,-56.60%,760.17亿,-6.96%,3.6200,32.07,7.69,16.53,23.82,3.03%,4.94%,5.19%,10.95,91.63%
2022-06-30,91.90亿,-12.86%,51.80亿,-50.84%,513.78亿,-5.51%,2.9500,33.49,7.69,16.53,18.36,4.16%,4.77%,4.96%,10.37,91.21%
2022-03-31,32.20亿,-48.93%,13.39亿,-78.78%,246.98亿,-7.87%,1.0300,32.67,7.66,17.20,11.59,1.79%,1.28%,1.32%,10.23,91.09%
2021-12-31,149.47亿,4.57%,148.77亿,3.62%,2223.80亿,7.67%,4.7900,34.77,7.66,16.77,23.67,6.72%,14.22%,13.78%,9.39,90.38%
2021-09-30,119.54亿,7.65%,119.78亿,7.12%,1839.88亿,8.37%,3.8300,33.58,7.66,16.74,18.53,6.50%,11.50%,11.41%,9.13,90.13%
2021-06-30,105.46亿,28.33%,105.37亿,27.17%,1320.75亿,11.31%,3.3800,34.12,7.66,16.29,13.48,7.99%,9.93%,9.91%,8.60,89.58%
2021-03-31,63.05亿,36.03%,63.11亿,35.90%,813.65亿,19.39%,2.0200,33.26,7.66,16.75,8.35,7.75%,6.14%,6.08%,8.63,89.61%
2020-12-31,142.94亿,-1.82%,143.57亿,12.49%,2065.38亿,18.32%,4.5800,32.59,7.66,14.73,21.53,6.92%,15.36%,14.06%,8.88,89.88%
2020-09-30,111.05亿,-14.60%,111.82亿,0.04%,1697.72亿,27.80%,3.5600,30.07,7.65,14.56,17.82,6.54%,12.36%,11.84%,9.01,90.01%
2020-06-30,82.18亿,-22.07%,82.86亿,-4.69%,1186.60亿,31.51%,2.6300,29.22,7.65,13.64,13.70,6.93%,9.13%,9.01%,9.30,90.29%
2020-03-31,46.35亿,37.66%,46.44亿,38.67%,681.48亿,37.49%,1.4900,28.09,7.68,14.33,9.20,6.80%,5.39%,5.29%,9.71,90.67%
2019-12-31,145.59亿,83.78%,127.63亿,60.16%,1745.66亿,13.23%,4.6700,27.07,7.65,12.85,13.49,8.34%,19.41%,17.24%,9.41,90.39%
2019-09-30,130.03亿,68.83%,111.78亿,44.25%,1328.42亿,7.57%,4.1700,25.58,7.65,13.21,9.00,9.79%,17.41%,16.29%,9.30,90.29%
2019-06-30,105.45亿,81.84%,86.94亿,49.13%,902.32亿,7.84%,3.3800,24.55,7.66,12.43,5.62,11.69%,14.59%,13.77%,9.55,90.52%
2019-03-31,33.67亿,29.05%,33.49亿,27.63%,495.65亿,7.38%,1.0800,23.46,7.66,11.15,3.14,6.80%,4.85%,4.60%,9.49,90.46%
2018-12-31,79.22亿,47.17%,79.69亿,45.02%,1541.67亿,6.96%,2.5400,21.02,7.66,10.07,4.41,5.14%,12.25%,12.08%,10.19,91.06%
2018-09-30,77.02亿,52.76%,77.49亿,51.29%,1234.96亿,6.84%,2.4700,21.35,7.67,10.50,3.43,6.24%,11.77%,11.56%,10.31,91.16%
2018-06-30,57.99亿,79.15%,58.30亿,76.29%,836.69亿,8.53%,1.8600,21.08,7.67,9.89,1.33,6.93%,8.85%,8.82%,10.49,91.29%
2018-03-31,26.09亿,42.03%,26.24亿,38.18%,461.59亿,3.51%,0.8400,20.99,7.67,9.55,-0.16,5.65%,4.04%,3.98%,10.03,90.93%
2017-12-31,53.83亿,8.92%,54.95亿,12.03%,1441.32亿,-1.40%,1.7300,20.42,7.68,8.72,2.52,3.74%,8.76%,8.45%,10.15,91.03%
2017-09-30,50.42亿,5.35%,51.22亿,8.38%,1155.90亿,-1.89%,1.6200,20.39,7.68,8.94,1.39,4.36%,8.18%,7.93%,10.24,91.10%
2017-06-30,32.37亿,-2.88%,33.07亿,0.92%,770.93亿,-11.87%,1.0400,19.78,7.68,8.36,-1.35,4.20%,5.29%,5.24%,10.43,91.25%
2017-03-31,18.37亿,-7.87%,18.99亿,-3.06%,445.95亿,-19.31%,0.5900,19.74,7.67,8.39,-1.57,4.12%,3.04%,2.98%,10.53,91.33%
2016-12-31,49.42亿,-42.54%,49.05亿,-39.32%,1461.73亿,-7.75%,1.5800,18.95,7.67,7.81,2.35,3.38%,8.45%,8.36%,10.83,91.54%
2016-09-30,47.86亿,-44.63%,47.26亿,-45.63%,1177.85亿,-12.10%,1.5300,19.15,7.67,8.05,3.15,4.06%,8.12%,8.01%,10.53,91.33%
2016-06-30,33.33亿,-50.64%,32.77亿,-51.71%,874.51亿,-15.91%,1.0700,18.50,7.67,7.58,2.83,3.81%,5.73%,5.78%,10.89,91.59%
2016-03-31,19.94亿,-44.98%,19.59亿,-46.11%,552.67亿,-16.59%,0.6400,18.35,7.68,7.43,1.55,3.61%,3.47%,3.48%,10.61,91.39%
2015-12-31,86.01亿,34.26%,80.84亿,34.51%,1584.53亿,10.66%,2.7600,18.54,7.68,6.79,2.39,5.43%,16.20%,14.87%,10.42,91.24%
2015-09-30,86.44亿,36.66%,86.92亿,37.08%,1339.94亿,21.90%,2.7700,17.33,7.68,7.35,1.84,6.45%,16.84%,15.98%,10.67,91.43%
2015-06-30,67.52亿,80.15%,67.86亿,81.06%,1039.97亿,27.93%,2.1600,18.25,7.68,6.74,1.10,6.49%,12.75%,11.86%,10.59,91.37%
2015-03-31,36.24亿,132.31%,36.35亿,131.68%,662.56亿,19.96%,1.1600,17.29,7.68,5.95,1.85,5.47%,7.09%,6.72%,11.06,91.71%
2014-12-31,64.06亿,44.87%,60.10亿,33.56%,1431.87亿,10.49%,2.0500,15.50,7.68,4.79,8.03,4.47%,14.63%,13.25%,12.31,92.49%
2014-09-30,63.25亿,60.13%,63.41亿,57.97%,1099.25亿,21.47%,2.0300,15.01,7.68,5.18,9.63,5.75%,14.68%,13.51%,12.04,92.33%
2014-06-30,37.48亿,71.38%,37.48亿,68.07%,812.92亿,29.67%,1.2000,13.88,7.59,4.35,9.37,4.61%,9.04%,8.66%,13.14,92.93%
2014-03-31,15.60亿,6.48%,15.69亿,5.51%,552.31亿,48.25%,0.5000,13.10,7.37,3.80,8.60,2.82%,3.89%,3.82%,13.60,93.15%
2013-12-31,44.22亿,50.77%,45.00亿,54.27%,1295.94亿,10.84%,1.4200,12.60,7.37,3.30,18.01,3.41%,11.76%,11.25%,13.39,93.05%
