报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,7173.57万,325.79%,6846.40万,562.98%,6.36亿,99.42%,0.2261,4.40,1.64,1.59,-0.33,11.25%,32.55%,5.17%,5.09%,283.76,1.15,156.14,127.61,2.84,1.53,1.53,0.39,27.98%
2024-03-31,4038.13万,130.43%,3635.40万,148.48%,2.59亿,56.99%,0.1261,4.36,1.64,1.54,0.21,15.66%,35.07%,2.94%,2.90%,353.07,0.43,209.21,143.86,1.97,0.93,0.93,0.70,41.07%
2023-12-31,7878.35万,3.36%,6572.92万,18.88%,7.71亿,0.12%,0.2525,4.23,1.63,1.42,0.22,10.05%,45.78%,6.01%,5.82%,528.15,1.02,351.77,176.38,1.83,0.87,0.87,0.80,44.49%
2023-09-30,3183.69万,-29.23%,2203.91万,-42.10%,4.98亿,7.68%,0.1230,4.07,1.62,1.28,-0.11,6.12%,37.94%,2.47%,2.44%,540.77,0.75,361.59,179.18,2.54,1.28,1.28,0.42,29.44%
2023-06-30,1684.78万,4.66%,1032.68万,-6.34%,3.19亿,28.00%,0.0738,4.02,1.62,1.24,-0.03,5.07%,38.87%,1.31%,1.31%,565.86,0.47,385.36,180.51,2.94,1.73,1.73,0.33,24.58%
2023-03-31,1752.40万,-20.06%,1463.03万,-23.18%,1.65亿,9.41%,0.0549,5.69,2.66,1.81,0.08,10.42%,38.94%,1.37%,1.35%,565.94,0.24,382.49,183.45,2.97,1.77,1.77,0.32,24.27%
2022-12-31,7622.20万,42.63%,5528.84万,446.43%,7.71亿,13.61%,0.2626,5.56,2.59,1.74,0.11,9.76%,43.03%,6.29%,6.02%,532.90,0.89,403.50,129.40,2.78,1.53,1.53,0.35,25.92%
2022-09-30,4498.69万,-0.13%,3806.12万,43.61%,4.63亿,-7.65%,0.1975,5.38,2.55,1.63,0.0100,9.20%,43.92%,3.76%,3.67%,725.80,0.47,569.62,156.18,2.56,1.33,1.33,0.41,29.31%
2022-06-30,1609.78万,3.37%,1102.54万,-27.46%,2.49亿,-25.86%,0.0706,5.23,2.54,1.51,0.08,5.85%,46.97%,1.36%,1.35%,923.06,0.24,755.67,167.40,2.56,1.26,1.26,0.41,29.32%
2022-03-31,2192.25万,211.32%,1904.60万,196.24%,1.51亿,27.38%,0.0962,5.23,2.55,1.49,-0.29,13.79%,49.77%,1.85%,1.84%,782.28,0.14,626.30,155.98,2.89,1.41,1.41,0.35,25.79%
2021-12-31,5344.03万,46.83%,1011.81万,-67.26%,6.78亿,27.21%,0.2564,5.15,2.53,1.44,-0.29,7.30%,35.62%,6.30%,4.55%,509.57,0.93,385.77,123.80,2.75,1.37,1.37,0.38,27.30%
2021-09-30,4504.35万,578.89%,2650.38万,391.69%,5.01亿,62.04%,0.1983,5.28,2.67,1.46,-0.10,8.31%,39.38%,5.17%,3.74%,515.74,0.71,378.68,137.06,3.11,1.82,1.82,0.35,25.92%
2021-06-30,1557.27万,176.51%,1519.87万,170.38%,3.36亿,98.29%,0.0783,4.18,1.48,1.53,0.18,3.91%,41.45%,1.89%,1.87%,491.16,0.51,355.80,135.36,2.36,1.36,1.36,0.48,32.29%
2021-03-31,-1969.40万,19.35%,-1979.04万,22.50%,1.19亿,117.89%,-0.0990,3.97,1.53,1.35,-0.41,-17.78%,37.46%,-2.45%,-2.47%,664.90,0.19,485.44,179.46,2.41,1.23,1.23,0.46,31.67%
2020-12-31,3639.52万,-45.95%,3090.56万,-49.22%,5.33亿,22.81%,0.1838,4.06,1.51,1.45,-0.40,5.81%,39.01%,4.49%,4.46%,484.29,1.07,337.33,146.96,2.51,1.31,1.31,0.44,30.54%
2020-09-30,663.48万,-90.71%,539.03万,-91.97%,3.09亿,-7.10%,0.0345,3.96,1.57,1.33,-0.42,0.94%,46.87%,0.83%,0.83%,679.78,0.56,478.55,201.22,2.96,1.60,1.60,0.36,26.64%
2020-06-30,-2035.47万,-138.97%,-2159.44万,-145.07%,1.69亿,-26.80%,-0.1018,3.81,1.55,1.20,-0.15,-13.41%,43.49%,-2.57%,-2.66%,690.18,0.39,458.02,232.17,3.27,1.55,1.55,0.31,24.01%
2020-03-31,-2441.90万,-197.15%,-2553.58万,-218.39%,5442.94万,-49.79%,-0.1228,3.85,1.58,1.27,-0.09,-48.09%,37.68%,-3.09%,-3.14%,893.09,0.16,568.18,324.91,4.69,2.70,2.70,0.20,16.86%
2019-12-31,6733.81万,-35.97%,6085.85万,-36.98%,4.34亿,0.63%,0.3376,3.96,1.57,1.39,0.08,14.20%,54.49%,8.72%,8.40%,522.23,1.03,349.07,173.16,4.74,2.29,2.29,0.21,17.07%
2019-09-30,7143.66万,-13.57%,6710.69万,-14.94%,3.33亿,-1.31%,0.3506,4.01,1.61,1.44,-0.17,20.08%,58.81%,9.09%,8.79%,577.88,0.70,383.03,194.85,4.85,3.50,3.50,0.21,17.37%
2019-06-30,5222.64万,13.33%,4791.66万,11.35%,2.32亿,5.92%,0.3676,5.76,2.69,2.13,0.02,21.35%,61.89%,6.68%,6.35%,544.02,0.51,353.57,190.46,5.35,4.15,4.15,0.19,15.91%
2019-03-31,2513.66万,32.54%,2156.84万,20.20%,1.08亿,9.42%,0.1769,5.48,2.66,1.94,-0.0030,22.21%,60.99%,3.29%,3.22%,547.51,0.24,372.83,174.69,4.73,3.45,3.45,0.22,17.94%
2018-12-31,1.05亿,39.78%,9657.62万,39.07%,4.31亿,38.18%,0.7522,5.29,2.58,1.77,0.27,23.88%,56.20%,14.62%,14.00%,489.19,1.05,342.96,146.23,4.63,3.33,3.33,0.21,17.57%
2018-09-30,8264.94万,48.79%,7889.02万,42.47%,3.37亿,53.54%,0.5870,5.09,2.54,1.66,-0.09,24.18%,56.01%,11.93%,11.43%,452.72,0.86,312.97,139.75,6.06,4.35,4.35,0.16,13.84%
2018-06-30,4608.30万,35.91%,4303.14万,27.66%,2.19亿,52.94%,0.3258,4.80,2.51,1.40,-0.10,20.92%,53.62%,6.79%,6.76%,465.81,0.56,319.83,145.99,4.20,2.54,2.54,0.25,19.95%
2018-03-31,1896.48万,7.64%,1794.38万,1.86%,9907.43万,35.87%,0.1896,6.74,3.61,1.95,-0.30,18.76%,48.72%,2.85%,2.81%,449.99,0.29,314.14,135.85,7.35,2.86,2.86,0.13,11.29%
2017-12-31,7523.64万,21.31%,6944.19万,12.87%,3.12亿,26.02%,0.8598,6.55,3.61,1.76,-0.59,24.02%,54.58%,16.30%,11.48%,472.48,0.99,362.32,110.16,5.92,3.70,3.70,0.17,14.62%
2017-09-30,5554.75万,19.35%,5537.19万,18.96%,2.20亿,25.66%,0.6666,6.36,3.61,1.62,-0.33,25.28%,57.33%,13.90%,8.74%,484.77,0.70,384.18,100.60,5.91,2.27,2.27,0.19,15.78%
2017-06-30,3390.70万,9.19%,3370.89万,8.54%,1.43亿,21.52%,0.4521,6.14,3.61,1.41,-0.07,23.72%,57.31%,11.91%,5.52%,426.62,0.55,326.15,100.47,6.33,5.02,5.02,0.17,14.69%
2017-03-31,1761.89万,10.80%,1761.69万,10.79%,7291.75万,12.99%,0.2349,3.74,0.92,1.66,-0.15,24.16%,56.52%,False,6.28%,360.16,0.34,267.38,92.78,3.55,2.50,2.50,0.30,23.36%
2016-12-31,6202.15万,20.83%,6152.64万,23.38%,2.48亿,17.96%,0.8270,3.63,0.92,1.54,0.76,25.03%,55.01%,25.37%,22.79%,385.90,1.23,293.57,92.33,3.07,2.04,2.04,0.37,27.27%
2016-09-30,4654.25万,False,4654.59万,False,1.75亿,False,0.6206,False,False,False,False,26.62%,56.49%,19.57%,False,False,False,False,False,False,False,False,False,False
2016-06-30,3105.23万,False,3105.57万,False,1.18亿,False,0.4140,False,False,False,False,26.40%,56.30%,13.56%,False,False,False,False,False,False,False,False,False,False
2016-03-31,1590.14万,False,1590.14万,False,6453.41万,False,False,False,False,False,False,24.64%,False,False,False,False,False,False,False,False,False,False,False,False
2015-12-31,5132.81万,58.71%,4986.78万,51.52%,2.10亿,33.87%,0.6844,2.91,0.92,0.90,0.17,24.44%,54.29%,26.27%,23.53%,386.24,1.25,287.82,98.42,2.90,1.93,1.93,0.41,29.32%
2014-12-31,3234.04万,24.35%,3291.20万,36.06%,1.57亿,55.42%,0.4600,4.46,2.69,0.70,0.61,20.61%,50.89%,24.58%,18.61%,341.37,1.46,246.95,94.43,2.09,1.34,1.34,0.57,36.43%
