报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
2024-06-30,226.87亿,14.11%,226.78亿,14.85%,2923.07亿,4.15%,0.5100,5.70,0.17,3.84,1.58,10.42%,9.03%,8.97%,5.16,79.05%
2024-03-31,89.63亿,-23.53%,89.28亿,-23.46%,1387.78亿,0.73%,0.2000,5.60,0.17,3.68,0.75,8.69%,3.70%,3.65%,5.03,78.60%
2023-12-31,227.73亿,-10.23%,227.52亿,-5.75%,5530.97亿,4.43%,0.5100,5.50,0.17,3.47,1.60,5.69%,9.64%,9.40%,5.06,78.70%
2023-09-30,205.03亿,-15.49%,203.51亿,-12.49%,4186.64亿,4.32%,0.4600,5.44,0.17,3.49,1.44,6.59%,8.70%,8.53%,4.91,78.38%
2023-06-30,198.81亿,8.66%,197.46亿,11.20%,2806.66亿,6.89%,0.4500,5.47,0.17,3.47,1.35,9.53%,8.30%,8.22%,4.82,78.09%
2023-03-31,117.21亿,229.98%,116.65亿,33.77%,1377.69亿,7.97%,0.2700,5.50,0.17,3.43,0.93,11.65%,5.00%,4.82%,4.60,77.22%
2022-12-31,253.69亿,17.24%,241.39亿,12.41%,5296.33亿,3.88%,0.5700,5.01,0.17,3.02,1.62,5.53%,11.10%,11.02%,5.45,80.08%
2022-09-30,242.62亿,16.78%,232.56亿,13.18%,4013.39亿,6.35%,0.5500,5.00,0.17,3.06,1.19,6.87%,10.60%,10.63%,5.43,80.02%
2022-06-30,182.96亿,8.36%,177.57亿,6.20%,2625.66亿,7.38%,0.4100,5.01,0.17,2.93,1.12,7.36%,8.00%,8.06%,5.40,79.98%
2022-03-31,35.52亿,-64.60%,87.20亿,-12.79%,1276.02亿,9.10%,0.0800,4.84,0.17,2.87,0.53,6.50%,4.00%,4.09%,5.38,79.85%
2021-12-31,216.38亿,7.82%,214.75亿,8.33%,5976.91亿,2.40%,0.4900,4.96,0.17,2.68,1.64,5.12%,10.26%,9.87%,4.93,78.44%
2021-09-30,207.75亿,10.88%,205.47亿,10.33%,4527.10亿,-0.08%,0.4700,4.84,0.17,2.73,1.06,6.35%,9.90%,9.70%,5.00,78.74%
2021-06-30,168.84亿,33.98%,167.20亿,33.28%,3137.25亿,1.11%,0.3800,4.79,0.17,2.64,1.09,7.42%,8.05%,7.97%,4.98,78.67%
2021-03-31,100.34亿,42.10%,99.99亿,41.29%,1737.62亿,2.89%,0.2300,4.70,0.17,2.60,0.52,7.97%,4.90%,4.83%,5.09,79.01%
2020-12-31,200.69亿,-10.41%,198.23亿,3.63%,5836.96亿,5.07%,0.4500,4.57,0.17,2.38,0.72,4.84%,10.39%,9.93%,4.86,78.24%
2020-09-30,187.36亿,-12.32%,186.24亿,4.00%,4530.65亿,6.92%,0.4200,4.47,0.17,2.43,0.38,5.74%,9.80%,9.47%,5.01,78.85%
2020-06-30,126.02亿,-18.79%,125.45亿,2.88%,3102.77亿,7.07%,0.2800,4.35,0.17,2.29,0.44,5.70%,6.71%,6.56%,5.24,79.57%
2020-03-31,70.61亿,19.94%,70.77亿,20.89%,1688.81亿,3.21%,0.1600,4.25,0.17,2.28,0.04,5.85%,3.80%,3.76%,5.06,78.95%
2019-12-31,224.01亿,66.55%,191.28亿,46.74%,5555.15亿,10.27%,0.5100,4.14,0.17,2.12,0.83,5.71%,13.40%,12.23%,4.84,78.21%
2019-09-30,213.68亿,76.33%,179.08亿,48.37%,4237.59亿,7.45%,0.4800,4.05,0.17,2.15,0.37,7.06%,13.00%,11.92%,5.09,79.08%
2019-06-30,155.17亿,58.87%,121.94亿,25.07%,2897.79亿,6.65%,0.3500,3.89,0.17,2.01,0.25,7.48%,9.55%,9.03%,5.16,79.33%
2019-03-31,58.87亿,12.13%,58.54亿,11.89%,1636.36亿,7.00%,0.1300,3.79,0.17,1.88,-0.26,4.98%,3.70%,3.51%,5.13,79.20%
2018-12-31,134.50亿,-19.20%,130.35亿,-22.30%,5037.99亿,3.21%,0.3200,3.45,0.17,1.74,-0.38,3.87%,9.44%,8.82%,5.42,80.09%
2018-09-30,121.18亿,-16.34%,120.70亿,-16.45%,3943.77亿,5.02%,0.2900,3.42,0.09,1.83,-0.72,4.37%,8.59%,8.34%,5.80,81.03%
2018-06-30,97.67亿,3.30%,97.50亿,3.51%,2717.21亿,2.67%,0.2300,3.41,False,False,-0.58,5.13%,6.90%,6.76%,5.85,81.16%
2018-03-31,52.50亿,False,52.32亿,False,1529.24亿,False,0.1200,3.35,0.09,1.70,-0.71,4.84%,3.76%,3.70%,5.73,80.80%
2017-12-31,166.46亿,16.13%,167.77亿,40.91%,4881.41亿,9.78%,0.3900,3.23,0.09,1.58,-0.05,4.87%,12.70%,12.16%,5.86,81.18%
2017-09-30,144.85亿,False,144.46亿,False,3755.19亿,False,0.3400,False,False,False,-0.19,5.53%,10.99%,False,False,False
2017-06-30,94.55亿,False,94.19亿,False,2646.56亿,False,0.2200,3.12,0.09,1.70,-0.08,5.16%,7.29%,7.15%,6.10,81.83%
2016-12-31,143.34亿,-25.25%,119.06亿,-38.35%,4446.72亿,10.41%,0.3400,2.96,0.11,1.51,0.56,4.68%,11.89%,11.42%,6.07,81.75%
2015-12-31,191.76亿,49.60%,193.11亿,52.76%,4027.36亿,15.52%,0.4500,2.72,0.11,1.23,0.48,6.74%,18.46%,16.61%,5.95,81.48%
2014-12-31,128.18亿,6.32%,126.41亿,False,3486.29亿,16.85%,0.3000,2.18,0.11,0.85,-0.0100,5.24%,15.65%,13.89%,7.12,84.00%
2013-12-31,120.56亿,18.84%,False,False,2983.61亿,18.82%,0.2000,False,0.0019,0.60,False,4.04%,False,False,9.23,87.45%
2012-12-31,101.44亿,28.44%,False,False,2511.07亿,11.31%,0.2000,False,0.05,0.44,False,4.04%,False,False,9.26,87.90%
2011-12-31,78.98亿,False,False,False,2255.88亿,False,0.1600,False,-0.49,0.36,False,3.50%,False,False,17.14,91.81%
