报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,6995.03万,516.52%,125.25万,142.84%,19.72亿,14.93%,0.1000,4.68,0.26,3.11,0.0100,3.58%,9.52%,2.06%,2.05%,105.73,4.51,39.89,65.84,1.16,0.90,0.68,0.74,41.59%
2024-03-31,-2081.98万,-218.03%,-2331.94万,-367.60%,8.36亿,-1.87%,-0.0290,4.61,0.26,3.04,-0.06,-2.55%,7.49%,-0.62%,-0.62%,116.18,1.81,49.61,66.57,1.26,1.04,0.82,0.76,41.81%
2023-12-31,-7881.28万,-190.48%,-1.10亿,-1618.93%,35.71亿,-5.03%,-0.1080,4.64,0.26,3.07,0.37,-2.14%,8.61%,-2.28%,-2.33%,113.41,8.07,44.61,68.81,1.25,0.94,0.72,0.77,42.25%
2023-09-30,315.44万,-91.76%,-2302.42万,-7308.69%,26.40亿,-3.72%,0.0040,4.76,0.26,3.19,0.14,0.28%,9.00%,0.09%,0.09%,116.87,5.76,46.88,69.99,1.34,0.98,0.72,0.69,39.80%
2023-06-30,1134.60万,-80.13%,-292.33万,-137.95%,17.16亿,-9.00%,0.0200,4.77,0.26,3.20,0.08,0.94%,10.09%,0.32%,0.33%,116.75,4.07,44.18,72.57,1.35,1.10,0.80,0.69,39.49%
2023-03-31,1763.95万,10.08%,871.44万,-44.04%,8.52亿,-13.50%,0.0240,4.86,0.26,3.30,-0.08,2.21%,11.98%,0.50%,0.50%,122.26,1.87,48.03,74.23,1.55,1.10,0.83,0.69,39.79%
2022-12-31,8710.48万,-87.38%,724.64万,-98.86%,37.60亿,-36.17%,0.1200,4.84,0.26,3.27,0.63,2.57%,11.76%,2.44%,2.47%,131.56,8.09,44.50,87.06,1.53,1.04,0.80,0.72,40.80%
2022-09-30,3829.63万,-94.65%,31.94万,-99.95%,27.43亿,-39.47%,0.0500,4.77,0.26,3.28,0.41,1.64%,10.75%,1.10%,1.10%,126.09,6.22,43.44,82.65,1.52,1.25,0.92,0.68,39.31%
2022-06-30,5710.77万,-89.54%,770.25万,-98.48%,18.86亿,-39.00%,0.0800,4.80,0.26,3.31,0.28,3.17%,10.77%,1.64%,1.64%,130.16,4.21,42.73,87.43,1.59,1.39,1.10,0.69,39.80%
2022-03-31,1602.43万,-93.79%,1557.35万,-93.58%,9.84亿,-26.49%,0.0220,4.82,0.26,3.34,0.16,1.68%,12.02%,0.46%,0.46%,131.65,2.09,43.05,88.59,1.57,1.36,0.96,0.82,44.03%
2021-12-31,6.90亿,282.69%,6.36亿,219.57%,58.91亿,63.34%,0.9480,4.80,0.26,3.32,1.02,11.90%,22.68%,21.50%,19.75%,87.63,12.98,27.73,59.90,1.56,1.39,0.98,0.92,46.62%
2021-09-30,7.15亿,674.31%,6.59亿,556.75%,45.31亿,91.70%,0.9800,4.83,0.26,3.42,1.02,15.99%,24.45%,22.48%,20.34%,91.98,8.45,31.95,60.03,1.53,1.21,0.82,0.95,47.50%
2021-06-30,5.46亿,631.60%,5.08亿,770.77%,30.91亿,124.26%,0.7500,4.60,0.26,3.19,0.50,17.84%,27.50%,17.63%,16.32%,94.14,5.99,30.07,64.07,1.52,1.29,0.94,0.95,47.37%
2021-03-31,2.58亿,657.80%,2.42亿,896.32%,13.39亿,119.14%,0.3540,4.27,0.26,2.85,0.19,19.31%,29.36%,8.67%,8.31%,93.06,2.82,31.94,61.12,1.51,1.33,0.93,0.89,46.44%
2020-12-31,1.80亿,15.51%,1.99亿,76.88%,36.07亿,8.57%,0.2480,3.91,0.26,2.50,0.59,5.09%,18.25%,6.54%,6.33%,114.16,11.63,30.96,83.20,1.47,1.30,0.96,0.85,45.25%
2020-09-30,9239.64万,-28.94%,1.00亿,-19.70%,23.64亿,2.65%,0.1300,3.80,0.26,2.39,0.40,4.03%,16.01%,3.40%,3.34%,121.29,7.90,34.20,87.09,1.55,1.33,1.04,0.71,40.91%
2020-06-30,7465.79万,-16.40%,5837.26万,-24.87%,13.78亿,-6.64%,0.1000,3.77,0.26,2.37,0.23,5.52%,16.10%,2.76%,2.72%,127.73,5.13,35.10,92.63,1.60,1.42,1.12,0.65,38.74%
2020-03-31,3405.30万,31.73%,2433.82万,26.52%,6.11亿,-11.42%,0.0470,3.71,0.26,2.31,0.19,5.58%,17.85%,1.27%,1.26%,149.91,2.04,44.13,105.78,1.88,1.69,1.42,0.71,40.97%
2019-12-31,1.56亿,-46.71%,1.12亿,-56.12%,33.22亿,-9.80%,0.2150,3.67,0.26,2.27,0.73,4.86%,17.69%,6.02%,5.85%,105.98,15.41,23.36,82.62,1.81,1.65,1.33,0.76,42.47%
2019-09-30,1.30亿,-45.05%,1.25亿,-36.55%,23.03亿,-19.11%,0.1800,3.63,0.26,2.27,0.66,5.77%,17.26%,5.04%,4.92%,100.38,12.23,22.07,78.30,1.96,1.80,1.80,0.66,39.58%
2019-06-30,8930.20万,-48.98%,7769.90万,-47.02%,14.76亿,-21.70%,0.1200,3.58,0.26,2.22,0.05,6.12%,17.83%,3.49%,3.43%,107.20,7.85,22.93,84.27,2.06,1.88,1.88,0.59,36.75%
2019-03-31,2585.15万,-70.79%,1923.72万,-74.24%,6.90亿,-24.39%,0.0360,3.49,0.26,2.13,0.0072,3.53%,14.77%,1.02%,1.02%,108.49,4.19,21.48,87.01,2.07,1.92,1.92,0.58,36.23%
2018-12-31,2.93亿,-45.47%,2.56亿,-50.07%,36.83亿,0.20%,0.4020,3.45,0.26,2.09,0.61,8.24%,18.30%,12.37%,11.65%,95.72,18.80,19.15,76.57,2.03,1.93,1.93,0.64,38.87%
2018-09-30,2.37亿,-40.21%,1.97亿,-48.37%,28.47亿,9.69%,0.3300,3.38,0.26,2.02,0.38,8.46%,17.89%,10.11%,9.61%,98.27,12.83,21.05,77.22,1.91,1.22,1.22,0.72,41.49%
2018-06-30,1.75亿,-33.16%,1.47亿,-42.04%,18.85亿,13.39%,0.2400,3.29,0.26,1.94,0.33,9.47%,18.84%,7.58%,7.30%,100.65,8.04,22.39,78.26,1.78,1.18,1.18,0.78,43.53%
2018-03-31,8850.55万,-41.88%,7468.40万,-49.44%,9.12亿,8.02%,0.1220,3.17,0.26,1.82,0.23,9.82%,20.08%,3.91%,3.83%,108.80,3.45,26.12,82.68,1.64,1.03,1.03,0.91,47.37%
2017-12-31,5.37亿,57.54%,5.14亿,54.94%,36.76亿,20.37%,0.7380,3.05,0.26,1.70,0.92,14.62%,26.81%,27.17%,24.19%,98.88,14.45,24.91,73.98,1.76,1.11,1.11,0.84,45.73%
2017-09-30,3.96亿,150.68%,3.81亿,147.96%,25.95亿,25.06%,0.5400,2.86,0.26,1.52,0.52,15.25%,27.17%,20.76%,19.03%,95.63,10.15,26.60,69.02,1.83,1.17,1.17,0.70,41.17%
2017-06-30,2.62亿,203.21%,2.53亿,204.04%,16.63亿,24.76%,0.3600,2.67,0.26,1.33,0.28,15.75%,27.57%,14.24%,13.46%,93.90,7.98,22.57,71.33,1.78,1.24,1.24,0.69,40.76%
2017-03-31,1.52亿,280.67%,1.48亿,285.75%,8.45亿,35.57%,0.2090,2.59,0.26,1.25,0.18,18.03%,31.63%,8.42%,8.08%,103.26,2.94,30.60,72.66,1.69,1.19,1.19,0.75,42.78%
2016-12-31,3.41亿,530.21%,3.31亿,647.74%,30.54亿,19.98%,0.4690,2.38,0.26,1.04,0.74,11.17%,23.60%,21.85%,19.69%,102.95,13.38,26.90,76.05,1.55,1.12,1.12,0.84,45.57%
2016-09-30,1.58亿,242.37%,1.54亿,332.96%,20.75亿,12.50%,0.2169,2.13,0.26,0.80,0.40,7.61%,18.94%,10.75%,10.20%,103.04,9.92,27.21,75.84,1.55,1.13,1.13,0.84,45.62%
2016-06-30,8635.75万,135.78%,8322.19万,201.50%,13.33亿,6.85%,0.1200,2.03,0.26,0.70,0.15,6.48%,18.74%,6.03%,5.85%,111.07,6.29,28.63,82.43,1.50,1.15,1.15,0.85,46.00%
