报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,5403.72万,-11.04%,4906.85万,-9.22%,3.41亿,-60.86%,0.0757,4.13,2.28,0.91,0.10,16.45%,32.07%,1.76%,1.77%,15.97,38.19,4.71,11.26,6.51,6.36,6.36,0.28,20.84%
2024-03-31,947.40万,-53.20%,705.54万,-59.41%,1.31亿,-72.04%,0.0128,4.19,2.28,0.94,-0.06,7.58%,20.25%,0.31%,0.31%,18.87,13.69,6.57,12.30,7.18,7.02,7.02,0.27,20.21%
2023-12-31,1.30亿,2848.55%,8896.63万,345.10%,16.00亿,-16.10%,0.1782,4.21,2.28,0.93,0.51,7.46%,15.25%,4.24%,4.17%,36.22,11.15,32.29,3.93,5.95,5.85,5.85,0.29,21.35%
2023-09-30,1.04亿,1482.97%,9682.67万,261941.03%,12.82亿,-18.80%,0.1415,4.22,2.29,0.90,0.30,8.09%,16.47%,3.40%,3.35%,57.30,5.21,51.79,5.51,5.10,4.46,4.46,0.32,22.83%
2023-06-30,6074.39万,1111.56%,5405.19万,621.69%,8.71亿,-21.65%,0.0823,4.19,2.29,0.84,0.12,7.00%,13.96%,1.99%,1.96%,56.94,3.51,51.31,5.63,4.88,4.18,4.18,0.33,23.36%
2023-03-31,2024.22万,42.15%,1738.24万,32.26%,4.67亿,-9.30%,0.0274,4.17,2.30,0.79,0.08,4.28%,8.07%,0.67%,0.66%,49.41,1.99,45.34,4.07,3.62,3.15,3.15,0.40,27.00%
2022-12-31,439.67万,-95.83%,-3629.75万,-140.60%,19.07亿,-12.43%,0.0060,4.10,2.24,0.76,0.68,0.25%,5.45%,0.14%,0.14%,43.85,8.87,40.59,3.26,2.81,2.29,2.29,0.40,27.37%
2022-09-30,659.61万,-90.06%,-3.70万,-100.07%,15.78亿,-2.90%,0.0089,4.15,2.25,0.77,0.64,0.67%,7.13%,0.21%,0.22%,37.22,8.03,33.64,3.57,3.60,3.02,3.02,0.34,24.40%
2022-06-30,-600.50万,-112.03%,-1036.09万,-124.02%,11.12亿,-3.65%,-0.0081,4.23,2.25,0.85,0.45,-0.37%,6.96%,-0.19%,-0.19%,34.99,5.61,32.07,2.93,3.74,3.16,3.16,0.42,28.74%
2022-03-31,1423.97万,8.06%,1314.25万,16.86%,5.15亿,-16.55%,0.0193,4.26,2.24,0.88,0.38,3.25%,11.83%,0.45%,0.45%,42.05,2.30,39.14,2.91,2.87,2.26,2.26,0.51,32.72%
2021-12-31,1.05亿,118.10%,8940.93万,524.43%,21.78亿,11.69%,0.1649,4.24,2.24,0.86,0.79,5.32%,14.85%,4.06%,3.37%,44.37,8.85,40.67,3.70,3.03,2.65,2.65,0.49,31.87%
2021-09-30,6633.41万,939.81%,5419.70万,103644.22%,16.25亿,18.82%,0.1095,4.15,2.21,0.80,0.67,4.33%,12.83%,2.90%,2.17%,43.90,6.81,39.64,4.26,4.60,3.80,3.80,0.50,32.18%
2021-06-30,4993.66万,263.82%,4313.46万,223.78%,11.54亿,52.22%,0.0879,3.95,1.76,1.02,0.98,4.49%,12.80%,2.22%,2.22%,42.18,4.97,36.19,5.98,3.17,2.45,2.45,0.69,39.52%
2021-03-31,1317.81万,135.71%,1124.63万,129.25%,6.18亿,115.69%,0.0232,3.94,1.76,1.00,0.74,2.44%,10.01%,0.59%,0.59%,39.76,2.57,35.04,4.73,2.55,1.91,1.91,0.81,43.40%
