报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,2114.10万,-21.17%,2223.61万,-8.78%,18.90亿,-43.19%,0.0440,5.14,0.44,3.34,-0.26,1.12%,4.92%,0.86%,0.86%,129.44,2.12,84.83,44.62,1.62,0.52,0.50,0.63,38.52%
2024-03-31,821.59万,71.47%,843.39万,294.47%,7.05亿,-66.82%,0.0171,5.10,0.43,3.32,0.17,1.16%,6.38%,0.34%,0.34%,159.53,0.89,100.66,58.87,1.94,0.83,0.80,0.46,31.40%
2023-12-31,8080.52万,-72.87%,7583.88万,160.06%,45.14亿,180.15%,0.1681,5.08,0.44,3.30,-0.09,1.79%,6.05%,3.15%,3.31%,93.27,5.43,66.29,26.98,1.81,0.77,0.76,0.52,34.26%
2023-09-30,5769.27万,-80.67%,5456.77万,50.16%,43.08亿,479.20%,0.1200,5.04,0.43,3.26,-0.25,1.34%,4.42%,2.26%,2.38%,76.02,5.27,51.20,24.81,1.99,0.91,0.88,0.44,30.34%
2023-06-30,2682.01万,-91.10%,2437.59万,-37.26%,33.27亿,610.57%,0.0558,4.97,0.43,3.19,-0.17,0.80%,3.62%,1.06%,1.12%,67.04,4.02,44.81,22.23,1.98,0.90,0.87,0.42,29.73%
2023-03-31,479.16万,-77.22%,213.80万,-89.68%,21.24亿,710.09%,0.0100,5.26,0.78,3.15,-0.15,0.47%,2.21%,0.19%,0.19%,49.78,2.48,36.32,13.46,2.84,0.82,0.79,0.29,21.69%
2022-12-31,2.98亿,976.84%,2916.15万,915.72%,16.11亿,43.98%,0.6197,5.25,0.78,3.14,-0.68,19.51%,9.55%,12.57%,11.79%,251.83,1.89,190.34,61.50,4.03,1.09,1.04,0.18,15.14%
2022-09-30,2.98亿,399.46%,3633.95万,10.74%,7.44亿,11.19%,0.6208,5.28,0.78,3.15,-0.77,41.44%,14.49%,12.52%,11.75%,472.41,0.83,323.55,148.86,2.97,1.40,1.38,0.23,18.41%
2022-06-30,3.01亿,472.55%,3884.99万,71.31%,4.68亿,14.36%,0.6268,5.27,0.78,3.16,-0.22,65.96%,16.48%,12.65%,11.88%,487.28,0.51,352.53,134.75,2.84,1.36,1.34,0.24,19.19%
2022-03-31,2103.85万,-38.17%,2072.26万,385.72%,2.62亿,70.44%,0.0438,4.66,0.79,2.68,-0.02,9.99%,18.69%,0.94%,0.94%,426.61,0.29,314.58,112.04,1.12,0.41,0.40,0.57,35.90%
2021-12-31,2766.27万,-68.82%,287.10万,-79.36%,11.19亿,102.47%,0.0575,4.62,0.78,2.64,0.02,2.26%,9.09%,1.25%,1.25%,307.37,1.41,254.83,52.53,1.09,0.48,0.47,0.64,38.63%
2021-09-30,5974.32万,-7.25%,3281.48万,72.47%,6.69亿,79.86%,0.1243,4.71,0.78,2.71,-0.14,8.19%,3.05%,2.67%,2.64%,305.33,0.91,295.53,9.80,1.98,0.29,0.29,0.42,29.60%
