报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,70.79亿,419.99%,56.51亿,654.04%,914.29亿,30.67%,0.8300,8.62,0.36,6.70,1.10,7.74%,20.74%,10.10%,9.58%,80.07,2.71,66.31,13.76,1.10,0.76,0.50,1.69,62.78%
2024-03-31,32.28亿,1752.55%,20.24亿,1032.88%,428.60亿,47.60%,0.3800,8.36,0.33,6.55,-0.31,7.53%,20.04%,4.60%,4.50%,83.37,1.30,69.20,14.17,1.14,0.80,0.49,1.73,63.31%
2023-12-31,70.22亿,-15.06%,48.34亿,7.98%,1732.12亿,26.12%,0.8200,8.02,0.24,6.21,2.09,4.05%,18.73%,10.61%,10.25%,77.00,5.75,62.66,14.35,1.07,0.76,0.49,1.94,65.96%
2023-09-30,49.95亿,-38.79%,38.07亿,-12.27%,1195.04亿,20.13%,0.5900,7.70,0.25,6.08,-0.22,4.18%,18.84%,7.54%,7.60%,79.73,4.10,65.83,13.90,1.10,0.73,0.37,1.91,65.64%
2023-06-30,13.61亿,-75.69%,7.49亿,-63.60%,699.71亿,12.61%,0.1600,7.30,0.29,5.65,-0.29,1.95%,16.85%,2.10%,2.18%,87.67,2.53,71.05,16.62,1.07,0.69,0.42,1.95,66.15%
2023-03-31,1.74亿,-89.34%,-2.17亿,-116.65%,290.39亿,-13.63%,0.0200,7.42,0.27,5.82,-0.97,0.60%,16.07%,0.27%,0.28%,104.77,1.05,85.58,19.19,1.09,0.69,0.41,1.81,64.44%
2022-12-31,82.66亿,22.90%,44.77亿,6.51%,1373.40亿,0.69%,0.9100,7.40,0.24,5.61,1.40,6.01%,19.37%,12.66%,12.68%,74.84,6.09,59.07,15.77,1.12,0.75,0.52,1.84,64.82%
2022-09-30,81.60亿,65.03%,43.40亿,18.81%,994.80亿,9.56%,0.8900,7.75,0.69,5.39,0.62,8.19%,19.92%,12.10%,11.45%,74.65,4.35,62.02,12.63,1.27,0.86,0.57,1.59,61.39%
2022-06-30,56.01亿,58.72%,20.59亿,-27.56%,621.34亿,0.33%,0.6100,7.48,0.75,5.05,0.88,9.00%,18.38%,8.43%,8.04%,76.95,2.96,60.72,16.22,1.26,0.89,0.63,1.69,62.76%
2022-03-31,16.34亿,-0.34%,13.03亿,-2.41%,336.19亿,8.04%,0.1800,6.98,0.62,4.71,-1.24,4.85%,17.18%,2.58%,2.52%,61.97,1.83,49.14,12.84,1.18,0.83,0.41,1.70,62.94%
2021-12-31,67.26亿,25.43%,42.03亿,9.55%,1364.05亿,32.04%,0.7300,6.69,0.53,4.54,3.82,4.93%,16.16%,11.26%,10.83%,46.13,10.66,33.78,12.35,1.13,0.84,0.51,1.82,64.58%
2021-09-30,49.45亿,91.13%,36.53亿,94.58%,907.97亿,46.11%,0.5400,6.35,0.42,4.40,1.81,5.45%,16.58%,8.38%,8.38%,48.65,7.43,36.34,12.31,1.25,0.94,0.42,1.83,64.63%
2021-06-30,35.29亿,207.87%,28.42亿,254.16%,619.28亿,72.36%,0.3900,6.42,0.27,4.56,1.64,5.70%,16.25%,6.10%,5.94%,40.12,6.06,29.72,10.40,1.32,1.03,0.46,1.64,62.19%
2021-03-31,16.39亿,352.17%,13.35亿,278.33%,311.17亿,150.62%,0.1800,6.16,0.20,4.37,0.02,5.27%,15.13%,2.83%,2.90%,37.36,3.27,27.54,9.81,1.27,0.95,0.26,1.58,61.27%
2020-12-31,53.62亿,19.25%,38.36亿,-3.77%,1033.08亿,7.38%,0.5900,6.25,0.19,4.47,0.56,5.19%,17.21%,9.58%,9.35%,41.33,12.45,28.91,12.42,1.22,0.96,0.30,1.69,62.77%
