报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
2024-06-30,8770.93万,-85.39%,7699.89万,-87.00%,10.86亿,-39.91%,0.0300,6.45,2.89,1.13,2.25,8.35%,0.48%,0.48%,4.09,80.05%
2024-03-31,-2.19亿,-205.50%,-2.27亿,-211.91%,1.73亿,-74.44%,-0.0800,6.32,2.89,1.17,-0.36,-124.93%,-1.23%,-1.22%,4.19,80.41%
2023-12-31,6.71亿,-12.51%,5.94亿,-18.64%,29.55亿,12.68%,0.2400,6.27,2.89,1.25,-0.25,22.82%,3.89%,3.78%,3.88,79.20%
2023-09-30,7.27亿,12.94%,6.61亿,3.83%,25.07亿,22.02%,0.2600,6.32,2.89,1.34,-0.58,28.94%,4.20%,4.06%,4.01,79.71%
2023-06-30,6.00亿,37.30%,5.92亿,37.33%,18.07亿,41.87%,0.2100,6.27,2.89,1.30,0.93,33.26%,3.48%,3.38%,3.83,78.99%
2023-03-31,2.07亿,9.79%,2.03亿,9.25%,6.78亿,6.66%,0.0700,6.10,2.89,1.17,-0.13,30.57%,1.22%,1.20%,3.74,78.90%
2022-12-31,7.67亿,-13.66%,7.30亿,-17.86%,26.23亿,-11.59%,0.2700,5.92,2.89,1.10,0.31,29.25%,4.62%,4.58%,3.44,77.47%
2022-09-30,6.44亿,-2.03%,6.37亿,-2.16%,20.55亿,0.04%,0.2300,5.89,2.89,1.15,-0.60,31.32%,3.88%,3.86%,3.12,75.76%
2022-06-30,4.37亿,15.37%,4.31亿,15.85%,12.74亿,12.71%,0.1500,5.85,2.89,1.08,-0.43,34.33%,2.63%,2.64%,3.75,78.95%
2022-03-31,1.89亿,20.05%,1.85亿,21.20%,6.36亿,35.15%,0.0700,5.87,2.89,1.09,-1.79,29.69%,1.14%,1.14%,3.36,77.04%
2021-12-31,8.89亿,51.16%,8.88亿,52.36%,29.67亿,58.11%,0.3600,5.78,2.89,0.99,-1.83,29.95%,7.27%,5.42%,3.03,75.16%
2021-09-30,6.57亿,43.07%,6.51亿,42.87%,20.54亿,50.44%,0.2800,6.75,3.44,1.18,-1.95,31.98%,6.05%,4.09%,3.03,75.19%
2021-06-30,3.79亿,17.98%,3.72亿,17.35%,11.30亿,37.42%,0.1600,4.47,1.53,1.06,-0.72,33.54%,3.52%,3.56%,4.60,82.16%
2021-03-31,1.57亿,-31.40%,1.53亿,-33.09%,4.71亿,-4.95%,0.0700,4.52,1.53,1.09,-0.09,33.43%,1.47%,1.46%,3.94,79.74%
2020-12-31,5.88亿,12.76%,5.83亿,13.09%,18.76亿,15.87%,0.2800,4.45,1.53,1.02,-1.85,31.33%,6.41%,5.55%,3.36,77.08%
2020-09-30,4.59亿,-3.92%,4.55亿,-4.04%,13.65亿,13.01%,0.2300,4.40,1.53,1.04,-1.14,33.63%,5.26%,4.39%,2.97,74.78%
2020-06-30,3.21亿,-9.84%,3.17亿,-10.14%,8.22亿,-3.42%,0.1700,4.41,1.14,1.23,-0.64,39.06%,3.90%,3.83%,3.40,77.29%
2020-03-31,2.29亿,-22.37%,2.29亿,-22.02%,4.95亿,-14.23%,0.1200,4.36,False,False,-0.59,46.32%,2.80%,2.76%,3.52,77.86%
2019-12-31,5.21亿,930.57%,5.16亿,1045.82%,16.19亿,63.62%,0.2700,4.24,1.14,1.06,2.00,32.19%,6.64%,6.46%,2.52,71.61%
2019-09-30,4.78亿,False,4.75亿,False,12.08亿,False,0.2500,4.22,1.14,1.12,2.24,39.56%,6.08%,5.96%,2.11,67.81%
2019-06-30,3.56亿,166.91%,3.53亿,False,8.51亿,48.29%,0.1900,4.15,1.14,1.06,2.20,41.85%,4.56%,4.51%,2.12,67.97%
2019-03-31,2.95亿,False,2.93亿,False,5.77亿,False,False,False,False,False,False,51.17%,False,False,False,False
2018-12-31,5058.80万,-86.01%,4499.40万,-87.34%,9.90亿,-21.61%,0.0300,4.02,1.14,0.93,-0.14,5.11%,0.66%,0.66%,1.78,64.06%
2018-06-30,1.33亿,-43.89%,False,False,5.74亿,-7.22%,0.0700,False,False,False,False,23.25%,False,False,False,False
