报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
2024-06-30,6.54亿,-8.42%,6.46亿,-7.57%,33.29亿,-15.39%,0.1462,6.31,3.58,0.79,0.78,20.06%,2.31%,2.32%,2.35,70.04%
2024-03-31,1.96亿,-45.24%,1.89亿,-46.62%,15.95亿,-12.01%,0.0439,6.30,3.58,0.78,0.49,12.79%,0.70%,0.70%,2.50,71.25%
2023-12-31,11.66亿,170.76%,11.57亿,178.81%,68.94亿,29.87%,0.2608,6.25,3.58,0.74,0.06,17.37%,4.24%,4.17%,2.44,70.77%
2023-09-30,8.76亿,76.17%,8.70亿,79.56%,57.23亿,31.12%,0.1960,6.19,3.58,0.75,0.09,15.76%,3.20%,3.17%,2.46,70.99%
2023-06-30,7.14亿,98.65%,6.99亿,96.15%,39.35亿,43.55%,0.1597,6.15,3.58,0.71,-0.0059,18.60%,2.61%,2.59%,2.45,70.90%
2023-03-31,3.58亿,2227.12%,3.53亿,1885.26%,18.13亿,81.60%,0.0802,6.13,3.58,0.69,-0.12,20.21%,1.32%,1.31%,2.55,71.75%
2022-12-31,4.31亿,-69.47%,4.15亿,-70.08%,53.08亿,-21.37%,0.0963,6.04,3.58,0.61,-1.06,8.63%,1.58%,1.58%,2.54,71.61%
2022-09-30,4.97亿,-49.78%,4.84亿,-50.70%,43.65亿,-8.92%,0.1113,6.06,3.58,0.65,-0.93,11.97%,1.83%,1.84%,2.53,71.60%
2022-06-30,3.59亿,-49.77%,3.56亿,-49.72%,27.41亿,-14.81%,0.0804,6.03,3.58,0.62,-0.84,13.68%,1.32%,1.33%,2.59,72.07%
2022-03-31,-1684.53万,-106.45%,-1978.64万,-107.61%,9.98亿,-20.43%,-0.0038,6.06,3.58,0.65,-0.80,-0.92%,-0.06%,-0.06%,2.15,68.17%
2021-12-31,14.10亿,26.23%,13.86亿,26.38%,67.51亿,30.22%,0.3155,6.06,3.58,0.65,-3.07,21.11%,5.31%,5.20%,2.14,68.03%
2021-09-30,9.90亿,6.94%,9.83亿,8.58%,47.93亿,30.93%,0.2200,5.97,3.58,0.68,-2.90,20.91%,3.76%,3.71%,1.73,63.30%
2021-06-30,7.15亿,12.14%,7.08亿,14.30%,32.17亿,44.91%,0.1600,5.90,3.58,0.61,-1.40,22.48%,2.72%,2.71%,1.53,60.41%
2021-03-31,2.61亿,2.97%,2.60亿,10.65%,12.55亿,36.37%,0.0585,5.88,3.58,0.59,-1.28,21.02%,1.00%,0.99%,1.44,59.00%
2020-12-31,11.17亿,83.07%,10.97亿,85.49%,51.84亿,40.85%,0.3190,5.82,3.58,0.53,-0.25,21.84%,6.18%,4.29%,1.45,59.12%
2020-09-30,9.26亿,77.28%,9.05亿,79.87%,36.60亿,22.53%,0.2600,5.25,2.71,0.72,-0.30,25.69%,5.14%,5.04%,1.93,65.76%
2020-06-30,6.38亿,37.96%,6.20亿,39.13%,22.20亿,6.92%,0.1800,5.16,2.71,0.63,0.10,29.17%,3.56%,3.53%,1.83,64.53%
2020-03-31,2.54亿,-56.41%,2.35亿,-59.28%,9.20亿,-30.95%,0.0700,5.12,2.71,0.59,0.46,27.72%,1.43%,1.42%,1.84,64.66%
2019-12-31,6.10亿,204.42%,5.91亿,258.59%,36.81亿,64.51%,0.1742,5.04,2.71,0.51,0.86,16.74%,3.50%,3.46%,1.75,63.50%
2019-09-30,5.22亿,51.88%,5.03亿,63.16%,29.87亿,83.66%,0.1500,5.04,2.71,0.55,0.57,17.65%,2.98%,2.96%,1.81,64.25%
2019-06-30,4.62亿,84.23%,4.45亿,106.07%,20.76亿,81.63%,0.1300,5.07,2.71,0.59,1.17,22.42%,2.64%,2.60%,1.89,65.29%
2019-03-31,5.82亿,258.35%,5.77亿,342.30%,13.32亿,136.53%,0.1700,5.11,2.71,0.64,1.32,43.72%,3.28%,3.25%,2.06,67.23%
2018-12-31,2.00亿,-73.36%,1.65亿,-77.90%,22.37亿,-29.42%,0.0600,4.96,2.71,0.51,0.91,9.02%,1.15%,1.15%,2.01,66.66%
2018-09-30,3.44亿,-51.55%,3.08亿,-56.42%,16.27亿,-27.48%,0.1000,5.01,2.71,0.58,0.52,21.10%,1.96%,1.96%,2.05,67.11%
2018-06-30,2.51亿,-42.63%,2.16亿,-50.55%,11.43亿,-19.78%,0.0700,5.00,2.71,0.55,0.14,21.86%,1.42%,1.43%,1.82,64.40%
2018-03-31,1.62亿,-10.71%,1.30亿,-28.20%,5.63亿,-15.07%,0.0500,5.04,2.71,0.60,0.25,28.89%,0.92%,0.92%,1.97,66.28%
2017-12-31,7.52亿,-33.11%,7.46亿,-32.54%,31.70亿,-6.94%,0.2303,5.02,2.71,0.55,-1.27,23.80%,4.77%,4.28%,1.91,65.54%
2017-09-30,7.10亿,-24.08%,7.08亿,-22.99%,22.43亿,-13.22%,0.2200,5.01,2.71,0.60,-1.17,31.65%,4.65%,4.05%,2.09,67.56%
2017-06-30,4.37亿,-25.70%,4.37亿,-23.70%,14.25亿,-16.10%,0.1400,4.93,2.71,0.52,-0.71,30.68%,3.09%,2.53%,2.02,66.85%
2017-03-31,1.82亿,-34.22%,1.82亿,-34.05%,6.63亿,-27.68%,0.0700,4.51,1.95,0.70,0.02,27.32%,1.46%,1.44%,3.08,75.37%
2016-12-31,11.25亿,-42.99%,11.06亿,-43.68%,34.06亿,-39.61%,0.4023,4.44,1.95,0.64,-1.87,32.68%,9.20%,9.06%,3.36,76.97%
2016-09-30,9.35亿,-45.87%,9.19亿,-46.56%,25.85亿,-36.90%,0.3300,4.40,1.95,0.69,-2.75,35.79%,7.59%,7.61%,3.23,76.28%
2016-06-30,5.89亿,-61.21%,5.73亿,-62.14%,16.99亿,-43.67%,0.2106,4.27,1.95,0.56,-1.92,34.25%,4.77%,4.94%,3.45,77.48%
2016-03-31,2.77亿,-46.69%,2.75亿,-46.90%,9.17亿,-16.16%,0.1000,4.37,1.95,0.67,-0.86,29.72%,2.27%,2.27%,3.43,77.34%
2015-12-31,19.73亿,197.15%,19.64亿,197.79%,56.41亿,191.00%,0.7200,4.34,1.95,0.57,-0.04,34.89%,19.87%,16.25%,3.79,79.06%
2015-09-30,17.28亿,309.35%,17.19亿,310.67%,40.96亿,266.18%,0.6300,4.20,1.95,0.70,2.68,42.15%,18.39%,14.72%,3.75,78.85%
2015-06-30,15.18亿,896.75%,15.13亿,892.40%,30.15亿,446.36%,0.5600,4.16,1.95,0.62,2.34,50.25%,17.65%,13.05%,4.15,80.52%
2015-03-31,5.19亿,553.02%,5.19亿,543.45%,10.94亿,286.30%,0.3700,7.70,4.39,1.18,0.63,47.06%,9.23%,4.82%,2.63,72.32%
2014-12-31,6.64亿,141.27%,6.60亿,141.24%,19.38亿,71.19%,0.5500,4.46,1.22,0.94,3.23,34.07%,13.28%,12.40%,4.39,81.28%
2014-09-30,4.22亿,60.82%,4.19亿,59.59%,11.19亿,28.09%,0.3500,4.22,1.29,0.90,2.63,37.77%,8.65%,8.32%,3.05,75.33%
2014-06-30,1.52亿,-12.52%,1.52亿,-12.50%,5.52亿,-2.77%,0.1300,3.96,1.26,0.68,0.52,27.69%,3.22%,3.20%,1.61,61.65%
2014-03-31,7944.73万,-41.98%,8063.18万,-41.11%,2.83亿,-20.16%,0.0700,3.94,1.24,0.68,0.26,28.19%,1.70%,1.68%,1.44,58.97%
2013-12-31,2.75亿,131.41%,2.73亿,141.16%,11.32亿,42.34%,0.2300,3.87,1.24,0.62,-1.15,24.28%,6.02%,5.89%,1.40,58.27%
2013-09-30,2.62亿,59.68%,2.62亿,60.89%,8.70亿,34.71%,0.2200,3.86,1.23,0.67,-0.98,30.19%,5.76%,5.67%,1.37,57.76%
2013-06-30,1.74亿,70.34%,1.74亿,72.63%,5.66亿,33.59%,0.1500,3.85,1.23,0.67,-0.61,30.80%,3.84%,3.77%,1.49,59.83%
2013-03-31,1.37亿,140.07%,1.37亿,140.14%,3.54亿,69.04%,0.1100,3.82,1.23,0.64,-0.32,38.74%,3.03%,2.98%,1.41,58.38%
2012-12-31,1.19亿,-46.74%,1.13亿,-48.28%,7.93亿,-23.22%,0.1000,3.71,1.23,0.52,-0.68,14.97%,2.73%,2.67%,1.36,57.64%
2012-09-30,1.64亿,-37.32%,1.63亿,False,6.46亿,-26.42%,0.1500,4.18,1.21,1.04,-0.87,25.44%,3.93%,3.28%,1.16,53.60%
2012-06-30,1.02亿,-54.88%,1.01亿,-55.28%,4.23亿,-34.65%,0.1000,4.15,1.24,0.99,-0.72,24.13%,2.69%,2.05%,1.20,54.50%
2012-03-31,5703.59万,-71.51%,5701.55万,-71.60%,2.09亿,-52.83%,0.0600,3.24,-0.0100,1.14,0.02,27.26%,1.78%,1.76%,2.11,67.79%
2011-12-31,2.23亿,-58.44%,2.19亿,-58.82%,10.33亿,-32.78%,0.2200,3.18,-0.02,1.09,-2.65,21.56%,7.10%,7.04%,2.11,67.82%
2011-09-30,2.62亿,False,False,False,8.77亿,False,0.2600,False,False,False,False,29.83%,False,False,False,False
2011-06-30,2.27亿,False,2.26亿,False,6.48亿,False,0.2300,3.19,-0.0055,1.09,-1.11,34.92%,7.18%,7.10%,2.56,71.88%
2011-03-31,2.00亿,False,2.01亿,False,4.43亿,False,0.2000,False,False,False,0.16,45.12%,6.36%,False,False,False
2010-12-31,5.37亿,-32.15%,5.32亿,-32.66%,15.36亿,-11.89%,0.5400,3.11,0.14,0.93,-2.50,34.96%,18.24%,17.24%,2.99,74.85%
2009-12-31,7.92亿,97.93%,7.90亿,97.20%,17.44亿,70.28%,0.7900,2.83,0.05,0.91,6.75,45.38%,32.84%,27.97%,4.23,80.83%
2008-12-31,4.00亿,-68.25%,4.01亿,False,10.24亿,-61.18%,0.4000,1.99,-0.0011,0.35,-2.80,39.04%,18.91%,20.09%,2.82,73.75%
2007-12-31,12.59亿,89.29%,False,False,26.38亿,97.60%,False,False,0.37,0.89,False,47.74%,False,False,3.55,78.02%
2006-12-31,6.65亿,False,False,False,13.35亿,False,False,False,0.09,0.56,False,49.83%,False,False,1.93,65.85%
