报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,3.84亿,195.83%,3.74亿,197.83%,20.40亿,17.51%,0.6300,10.10,2.60,6.02,0.26,18.81%,26.91%,6.32%,6.22%,93.90,2.84,63.34,30.56,6.52,5.70,5.21,0.11,9.91%
2024-03-31,1.54亿,672.53%,1.54亿,610.63%,9.59亿,23.28%,0.2500,9.95,2.60,5.88,0.22,16.10%,22.77%,2.58%,2.54%,90.93,1.47,61.30,29.63,5.94,5.21,4.90,0.12,10.86%
2023-12-31,2.80亿,-42.41%,2.09亿,-53.62%,33.34亿,-30.12%,0.4600,9.65,2.59,5.63,0.79,8.39%,13.40%,4.83%,4.75%,103.03,5.29,68.01,35.03,5.22,4.46,4.28,0.14,12.43%
2023-09-30,2.38亿,-48.45%,1.70亿,-60.94%,26.09亿,-30.76%,0.3900,9.58,2.58,5.56,0.70,9.12%,12.42%,4.14%,4.07%,89.69,4.84,55.84,33.85,6.42,5.76,5.43,0.12,10.94%
2023-06-30,1.30亿,-62.30%,1.26亿,-60.53%,17.36亿,-32.41%,0.2100,9.39,2.56,5.38,0.70,7.47%,12.19%,2.28%,2.26%,94.43,3.12,57.78,36.66,6.20,5.57,5.42,0.13,11.71%
2023-03-31,1997.22万,-89.65%,2171.81万,-87.66%,7.78亿,-34.12%,0.0300,9.40,2.55,5.44,0.37,2.57%,10.14%,0.35%,0.35%,102.22,1.39,64.72,37.49,8.52,7.62,7.52,0.10,8.73%
2022-12-31,4.86亿,-9.44%,4.51亿,-6.79%,47.71亿,17.84%,0.8000,9.35,2.54,5.41,1.03,10.18%,16.07%,8.84%,8.50%,85.19,7.63,47.21,37.98,6.75,5.91,5.76,0.13,11.20%
2022-09-30,4.62亿,90.03%,4.35亿,87.05%,37.68亿,37.58%,0.7600,9.30,2.53,5.37,0.98,12.25%,17.42%,8.41%,8.13%,80.12,6.51,41.49,38.63,6.98,6.22,5.99,0.13,11.48%
2022-06-30,3.44亿,143.14%,3.18亿,119.25%,25.69亿,45.29%,0.5700,9.09,2.51,5.18,0.58,13.39%,20.96%,6.35%,6.20%,85.00,4.26,42.30,42.70,7.41,6.63,6.44,0.12,10.87%
2022-03-31,1.93亿,203.87%,1.76亿,122.05%,11.80亿,40.41%,0.3200,8.99,2.50,5.10,0.39,16.35%,24.79%,3.58%,3.51%,98.16,1.63,55.14,43.01,6.51,5.68,5.46,0.14,12.58%
2021-12-31,5.36亿,141.69%,4.84亿,218.33%,40.48亿,48.80%,0.8800,8.66,2.62,4.78,0.40,13.24%,23.18%,10.30%,10.14%,83.74,7.92,45.45,38.29,6.52,5.81,5.59,0.14,12.61%
2021-09-30,2.43亿,13.99%,2.33亿,36.97%,27.39亿,28.41%,0.4000,8.46,2.62,4.30,0.36,8.87%,17.73%,4.76%,4.71%,73.63,6.43,42.01,31.63,6.98,6.25,6.06,0.13,11.84%
