报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,3.10亿,1.77%,3.06亿,4.33%,14.11亿,3.52%,0.9700,12.33,False,11.31,1.01,26.06%,40.83%,7.83%,7.87%,23.84,33.36,5.40,18.44,1.42,1.32,1.32,0.48,30.70%
2024-03-31,1.73亿,2.51%,1.70亿,4.20%,7.08亿,5.03%,0.5400,12.40,0.0004,11.37,0.40,28.79%,44.63%,4.45%,4.36%,26.41,15.24,5.91,20.50,1.84,1.50,1.50,0.44,28.88%
2023-12-31,5.00亿,-8.72%,4.81亿,-8.37%,28.47亿,4.70%,1.5600,11.87,0.0003,10.83,2.62,20.32%,38.53%,14.06%,13.15%,20.24,73.37,4.91,15.33,1.50,1.24,1.24,0.49,31.36%
2023-09-30,5.12亿,-0.67%,4.97亿,-0.09%,21.85亿,2.12%,1.6000,11.91,False,10.95,1.95,28.01%,42.58%,14.35%,13.40%,19.39,52.29,5.16,14.23,2.60,2.00,2.00,0.43,28.25%
2023-06-30,3.04亿,2.99%,2.93亿,2.32%,13.63亿,3.38%,0.9500,11.26,False,10.30,0.92,26.32%,41.36%,8.79%,8.43%,20.80,32.86,5.48,15.33,2.35,1.75,1.75,0.46,29.65%
2023-03-31,1.69亿,1.49%,1.64亿,0.42%,6.75亿,3.04%,0.5300,10.85,False,9.88,0.49,29.28%,45.09%,4.98%,4.86%,22.87,15.17,5.93,16.94,3.26,2.67,2.67,0.50,31.47%
2022-12-31,5.48亿,-21.99%,5.25亿,-21.73%,27.19亿,-2.23%,1.7100,10.33,False,9.35,2.09,22.65%,40.81%,17.57%,16.56%,16.65,74.42,4.84,11.82,2.33,1.67,1.67,0.46,29.80%
2022-09-30,5.15亿,-16.92%,4.97亿,-18.20%,21.39亿,0.14%,1.6100,10.30,False,9.36,1.60,28.11%,43.14%,16.42%,15.60%,16.99,58.80,4.59,12.40,2.16,2.04,2.04,0.49,30.99%
2022-06-30,2.96亿,-15.73%,2.86亿,-16.21%,13.18亿,0.05%,0.9200,9.85,False,8.68,0.81,26.05%,42.39%,9.76%,9.36%,18.34,38.59,4.66,13.67,1.87,1.77,1.77,0.56,33.79%
2022-03-31,1.66亿,1.25%,1.63亿,0.99%,6.55亿,3.74%,0.5200,9.50,False,8.28,0.20,29.07%,46.75%,5.62%,5.46%,20.75,15.10,5.96,14.79,1.79,1.68,1.68,0.58,34.63%
2021-12-31,7.03亿,42.67%,6.71亿,41.74%,27.81亿,33.19%,2.1900,8.98,False,7.76,2.93,28.27%,46.06%,27.93%,24.40%,13.62,78.94,4.56,9.06,1.63,1.56,1.56,0.63,36.54%
2021-09-30,6.20亿,55.09%,6.08亿,58.40%,21.36亿,44.16%,1.9300,8.64,False,7.62,2.12,33.01%,47.96%,25.21%,22.38%,16.53,61.49,4.39,12.14,2.45,2.37,2.37,0.44,28.46%
2021-06-30,3.51亿,141.16%,3.42亿,149.72%,13.18亿,74.81%,1.0900,7.80,False,6.78,1.04,30.11%,46.75%,15.08%,14.02%,16.10,41.13,4.38,11.72,2.06,1.98,1.98,0.45,29.24%
2021-03-31,1.64亿,962.95%,1.61亿,789.67%,6.31亿,221.59%,0.5100,7.22,False,6.20,0.40,29.65%,47.52%,7.37%,7.10%,17.78,18.19,4.95,12.83,2.05,1.95,1.95,0.49,30.87%
2020-12-31,4.93亿,5.69%,4.73亿,4.48%,20.88亿,8.12%,1.5400,6.71,False,5.68,2.21,26.10%,45.17%,24.39%,22.91%,15.82,68.73,5.24,10.58,1.82,1.69,1.69,0.33,23.37%
2020-09-30,4.00亿,0.04%,3.84亿,-2.33%,14.82亿,2.22%,1.2500,6.81,0.0004,5.70,1.41,30.48%,45.99%,19.95%,18.11%,17.45,45.35,5.95,11.50,2.44,2.25,2.25,0.29,21.17%
2020-06-30,1.45亿,-30.00%,1.37亿,-32.86%,7.54亿,-12.87%,0.4500,6.05,0.0006,4.92,0.45,21.67%,40.31%,7.80%,7.47%,22.60,23.00,7.82,14.77,2.16,1.93,1.93,0.32,22.33%
2020-03-31,-1905.51万,-120.12%,-2338.73万,-125.18%,1.96亿,-51.08%,-0.0600,5.51,0.0006,4.41,-0.21,-13.66%,11.93%,-1.04%,-1.05%,36.31,9.09,9.91,26.41,1.83,1.62,1.62,0.34,23.73%
2019-12-31,4.66亿,40.36%,4.53亿,38.60%,19.31亿,22.52%,1.4500,5.57,0.0006,4.47,2.02,26.81%,46.08%,29.87%,25.94%,16.92,53.18,6.77,10.15,1.86,1.68,1.68,0.39,25.95%
2019-09-30,4.00亿,45.13%,3.93亿,45.00%,14.21亿,22.11%,1.2500,5.40,0.0006,4.29,1.53,31.42%,47.93%,26.38%,23.09%,19.06,37.23,7.25,11.81,2.01,1.79,1.79,0.39,26.00%
2019-06-30,2.08亿,54.07%,2.04亿,53.85%,8.47亿,23.58%,0.6500,4.75,0.0006,3.69,0.81,27.39%,45.60%,14.65%,13.65%,21.50,20.52,8.77,12.73,1.53,1.32,1.32,0.44,28.45%
2019-03-31,9470.51万,53.71%,9289.10万,51.08%,3.94亿,27.77%,0.3000,4.40,0.0006,3.34,0.36,26.70%,46.67%,6.95%,6.72%,23.26,10.03,8.97,14.28,1.22,1.03,1.03,0.48,30.17%
2018-12-31,3.32亿,53.34%,3.27亿,53.56%,15.46亿,31.05%,1.0400,4.10,0.0006,3.04,1.46,23.23%,43.29%,28.66%,25.25%,20.41,36.92,9.75,10.66,1.74,1.55,1.55,0.52,32.12%
2018-09-30,2.75亿,51.33%,2.71亿,50.95%,11.63亿,33.71%,0.8600,3.92,0.0003,2.88,1.05,25.85%,44.76%,24.37%,21.88%,23.81,28.23,9.56,14.25,2.63,2.38,2.38,0.53,32.60%
2018-06-30,1.35亿,52.68%,1.32亿,51.57%,6.85亿,34.91%,0.4200,3.49,0.0003,2.44,0.48,21.26%,41.82%,12.72%,12.06%,23.81,17.05,10.55,13.26,2.26,1.94,1.94,0.59,34.72%
2018-03-31,6161.46万,43.98%,6148.42万,43.48%,3.08亿,27.11%,0.1900,3.29,0.0003,2.25,0.03,20.81%,42.96%,6.02%,5.84%,27.29,7.12,12.63,14.66,2.70,2.32,2.32,0.59,34.76%
2017-12-31,2.17亿,59.05%,2.13亿,60.54%,11.80亿,34.25%,0.6800,3.10,0.0001,2.05,1.08,19.22%,41.36%,23.39%,21.82%,22.26,27.30,13.18,9.08,3.11,2.84,2.84,0.70,38.74%
2017-09-30,1.82亿,44.91%,1.79亿,46.73%,8.70亿,35.77%,0.5700,2.99,False,1.95,0.68,22.24%,43.51%,20.03%,19.00%,22.94,20.90,12.92,10.03,2.67,1.68,1.68,0.42,27.69%
2017-06-30,8833.22万,22.82%,8739.75万,23.81%,5.08亿,33.50%,0.2800,2.70,False,1.66,0.27,18.14%,41.07%,10.25%,10.22%,23.64,12.46,14.44,9.19,2.65,2.25,2.25,0.49,30.51%
2017-03-31,4279.53万,19.38%,4285.32万,20.49%,2.43亿,38.15%,0.1300,2.68,False,1.65,0.0077,18.71%,44.03%,5.10%,4.97%,26.14,5.55,16.21,9.93,3.69,2.98,2.98,0.43,27.96%
2016-12-31,1.36亿,9.44%,1.33亿,5.48%,8.79亿,15.13%,0.4200,2.55,False,1.52,0.50,15.12%,41.41%,18.17%,16.65%,22.38,22.24,16.19,6.19,2.95,2.49,2.49,0.47,30.12%
2016-09-30,1.26亿,2.56%,1.22亿,7.43%,6.41亿,14.27%,0.3900,2.95,0.12,1.80,0.23,20.16%,40.93%,14.00%,13.09%,23.66,16.05,16.82,6.83,4.19,3.59,3.59,0.37,25.58%
2016-06-30,7192.07万,5.93%,7058.76万,9.84%,3.80亿,10.65%,0.2200,2.79,0.12,1.64,0.02,19.49%,40.15%,8.43%,8.09%,24.35,9.76,18.45,5.91,4.41,3.75,3.75,0.41,27.21%
2016-03-31,3584.90万,14.03%,3556.66万,20.06%,1.76亿,17.82%,0.1100,2.68,0.12,1.53,-0.14,21.45%,43.20%,4.42%,4.32%,26.90,4.50,20.00,6.90,3.92,3.25,3.25,0.44,29.01%
2015-12-31,1.24亿,12.98%,1.26亿,27.65%,7.63亿,30.59%,0.3900,2.56,0.12,1.41,0.57,25.40%,39.80%,26.52%,23.41%,21.25,21.55,16.71,4.54,2.56,2.24,2.24,0.53,32.81%
2015-09-30,1.22亿,34.69%,1.14亿,39.47%,5.60亿,30.51%,0.3800,4.69,1.24,2.44,0.89,22.74%,41.81%,17.72%,16.28%,25.52,12.90,20.92,4.60,3.09,2.58,2.58,0.15,12.16%
2015-06-30,6789.54万,33.94%,6426.39万,47.82%,3.43亿,33.81%,0.2100,4.35,1.24,2.10,0.35,20.38%,40.49%,10.23%,9.73%,27.28,8.13,22.15,5.13,3.97,3.29,3.29,0.14,11.09%
2015-03-31,3143.84万,26.38%,2962.41万,49.89%,1.49亿,23.09%,0.1000,4.12,1.24,1.87,0.09,21.53%,41.89%,4.87%,4.76%,31.75,3.43,26.22,5.53,3.75,3.07,3.07,0.14,11.18%
2014-12-31,1.10亿,9.66%,9850.48万,6.58%,5.84亿,26.08%,0.3400,3.93,1.24,1.68,0.80,19.50%,39.31%,19.17%,17.49%,23.43,18.77,19.18,4.25,2.98,2.52,2.52,0.17,13.46%
2014-09-30,9091.21万,9.90%,8159.67万,10.17%,4.29亿,26.88%,0.5700,3.81,1.24,1.56,0.49,22.17%,41.43%,16.09%,14.90%,23.33,14.55,18.56,4.77,4.05,3.47,3.47,0.13,10.60%
2014-06-30,5069.09万,4.86%,4347.34万,3.90%,2.56亿,27.35%,0.3200,3.56,1.24,1.31,0.21,20.28%,39.58%,9.31%,8.89%,26.63,8.50,21.18,5.45,4.12,3.43,3.43,0.11,9.62%
2014-03-31,2487.61万,13.07%,1976.38万,-1.08%,1.21亿,26.03%,0.1600,3.40,1.24,1.15,0.0063,21.47%,39.41%,4.68%,4.57%,24.57,4.66,19.32,5.25,3.90,3.23,3.23,0.12,10.20%
2013-12-31,1.00亿,10.30%,9242.21万,6.07%,4.63亿,22.19%,0.6300,3.24,1.24,0.99,0.84,22.12%,45.04%,21.40%,19.33%,20.84,22.16,16.25,4.59,3.11,2.71,2.71,0.16,12.58%
