报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,1.48亿,-19.40%,1.19亿,-18.62%,31.84亿,21.68%,0.7100,14.29,5.99,6.87,0.44,4.94%,27.12%,4.97%,4.89%,223.55,1.33,135.51,88.04,1.44,0.92,0.91,1.94,63.64%
2024-03-31,6800.77万,-27.16%,6545.11万,-7.81%,14.83亿,24.94%,0.3200,14.38,5.87,7.13,-0.05,4.60%,29.45%,2.29%,2.23%,244.97,0.58,156.17,88.80,1.65,0.94,0.93,1.72,61.06%
2023-12-31,3.79亿,76.92%,2.94亿,251.89%,58.97亿,23.44%,1.8200,13.93,5.69,6.81,2.07,6.47%,27.40%,14.08%,12.83%,217.26,2.65,135.74,81.52,1.56,0.97,0.96,1.77,61.64%
2023-09-30,3.39亿,194.75%,2.77亿,242.97%,41.55亿,29.20%,1.6300,13.41,5.48,6.68,1.18,8.16%,27.92%,12.95%,11.93%,227.56,1.91,141.26,86.30,1.70,1.03,1.01,1.59,59.09%
2023-06-30,1.84亿,194.33%,1.46亿,243.60%,26.16亿,26.80%,0.8900,12.76,5.16,6.03,0.75,7.24%,27.78%,7.21%,6.90%,230.78,1.24,145.20,85.58,1.69,1.04,1.01,1.63,59.38%
2023-03-31,9337.14万,109.58%,7099.54万,99.69%,11.87亿,22.95%,0.4500,12.37,5.14,5.91,0.21,8.02%,28.24%,3.67%,3.61%,254.99,0.55,164.32,90.66,1.55,0.88,0.85,1.56,58.40%
2022-12-31,2.14亿,-20.22%,8341.24万,-47.19%,47.78亿,22.58%,1.0400,11.96,5.11,5.46,0.84,4.76%,28.00%,9.11%,8.57%,212.70,2.65,136.01,76.69,1.41,0.81,0.77,1.53,57.88%
2022-09-30,1.15亿,-48.71%,8071.81万,-36.64%,32.16亿,13.27%,0.5500,11.39,4.96,5.04,-0.37,3.99%,27.71%,5.04%,4.83%,223.78,1.81,149.17,74.60,1.50,0.85,0.79,1.50,57.05%
2022-06-30,6251.82万,-49.06%,4241.22万,-58.56%,20.63亿,8.58%,0.3000,10.81,4.88,4.80,-0.03,3.18%,27.35%,2.80%,2.78%,218.86,1.29,139.89,78.97,1.64,1.01,0.96,1.51,57.19%
2022-03-31,4455.17万,-40.62%,3555.24万,-43.64%,9.65亿,3.60%,0.2100,10.84,4.85,4.92,-0.10,4.58%,28.28%,2.01%,1.98%,220.98,0.63,143.86,77.11,1.90,1.17,1.11,1.24,52.75%
