报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
2024-06-30,251.32亿,37.09%,251.42亿,38.01%,1946.34亿,10.88%,2.6100,27.79,8.31,14.20,9.35,13.29%,9.50%,9.40%,8.45,88.50%
2024-03-31,117.59亿,1.14%,117.52亿,1.46%,954.28亿,1.10%,1.2200,26.81,8.31,13.84,5.19,12.67%,4.60%,4.56%,8.40,88.68%
2023-12-31,272.57亿,-27.08%,271.35亿,10.73%,3239.45亿,-2.47%,2.8300,25.94,8.31,12.62,14.33,8.62%,11.40%,10.92%,8.32,88.58%
2023-09-30,231.49亿,-24.39%,230.22亿,13.87%,2559.26亿,0.96%,2.4100,24.79,8.28,12.48,11.54,9.25%,9.90%,9.71%,8.46,89.19%
2023-06-30,183.32亿,-8.68%,182.17亿,37.38%,1755.39亿,6.48%,1.9100,25.26,8.28,11.98,8.86,10.68%,7.60%,7.54%,8.04,88.70%
2023-03-31,116.26亿,27.38%,115.83亿,114.66%,943.86亿,19.39%,1.2100,25.82,8.28,12.28,5.13,12.60%,4.90%,4.68%,7.68,88.23%
2022-12-31,373.81亿,39.30%,245.05亿,-8.22%,3321.40亿,3.34%,3.8900,23.75,8.28,10.94,15.38,5.54%,10.80%,10.77%,8.50,89.24%
2022-09-30,306.17亿,34.96%,202.17亿,-10.43%,2534.94亿,2.70%,3.1800,23.06,8.28,10.78,11.47,5.76%,9.00%,9.14%,8.54,89.29%
2022-06-30,200.74亿,16.01%,132.60亿,-22.84%,1648.57亿,1.03%,2.0900,23.56,8.28,10.06,9.24,5.34%,5.70%,5.87%,8.25,88.95%
2022-03-31,91.27亿,6.79%,53.96亿,-36.39%,790.58亿,-3.11%,0.9500,23.03,8.28,10.25,5.45,3.81%,2.40%,2.45%,8.12,88.79%
2021-12-31,268.34亿,9.15%,266.99亿,8.67%,4406.43亿,4.37%,2.7900,23.57,8.28,9.68,11.27,6.27%,12.20%,11.83%,7.56,88.06%
