报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,3789.59万,101.60%,3208.36万,143.72%,9.70亿,14.06%,0.1056,4.87,2.84,0.91,0.25,3.91%,19.20%,2.33%,2.34%,213.21,1.63,110.23,102.99,0.97,0.64,0.54,1.02,48.64%
2024-03-31,1643.53万,183.06%,1470.83万,282.15%,4.90亿,25.97%,0.0458,4.87,2.84,0.91,-0.12,3.41%,19.04%,1.02%,1.01%,209.29,0.81,110.57,98.73,1.01,0.65,0.52,0.99,47.92%
2023-12-31,5086.86万,10.72%,4338.67万,43.99%,18.81亿,10.30%,0.1400,4.83,2.84,0.87,0.66,2.62%,17.42%,3.21%,3.17%,217.09,3.12,115.28,101.80,1.03,0.68,0.58,1.04,49.06%
2023-09-30,2881.90万,-23.24%,2193.82万,-35.66%,13.29亿,9.01%,0.0803,4.76,2.83,0.81,0.35,2.06%,17.87%,1.82%,1.82%,225.84,2.20,122.69,103.14,1.05,0.70,0.62,1.06,49.64%
2023-06-30,1879.75万,-27.81%,1316.43万,-46.29%,8.51亿,8.88%,0.0524,4.74,2.83,0.78,0.23,2.12%,17.74%,1.19%,1.20%,234.80,1.40,128.77,106.03,1.03,0.67,0.60,1.06,49.66%
2023-03-31,580.64万,-75.76%,384.88万,-82.54%,3.89亿,-9.25%,0.0162,4.74,2.83,0.79,0.09,1.42%,17.28%,0.37%,0.37%,251.74,0.63,143.54,108.20,1.06,0.63,0.55,0.96,47.01%
2022-12-31,4594.49万,-29.42%,3013.21万,-43.41%,17.06亿,-1.86%,0.1300,4.72,2.83,0.77,0.53,2.38%,17.15%,2.96%,2.93%,226.72,2.96,121.61,105.11,1.11,0.69,0.60,1.00,48.91%
2022-09-30,3754.29万,-26.95%,3409.98万,-26.72%,12.19亿,-4.29%,0.1047,4.70,2.83,0.76,0.24,2.96%,16.93%,2.40%,2.41%,234.19,2.14,126.17,108.02,1.26,0.76,0.67,1.00,48.97%
2022-06-30,2603.85万,-36.55%,2451.05万,-34.65%,7.81亿,-11.64%,0.0726,4.67,2.83,0.73,0.25,3.24%,17.44%,1.67%,1.68%,236.24,1.37,131.00,105.24,1.25,0.74,0.63,0.99,48.59%
2022-03-31,2395.26万,7.22%,2204.46万,7.00%,4.28亿,-0.23%,0.0668,4.72,2.83,0.78,0.08,5.47%,19.46%,1.54%,1.53%,223.15,0.73,123.17,99.98,1.34,0.80,0.66,0.95,47.65%
