报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,547.52万,-72.30%,-782.67万,76.86%,2.22亿,0.36%,0.0100,0.73,2.62,-2.98,0.05,2.47%,31.84%,0.94%,0.93%,164.26,1.77,101.74,62.52,1.24,1.11,1.08,1.33,57.12%
2024-03-31,-299.84万,-14.49%,-221.13万,62.17%,1.13亿,-8.80%,-0.0049,0.72,2.62,-3.00,0.0100,-2.66%,32.68%,-0.52%,-0.52%,168.03,0.84,107.40,60.63,8.84,7.79,7.40,1.36,57.59%
2023-12-31,-1187.70万,91.05%,-6894.45万,40.89%,4.21亿,12.64%,-0.0200,0.72,2.62,-2.99,0.02,-2.82%,32.09%,-3.42%,-2.04%,188.51,3.09,116.38,72.13,5.90,5.24,5.04,1.46,59.36%
2023-09-30,126.04万,101.55%,-5817.36万,18.90%,3.02亿,28.92%,0.0023,0.44,2.64,-3.37,-0.05,0.42%,33.77%,0.37%,0.31%,200.31,2.36,114.52,85.80,6.45,5.80,5.73,2.43,70.83%
2023-06-30,1976.65万,138.06%,-3382.98万,22.59%,2.21亿,36.92%,0.0400,0.22,2.44,-3.34,-0.04,8.94%,36.02%,6.35%,6.16%,189.22,1.61,112.04,77.17,6.13,5.49,5.41,3.46,77.59%
2023-03-31,-261.89万,90.93%,-584.54万,74.88%,1.24亿,80.88%,-0.0049,0.18,2.44,-3.38,-0.0046,-2.12%,37.50%,-0.87%,-0.88%,176.47,0.82,109.84,66.63,5.04,4.46,4.36,3.99,79.98%
2022-12-31,-1.33亿,41.87%,-1.17亿,51.17%,3.73亿,18.50%,-0.2500,0.18,2.44,-3.37,0.02,-35.54%,35.78%,-36.12%,-44.06%,193.81,3.07,117.16,76.65,4.52,3.99,3.88,4.06,80.23%
2022-09-30,-8138.47万,14.43%,-7172.75万,42.45%,2.34亿,7.29%,-0.1517,0.28,2.44,-3.28,-0.08,-34.76%,35.06%,-20.73%,-23.09%,212.73,2.10,128.78,83.95,5.20,4.50,4.42,3.31,76.82%
2022-06-30,-5193.03万,-18.26%,-4370.08万,51.32%,1.62亿,5.82%,-0.1000,0.33,2.44,-3.22,-0.04,-32.15%,36.93%,-12.75%,-13.60%,189.52,1.69,106.20,83.32,7.84,7.11,6.98,2.85,74.02%
2022-03-31,-2887.13万,-20.59%,-2327.38万,29.03%,6832.26万,-13.51%,-0.0538,0.37,2.44,-3.18,-0.02,-42.26%,38.86%,-6.89%,-7.13%,224.10,0.65,139.43,84.67,4.99,4.50,4.45,2.86,74.07%
