报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
2024-06-30,2.30亿,36.73%,2.29亿,41.87%,26.38亿,-16.14%,0.3800,6.42,1.95,2.83,4.18,8.74%,6.03%,5.88%,9.55,90.50%
2024-03-31,8562.38万,37.38%,8501.82万,49.77%,9.92亿,-28.30%,0.1400,6.24,1.95,2.67,-4.24,8.61%,2.28%,2.25%,8.52,89.47%
2023-12-31,4.02亿,63.32%,4.21亿,75.46%,62.47亿,-8.45%,0.6600,6.07,1.95,2.53,6.19,6.45%,11.46%,10.85%,8.81,89.78%
2023-09-30,2.98亿,126.21%,2.92亿,118.47%,48.48亿,-6.94%,0.4900,5.94,1.95,2.40,4.22,6.15%,8.56%,8.24%,9.33,90.30%
2023-06-30,1.68亿,123.62%,1.61亿,108.55%,31.45亿,-7.80%,0.2800,5.73,1.95,2.19,2.76,5.35%,4.93%,4.81%,9.97,90.86%
2023-03-31,6232.75万,121.74%,5676.56万,86.26%,13.84亿,-10.09%,0.1000,5.52,1.95,2.08,-1.96,4.52%,1.87%,1.85%,9.52,90.47%
2022-12-31,2.46亿,1.01%,2.40亿,-2.57%,68.23亿,-35.11%,0.4033,5.44,1.95,1.98,2.05,3.60%,7.75%,7.42%,9.31,90.27%
2022-09-30,1.32亿,-22.66%,1.34亿,-22.37%,52.10亿,-24.23%,0.2200,5.26,1.95,1.84,4.39,2.54%,4.21%,4.11%,10.19,91.04%
2022-06-30,7528.49万,-12.95%,7726.03万,-12.74%,34.11亿,-19.61%,0.1200,5.11,1.95,1.75,1.23,2.22%,2.44%,2.41%,9.84,90.75%
2022-03-31,2810.80万,-19.01%,3047.68万,-13.06%,15.39亿,-23.63%,0.0461,5.02,1.95,1.71,1.64,1.87%,0.92%,0.92%,9.47,90.42%
2021-12-31,2.44亿,158.67%,2.46亿,199.63%,105.15亿,6.05%,0.4043,4.98,1.95,1.67,8.11,2.31%,8.59%,8.02%,8.89,89.84%
2021-09-30,1.71亿,153.76%,1.72亿,206.90%,68.77亿,-12.13%,0.2800,4.88,1.95,1.63,7.85,2.47%,6.08%,5.73%,9.25,90.19%
2021-06-30,8648.16万,160.04%,8854.20万,235.11%,42.43亿,-20.21%,0.1500,4.74,1.95,1.49,4.93,2.03%,3.23%,2.99%,8.54,89.46%
2021-03-31,3470.70万,10.68%,3505.66万,24.54%,20.15亿,-21.18%,0.0598,4.68,1.95,1.41,1.48,1.70%,1.40%,1.22%,7.50,88.16%
2020-12-31,9417.34万,18.47%,8211.38万,25.92%,99.15亿,3.96%,0.1624,4.24,1.49,1.42,8.59,0.93%,3.83%,3.83%,8.08,88.90%
2020-09-30,6721.77万,-17.07%,5603.58万,-18.13%,78.26亿,2.43%,0.1191,4.25,1.49,1.42,3.70,0.85%,2.75%,2.73%,6.75,87.01%
2020-06-30,3325.66万,-36.80%,2642.16万,-41.59%,53.19亿,39.46%,0.0600,4.22,1.49,1.36,1.51,0.61%,1.35%,1.36%,6.05,85.74%
2020-03-31,3135.67万,11.20%,2814.81万,37.10%,25.57亿,58.03%,0.0500,4.25,1.49,1.41,1.41,1.21%,1.28%,1.27%,5.65,84.87%
2019-12-31,7949.32万,-35.84%,6521.19万,-46.59%,95.38亿,107.91%,0.1490,4.19,1.49,1.35,0.60,0.83%,3.63%,3.27%,4.78,82.63%
2019-09-30,8105.05万,14.20%,6844.17万,10.13%,76.40亿,173.68%,0.1566,4.20,1.49,1.38,1.21,1.06%,3.80%,3.33%,4.73,82.47%
2019-06-30,5262.01万,False,4523.12万,False,38.14亿,False,0.1000,4.14,1.27,1.51,1.41,1.37%,2.53%,2.49%,5.36,84.18%
2019-03-31,2819.81万,False,2053.09万,False,16.18亿,False,0.0600,False,False,False,False,1.74%,1.37%,False,False,False
2018-12-31,1.24亿,-30.67%,1.22亿,-28.56%,45.87亿,125.14%,0.2400,4.02,1.27,1.41,-3.02,2.69%,6.26%,6.04%,4.51,81.75%
2018-09-30,7097.13万,False,6214.79万,False,27.91亿,False,0.1392,False,False,False,False,2.53%,3.63%,False,False,False
2017-12-31,1.79亿,16.19%,1.71亿,12.22%,20.42亿,162.69%,0.3500,3.73,1.27,1.20,-5.28,8.69%,9.76%,9.38%,5.68,84.94%
2017-06-30,8186.96万,24.02%,False,False,4.73亿,12.77%,False,False,1.27,1.10,False,17.08%,False,False,6.64,86.83%
2016-12-31,1.54亿,85.77%,1.52亿,22.41%,7.77亿,-12.52%,0.3000,3.45,1.27,0.90,0.99,19.66%,9.22%,8.75%,8.21,89.06%
2016-06-30,6601.28万,False,False,False,4.19亿,False,False,False,1.27,0.81,False,15.57%,False,False,8.08,88.86%
2015-12-31,8278.85万,-22.88%,1.24亿,23.96%,8.89亿,-18.76%,0.1600,3.11,1.25,0.68,5.20,9.13%,5.50%,5.22%,7.53,88.12%
2015-06-30,False,False,False,False,False,False,False,False,False,False,False,20.52%,False,False,False,False
2015-03-31,2432.41万,False,2110.72万,False,1.27亿,False,0.0500,2.84,1.11,0.58,1.76,19.16%,1.70%,1.68%,6.58,86.82%
2014-12-31,1.07亿,-18.54%,1.00亿,-16.75%,10.94亿,42.57%,0.2100,2.77,1.11,0.54,2.81,9.82%,7.91%,7.60%,5.83,85.36%
2013-12-31,1.32亿,14.06%,1.21亿,6.41%,7.67亿,56.34%,0.2600,2.55,1.11,0.36,1.05,17.18%,10.63%,10.12%,4.33,81.23%
2012-12-31,1.16亿,False,1.13亿,False,4.91亿,False,0.2600,2.31,1.11,0.14,0.82,23.55%,14.22%,9.82%,4.24,80.90%
