报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
2024-06-30,4.01亿,-75.51%,3.89亿,-59.53%,50.99亿,-23.03%,0.0500,5.32,1.89,1.23,1.22,9.29%,0.92%,0.95%,3.57,77.13%
2024-03-31,3.31亿,-71.25%,3.07亿,-34.83%,25.39亿,-28.88%,0.0400,5.35,1.89,1.26,0.65,13.73%,0.82%,0.82%,4.00,79.05%
2023-12-31,18.00亿,204.94%,10.40亿,107.49%,127.62亿,36.86%,0.2400,5.30,1.89,1.22,-0.10,16.15%,4.71%,4.51%,3.84,78.37%
2023-09-30,18.93亿,103.98%,11.50亿,33.03%,92.76亿,25.05%,0.2600,5.31,1.88,1.29,0.17,22.03%,5.03%,4.74%,4.00,79.05%
2023-06-30,16.39亿,79.79%,9.61亿,11.60%,66.24亿,32.11%,0.2300,5.29,1.88,1.28,0.31,26.34%,4.40%,4.11%,3.93,78.78%
2023-03-31,11.53亿,424.00%,4.71亿,152.67%,35.70亿,92.77%,0.1600,5.24,1.88,1.13,0.04,33.47%,3.15%,2.92%,4.05,79.30%
2022-12-31,5.90亿,-81.56%,5.01亿,-83.85%,93.25亿,-29.09%,0.0800,5.05,1.88,1.08,2.37,7.54%,1.61%,1.55%,4.17,80.05%
2022-09-30,9.28亿,-63.52%,8.64亿,-65.23%,74.17亿,-17.62%,0.1300,5.12,1.88,1.16,0.23,13.73%,2.59%,2.60%,4.69,81.85%
2022-06-30,9.12亿,-46.42%,8.61亿,-47.71%,50.14亿,-12.96%,0.1300,5.15,1.88,1.16,2.37,19.49%,2.53%,2.54%,5.05,82.94%
2022-03-31,2.20亿,-66.99%,1.87亿,-71.95%,18.52亿,-24.38%,0.0300,5.11,1.88,1.12,0.79,13.98%,0.62%,0.62%,4.74,82.03%
2021-12-31,32.00亿,26.72%,31.05亿,26.18%,131.50亿,27.02%,0.4600,5.14,1.88,1.09,0.33,25.09%,9.25%,8.94%,4.68,81.85%
2021-09-30,25.44亿,10.88%,24.86亿,9.38%,90.03亿,19.58%,0.3700,5.04,1.88,1.14,1.00,29.14%,7.39%,7.24%,4.63,81.74%
2021-06-30,17.01亿,22.99%,16.46亿,20.94%,57.61亿,19.96%,0.2400,5.01,1.88,1.12,0.19,30.32%,4.99%,4.88%,4.23,80.37%
2021-03-31,6.66亿,-11.32%,6.65亿,False,24.49亿,1.35%,0.1000,4.86,1.88,0.98,-0.17,27.88%,1.98%,1.97%,4.33,80.73%
2020-12-31,25.25亿,12.26%,24.61亿,10.86%,103.52亿,6.63%,0.3600,4.78,1.88,0.88,0.31,24.93%,7.73%,7.59%,4.21,80.27%
2020-09-30,22.95亿,29.15%,22.73亿,29.62%,75.29亿,2.96%,0.3300,4.73,1.88,0.96,-0.05,31.05%,7.10%,6.96%,3.94,79.19%
2020-06-30,13.83亿,16.37%,13.61亿,16.52%,48.02亿,-0.36%,0.1900,4.61,1.88,0.82,0.91,29.36%,4.27%,4.31%,3.78,78.51%
2020-03-31,7.51亿,-12.46%,False,False,24.17亿,-10.37%,0.1100,4.54,1.73,0.83,0.46,31.53%,2.35%,2.18%,3.38,76.60%
2019-12-31,22.49亿,122.91%,22.20亿,123.80%,97.09亿,38.20%,0.3000,4.45,1.73,0.72,1.77,23.63%,7.06%,6.63%,3.29,76.12%
2019-09-30,17.77亿,125.95%,17.54亿,False,73.13亿,41.30%,0.2400,4.37,1.73,0.78,1.82,24.78%,5.69%,5.32%,3.47,77.01%
2019-06-30,11.89亿,98.91%,11.68亿,False,48.20亿,43.23%,0.1600,4.31,1.73,0.72,1.58,25.87%,3.84%,3.66%,3.51,77.22%
2019-03-31,8.58亿,139.14%,False,False,26.96亿,50.57%,0.1200,False,1.73,0.66,False,32.16%,False,False,3.73,78.25%
2018-12-31,10.09亿,-43.79%,9.92亿,-42.98%,70.25亿,-14.00%,0.1000,4.08,1.73,0.63,1.21,15.23%,2.49%,3.19%,3.27,75.90%
