报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,3.49亿,24.44%,3.22亿,26.46%,32.60亿,12.54%,0.6776,8.75,3.98,3.19,1.73,10.77%,28.00%,7.61%,7.58%,109.76,2.13,84.36,25.40,2.04,1.75,1.75,1.16,53.58%
2024-03-31,1.40亿,89.09%,1.15亿,57.26%,13.45亿,0.87%,0.2712,8.69,3.94,3.19,0.22,10.41%,26.36%,3.10%,3.05%,130.55,0.90,99.93,30.62,2.21,1.88,1.88,1.03,50.71%
2023-12-31,4.64亿,11.67%,3.84亿,-2.72%,50.98亿,-9.75%,0.8806,8.41,3.93,2.92,1.12,8.94%,27.51%,11.20%,10.46%,149.26,3.00,119.86,29.40,2.19,1.75,1.75,0.91,47.48%
2023-09-30,4.10亿,-0.03%,3.22亿,-18.77%,40.98亿,-8.52%,0.8104,8.26,3.87,2.89,1.14,9.81%,26.87%,10.00%,9.42%,134.19,2.54,106.42,27.77,2.14,1.74,1.73,0.95,48.58%
2023-06-30,2.81亿,40.25%,2.55亿,31.55%,28.97亿,12.15%,0.5591,7.93,3.84,2.65,0.54,9.43%,26.41%,6.96%,6.69%,132.16,1.77,101.48,30.68,1.85,1.49,1.48,1.00,49.95%
2023-03-31,7391.09万,112.12%,7316.86万,124.98%,13.34亿,43.46%,0.1502,7.75,3.80,2.50,0.11,5.44%,25.28%,1.91%,1.81%,147.26,0.77,116.93,30.33,1.91,1.44,1.44,0.96,48.79%
2022-12-31,4.16亿,74.89%,3.95亿,113.01%,56.48亿,31.07%,0.9162,7.45,3.30,2.65,2.22,7.03%,27.15%,12.98%,11.95%,133.54,3.48,103.59,29.95,1.70,1.20,1.20,0.92,47.82%
2022-09-30,4.10亿,49.13%,3.96亿,73.15%,44.80亿,30.00%,0.9043,7.30,3.17,2.63,3.81,8.68%,27.69%,12.73%,11.98%,120.94,2.87,93.94,27.00,1.51,1.17,1.17,1.22,54.87%
2022-06-30,2.00亿,16.95%,1.94亿,63.60%,25.83亿,21.20%,0.4411,7.01,3.12,2.18,1.68,7.36%,27.81%,6.46%,6.09%,138.90,1.68,107.18,31.72,1.58,1.14,1.13,0.88,46.47%
2022-03-31,3484.47万,-40.65%,3252.19万,-27.87%,9.30亿,1.52%,0.0768,6.68,3.06,1.89,0.11,3.42%,25.63%,1.16%,1.15%,194.11,0.61,147.20,46.91,1.66,1.02,1.01,0.72,41.65%
2021-12-31,2.38亿,-0.80%,1.85亿,-3.45%,43.09亿,19.29%,0.5239,6.60,3.06,1.82,0.46,5.38%,26.17%,8.29%,7.94%,157.94,3.11,115.64,42.29,1.69,1.05,1.05,0.70,41.06%
2021-09-30,2.75亿,5.87%,2.29亿,21.08%,34.46亿,29.54%,0.6064,6.66,3.04,1.95,0.48,6.03%,26.51%,9.55%,9.10%,143.25,2.63,102.56,40.69,1.61,1.11,1.11,0.88,46.92%
2021-06-30,1.71亿,37.28%,1.18亿,34.22%,21.31亿,40.72%,0.3772,6.43,3.04,1.72,0.57,4.90%,27.35%,6.05%,5.86%,149.36,1.62,111.15,38.21,1.73,1.15,1.15,0.75,42.99%
2021-03-31,5870.86万,275.75%,4508.55万,395.52%,9.16亿,72.10%,0.1300,6.18,3.03,1.48,0.17,-0.62%,24.97%,2.12%,2.10%,166.21,0.74,121.80,44.41,1.83,1.16,1.15,0.64,39.28%
2020-12-31,2.40亿,5.07%,1.92亿,94.63%,36.12亿,-4.55%,0.5300,6.05,3.04,1.35,1.11,5.45%,28.10%,8.87%,8.72%,183.16,2.90,124.25,58.91,1.72,1.06,1.06,0.71,41.95%
2020-09-30,2.60亿,-13.24%,1.89亿,82.55%,26.60亿,-8.64%,0.5700,6.09,3.03,1.40,1.63,8.57%,29.66%,9.48%,9.40%,188.10,2.17,124.49,63.62,1.63,1.15,1.15,0.83,45.83%
2020-06-30,1.25亿,41.14%,8819.10万,19.93%,15.14亿,-19.90%,0.2700,5.79,3.03,1.11,1.04,6.47%,28.55%,4.57%,4.74%,209.57,1.25,143.44,66.13,1.53,1.09,1.09,0.92,48.49%
2020-03-31,1562.44万,11.27%,909.85万,275.25%,5.32亿,-40.53%,0.0300,5.98,3.02,1.31,0.27,0.69%,25.46%,0.58%,0.58%,291.85,0.45,197.89,93.97,1.62,1.11,1.11,0.78,44.27%
2019-12-31,2.28亿,259.80%,9862.43万,172.43%,37.85亿,22.54%,0.5000,5.95,3.02,1.27,0.73,4.54%,22.96%,8.82%,8.45%,188.90,2.87,125.60,63.30,1.65,1.13,1.13,0.76,43.27%
2019-09-30,2.99亿,307.16%,1.03亿,79.15%,29.12亿,11.14%,0.6600,6.16,3.02,1.62,1.21,9.83%,23.51%,11.33%,10.71%,181.38,2.21,122.01,59.38,1.82,1.17,1.17,0.68,40.51%
2019-06-30,8829.50万,31.03%,7353.67万,25.29%,18.91亿,-1.05%,0.1900,5.70,3.02,1.16,0.55,4.02%,21.77%,3.48%,3.42%,181.62,1.46,123.14,58.49,1.75,1.08,1.08,0.69,40.68%
2019-03-31,1404.15万,-30.83%,242.47万,-85.10%,8.95亿,15.25%,0.0300,5.51,3.00,0.99,0.59,0.76%,15.87%,0.56%,0.56%,185.76,0.73,123.46,62.31,1.69,0.94,0.94,0.72,41.80%
2018-12-31,6335.79万,-23.43%,3620.21万,-43.55%,30.89亿,13.72%,0.1400,5.47,3.00,0.93,-0.12,1.19%,21.26%,2.56%,2.55%,211.89,2.57,140.13,71.76,1.62,0.67,0.67,0.75,42.37%
2018-09-30,7352.99万,43.96%,5772.84万,23.44%,26.20亿,40.89%,0.1600,5.46,3.00,0.95,0.22,2.59%,19.41%,3.01%,2.97%,180.53,2.58,104.67,75.87,1.45,0.81,0.81,0.81,44.28%
2018-06-30,6738.68万,33.04%,5869.34万,10.91%,19.11亿,53.20%,0.1500,5.48,3.00,0.94,0.23,3.44%,19.10%,2.75%,2.71%,164.21,1.95,92.21,72.00,1.52,0.94,0.94,0.83,44.71%
2018-03-31,2030.09万,-6.68%,1627.52万,-32.12%,7.76亿,42.97%,0.0400,5.51,3.00,0.84,-0.05,2.84%,20.25%,0.82%,0.81%,180.81,0.83,108.54,72.27,1.65,1.00,1.00,0.68,39.85%
