报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,3181.40万,-42.90%,2906.94万,-44.35%,4.43亿,36.77%,0.0500,2.13,0.73,0.29,0.02,7.15%,25.63%,2.53%,2.54%,375.41,0.66,273.14,102.27,2.81,1.95,1.84,0.47,30.84%
2024-03-31,573.14万,-80.14%,449.25万,-83.03%,1.73亿,-14.87%,0.0100,2.12,0.72,0.27,-0.05,2.92%,27.35%,0.46%,0.46%,493.91,0.24,376.10,117.82,2.73,1.82,1.74,0.49,31.68%
2023-12-31,6324.02万,22.73%,5998.00万,93.67%,6.77亿,40.79%,0.1100,2.10,0.72,0.26,-0.08,9.33%,36.91%,5.25%,5.11%,547.61,0.90,400.27,147.35,2.68,1.80,1.73,0.51,32.43%
2023-09-30,5977.86万,71.92%,5661.34万,104.17%,4.52亿,34.28%,0.1000,2.09,0.72,0.27,0.02,12.92%,36.85%,4.97%,4.85%,615.08,0.60,452.72,162.37,2.75,1.81,1.77,0.48,31.37%
2023-06-30,5571.45万,198.55%,5223.89万,357.24%,3.24亿,72.48%,0.1000,2.09,0.72,0.27,-0.05,16.94%,37.02%,4.64%,4.54%,555.09,0.45,400.89,154.20,2.94,1.99,1.94,0.44,29.23%
2023-03-31,2885.70万,490.74%,2648.04万,353.90%,2.03亿,291.26%,0.0500,2.04,0.72,0.22,0.09,13.74%,33.88%,2.43%,2.40%,408.75,0.32,282.13,126.62,2.77,1.95,1.90,0.48,31.01%
2022-12-31,5152.59万,38.66%,3096.95万,133.46%,4.81亿,-34.36%,0.0900,1.99,0.72,0.17,0.19,11.27%,38.55%,4.50%,4.39%,647.72,0.85,425.88,221.84,2.76,1.95,1.92,0.48,30.89%
2022-09-30,3477.05万,3.55%,2772.90万,-5.44%,3.37亿,-31.30%,0.0600,1.96,0.72,0.15,0.30,10.72%,34.12%,3.06%,3.01%,635.90,0.63,431.72,204.17,2.87,1.95,1.85,0.45,29.49%
2022-06-30,1866.20万,816.58%,1142.48万,2987.28%,1.88亿,-46.32%,0.0300,1.93,0.72,0.12,0.28,10.84%,36.50%,1.65%,1.64%,723.12,0.37,493.15,229.97,3.09,2.19,2.02,0.40,27.12%
2022-03-31,-738.52万,-55.29%,-1042.93万,-85.21%,5181.70万,-76.16%,-0.0100,1.89,0.72,0.08,0.14,-9.02%,27.56%,-0.66%,-0.66%,1164.01,0.12,731.11,432.90,3.22,2.35,2.17,0.37,25.80%
2021-12-31,3715.90万,136.48%,1326.55万,110.39%,7.33亿,103.04%,0.0600,1.90,0.72,0.09,-0.09,5.62%,24.11%,3.34%,3.32%,305.93,1.75,206.07,99.86,3.30,2.52,2.35,0.35,24.41%
2021-09-30,3357.70万,158.53%,2932.29万,141.63%,4.90亿,99.95%,0.0600,1.89,0.72,0.10,-0.02,8.54%,23.19%,3.01%,3.01%,335.33,1.06,255.03,80.30,3.12,2.22,2.04,0.37,25.72%
2021-06-30,203.60万,110.65%,37.01万,101.19%,3.50亿,100.47%,0.0030,1.84,0.72,0.04,-0.05,-0.34%,20.17%,0.18%,0.19%,296.76,0.87,207.33,89.43,3.26,2.43,2.34,0.35,24.53%
2021-03-31,-475.58万,55.45%,-563.11万,58.10%,2.17亿,407.08%,-0.0100,1.87,0.72,0.03,-0.08,-3.08%,13.75%,-0.43%,-0.43%,224.54,0.60,150.75,73.79,3.21,2.46,2.32,0.36,24.97%
2020-12-31,-1.02亿,-1035.18%,-1.28亿,-7686.16%,3.61亿,-32.05%,-0.1700,1.88,0.72,0.04,-0.04,-30.50%,7.59%,-8.76%,-9.20%,565.30,1.06,338.63,226.67,3.15,2.18,2.10,0.36,25.29%
2020-09-30,-5736.42万,-901.07%,-7044.45万,-690.78%,2.45亿,-2.62%,-0.1000,1.96,0.72,0.11,0.10,-24.79%,13.67%,-4.83%,-4.98%,692.71,0.65,415.13,277.58,3.41,2.31,2.31,0.33,23.37%
2020-06-30,-1912.68万,-16.12%,-3106.34万,-73.89%,1.75亿,-6.23%,-0.0300,2.02,0.72,0.18,0.11,-11.71%,15.20%,-1.58%,-1.61%,631.23,0.50,356.51,274.73,3.95,2.85,2.85,0.27,19.99%
2020-03-31,-1067.55万,57.09%,-1343.81万,48.01%,4285.85万,-5.58%,-0.0200,2.06,0.72,0.21,0.04,-25.97%,28.34%,-0.88%,-0.88%,1449.46,0.11,847.46,602.01,4.27,3.10,3.10,0.24,18.39%
2019-12-31,1089.24万,47.01%,-163.92万,52.30%,5.31亿,16.96%,0.0200,2.07,0.72,0.23,0.15,1.49%,33.14%,0.90%,0.89%,528.11,1.21,298.63,229.47,4.58,3.49,3.49,0.22,17.10%
2019-09-30,-573.03万,62.02%,-890.83万,57.12%,2.52亿,-5.68%,-0.0100,2.05,0.72,0.21,0.02,-2.32%,31.63%,-0.47%,-0.48%,905.47,0.48,560.51,344.96,4.52,2.01,2.01,0.23,17.86%
2019-06-30,-1647.12万,41.88%,-1786.39万,45.23%,1.86亿,30.79%,-0.0300,2.03,0.72,0.19,0.08,-8.73%,28.21%,-1.37%,-1.38%,784.93,0.40,444.66,340.26,4.35,2.49,2.49,0.23,17.81%
2019-03-31,-2488.09万,-65.01%,-2584.50万,-54.34%,4538.94万,-50.79%,-0.0400,2.02,0.72,0.18,0.08,-56.75%,29.51%,-1.26%,-2.09%,1613.73,0.10,936.52,677.20,4.49,2.70,2.70,0.22,17.15%
2018-12-31,740.92万,-48.89%,-343.63万,86.21%,4.54亿,-20.41%,0.0100,2.06,0.72,0.22,0.05,2.04%,43.01%,0.61%,0.61%,715.63,0.86,419.14,296.49,5.30,2.94,2.94,0.18,14.56%
2018-09-30,-1508.66万,-123.62%,-2077.41万,-228.38%,2.67亿,-31.30%,-0.0300,2.02,0.72,0.19,-0.0029,-5.16%,32.83%,-1.25%,-1.27%,842.47,0.59,458.40,384.07,4.25,2.61,2.61,0.26,19.19%
2018-06-30,-2833.99万,-160.81%,-3261.80万,-19338.82%,1.42亿,-20.74%,-0.0500,2.00,0.72,0.17,-0.02,-19.28%,31.68%,-2.37%,-2.40%,1040.76,0.32,558.31,482.44,4.14,2.55,2.55,0.27,19.81%
2018-03-31,-1507.82万,-222.11%,-1674.53万,-127.81%,9224.13万,163.41%,-0.0300,2.04,0.72,0.20,-0.07,-15.84%,31.56%,-1.25%,-1.26%,778.01,0.22,400.18,377.83,4.42,2.96,2.96,0.25,18.61%
2017-12-31,1449.57万,12.28%,-2491.37万,-63.74%,5.71亿,49.35%,0.0200,2.06,0.72,0.23,0.19,2.45%,35.21%,1.20%,1.19%,549.64,1.22,294.65,254.99,4.22,2.79,2.79,0.27,19.54%
2017-09-30,6387.64万,1255.57%,1618.15万,162.66%,3.89亿,62.75%,0.1100,2.08,0.66,0.31,0.18,16.88%,33.69%,5.15%,5.21%,627.96,0.79,340.05,287.91,3.63,2.21,2.21,0.29,20.45%
