报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,3.04亿,40.25%,2.78亿,46.41%,24.70亿,10.65%,0.3300,5.25,1.74,2.36,0.24,12.32%,65.84%,6.06%,6.34%,735.51,0.25,734.39,1.12,1.30,0.49,0.49,0.97,49.13%
2024-03-31,1.36亿,33.04%,1.25亿,33.39%,11.30亿,12.67%,0.1500,5.42,1.72,2.63,0.45,12.05%,62.72%,2.74%,2.75%,730.60,0.12,729.34,1.27,1.29,0.59,0.59,1.06,51.57%
2023-12-31,6.66亿,-5.89%,6.14亿,28.60%,52.57亿,12.98%,0.7300,5.26,1.71,2.48,0.87,12.67%,67.15%,14.40%,13.84%,669.06,0.54,666.67,2.39,1.30,0.55,0.55,0.98,49.37%
2023-09-30,4.18亿,-21.60%,3.86亿,22.10%,38.46亿,11.30%,0.4600,4.97,1.69,2.24,0.91,10.87%,66.75%,9.20%,9.20%,658.23,0.41,655.50,2.74,1.21,0.56,0.56,1.11,52.65%
2023-06-30,2.17亿,-40.17%,1.90亿,23.05%,22.32亿,10.19%,0.2400,4.73,1.67,2.02,0.18,9.72%,67.17%,5.09%,5.01%,777.97,0.23,774.19,3.78,1.19,0.45,0.45,1.08,51.97%
2023-03-31,1.02亿,-61.51%,9389.17万,33.20%,10.03亿,10.43%,0.1100,4.89,1.65,2.19,0.28,10.21%,65.42%,2.28%,2.29%,817.02,0.11,813.01,4.02,1.20,0.51,0.51,1.12,52.81%
2022-12-31,7.08亿,81.81%,4.78亿,37.54%,46.53亿,15.54%,0.7800,4.75,1.63,2.08,0.68,15.21%,68.36%,17.47%,16.28%,655.89,0.55,653.36,2.53,1.19,0.49,0.49,1.05,51.26%
2022-09-30,5.33亿,113.83%,3.16亿,41.83%,34.55亿,24.78%,0.5800,4.54,1.61,1.93,0.81,15.44%,67.79%,13.28%,12.84%,622.16,0.44,620.26,1.90,1.16,0.54,0.54,1.17,53.89%
2022-06-30,3.63亿,191.43%,1.55亿,45.15%,20.26亿,22.65%,0.4000,4.33,1.59,1.74,0.19,17.91%,68.20%,9.34%,9.16%,714.65,0.25,712.31,2.34,1.15,0.47,0.47,1.11,52.58%
2022-03-31,2.66亿,373.72%,7049.04万,41.20%,9.08亿,20.36%,0.3000,4.45,1.43,1.82,0.65,29.29%,70.23%,6.89%,6.67%,830.88,0.11,828.73,2.15,1.17,0.53,0.53,1.14,53.37%
2021-12-31,3.89亿,24.50%,3.47亿,27.27%,40.27亿,11.93%,0.4300,4.15,1.43,1.53,1.26,9.65%,67.32%,10.83%,10.45%,561.53,0.64,558.31,3.21,1.14,0.47,0.47,1.04,51.03%
2021-09-30,2.49亿,7.05%,2.23亿,1.50%,27.69亿,10.90%,0.2800,3.99,1.43,1.38,1.23,8.98%,67.77%,7.04%,6.97%,594.15,0.46,590.16,3.98,1.13,0.54,0.54,1.11,52.69%
2021-06-30,1.24亿,6.10%,1.06亿,0.43%,16.52亿,10.61%,0.1400,3.85,1.43,1.24,0.56,7.49%,67.62%,3.53%,3.60%,646.46,0.28,641.71,4.75,1.15,0.47,0.47,0.94,48.49%
2021-03-31,5614.52万,-14.59%,4992.22万,-20.61%,7.54亿,-0.26%,0.0600,3.92,1.43,1.32,0.35,7.58%,67.75%,1.61%,1.59%,694.83,0.13,689.66,5.17,1.19,0.56,0.56,0.96,48.86%
2020-12-31,3.13亿,-22.68%,2.73亿,-24.86%,35.98亿,-10.73%,0.3500,3.86,1.43,1.25,0.61,8.70%,64.74%,9.26%,9.02%,481.51,0.75,476.95,4.56,1.22,0.57,0.57,0.86,46.31%
2020-09-30,2.33亿,-14.12%,2.20亿,-10.11%,24.97亿,-11.52%,0.2600,3.77,1.43,1.19,0.54,9.36%,65.03%,6.93%,6.88%,501.00,0.55,494.96,6.04,1.23,0.61,0.61,0.87,46.60%
2020-06-30,1.17亿,-39.55%,1.06亿,-42.06%,14.93亿,-23.79%,0.1300,3.65,1.43,1.06,-0.24,7.87%,63.85%,3.50%,3.59%,533.29,0.34,528.63,4.65,1.28,0.54,0.54,0.76,43.25%
2020-03-31,6573.84万,-44.05%,6287.88万,-43.86%,7.56亿,-34.19%,0.0700,3.74,1.43,1.15,-0.35,8.69%,67.54%,1.98%,1.96%,582.33,0.16,577.66,4.66,1.30,0.62,0.62,0.81,44.62%
2019-12-31,4.04亿,15.38%,3.63亿,17.49%,40.30亿,12.47%,0.4500,3.67,1.43,1.08,0.43,10.03%,61.47%,12.98%,12.29%,374.81,0.97,371.82,2.98,1.28,0.64,0.64,0.91,47.49%
2019-09-30,2.71亿,11.16%,2.44亿,10.73%,28.22亿,16.09%,0.3000,3.52,1.43,0.96,-0.03,9.61%,62.30%,8.75%,8.60%,410.43,0.66,407.61,2.82,1.29,0.55,0.55,0.77,43.33%
2019-06-30,1.94亿,32.67%,1.83亿,47.28%,19.59亿,34.33%,0.2200,3.44,1.43,0.88,-0.20,9.91%,61.62%,6.40%,6.29%,387.42,0.47,384.20,3.22,1.27,0.50,0.50,0.75,42.76%
2019-03-31,1.17亿,57.14%,1.12亿,56.87%,11.49亿,55.81%,0.1400,4.55,2.16,1.23,-0.08,10.22%,60.91%,4.05%,3.74%,323.06,0.28,321.31,1.75,1.25,0.56,0.56,0.87,46.58%
2018-12-31,3.50亿,114.29%,3.09亿,101.77%,35.83亿,41.34%,0.4100,4.13,1.86,1.10,0.67,9.78%,61.15%,14.91%,12.74%,342.71,1.05,341.43,1.28,1.13,0.46,0.46,0.99,49.70%
2018-09-30,2.44亿,109.22%,2.21亿,106.63%,24.31亿,40.58%,0.3800,3.97,1.86,0.97,0.70,10.04%,62.74%,10.98%,9.24%,399.06,0.68,398.41,0.65,1.08,0.47,0.47,1.17,53.93%
