报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,4.19亿,43.04%,3.93亿,42.43%,30.95亿,22.16%,0.3329,4.04,0.22,2.82,0.18,14.53%,33.23%,8.27%,8.24%,193.60,2.76,65.21,128.39,1.92,1.55,1.43,0.77,40.99%
2024-03-31,1.84亿,77.27%,1.73亿,78.84%,13.89亿,21.62%,0.1463,4.02,0.21,2.80,0.04,14.25%,33.16%,3.70%,3.64%,211.64,1.27,71.06,140.58,1.83,1.47,1.38,0.71,38.77%
2023-12-31,7.00亿,13.97%,6.47亿,14.92%,57.23亿,7.16%,0.5600,3.90,0.22,2.66,0.66,13.24%,32.63%,15.00%,14.27%,189.89,5.46,65.90,124.00,1.73,1.40,1.33,0.72,39.32%
2023-09-30,4.80亿,7.93%,4.56亿,11.70%,40.13亿,3.30%,0.3811,3.81,0.23,2.52,0.47,13.04%,32.31%,10.44%,9.99%,195.94,3.91,69.06,126.88,1.72,1.40,1.33,0.72,39.42%
2023-06-30,2.93亿,0.60%,2.76亿,3.77%,25.34亿,-0.19%,0.2327,3.69,0.23,2.37,0.21,12.53%,31.95%,6.44%,6.31%,200.82,2.56,70.24,130.59,1.67,1.35,1.26,0.73,39.93%
2023-03-31,1.04亿,-2.70%,9671.37万,1.66%,11.42亿,-1.05%,0.0825,3.57,0.23,2.26,0.08,9.85%,31.09%,2.35%,2.31%,218.96,1.14,79.20,139.75,1.55,1.22,1.17,0.75,40.51%
2022-12-31,6.15亿,11.20%,5.63亿,6.76%,53.41亿,-1.22%,0.4900,3.46,0.21,2.18,0.69,12.36%,31.53%,15.08%,14.10%,182.61,5.64,63.87,118.75,1.48,1.16,1.10,0.81,42.37%
2022-09-30,4.45亿,0.14%,4.08亿,-3.87%,38.84亿,-0.91%,0.3531,3.30,0.20,2.07,0.44,12.29%,31.11%,11.16%,10.68%,189.35,4.14,65.19,124.16,1.47,1.16,1.12,0.86,43.97%
2022-06-30,2.91亿,-5.91%,2.66亿,-8.96%,25.39亿,0.13%,0.2314,3.19,0.20,1.95,0.19,12.24%,31.17%,7.43%,7.24%,196.64,2.63,68.55,128.10,1.43,1.11,1.07,0.90,45.19%
2022-03-31,1.07亿,-31.64%,9513.47万,-35.57%,11.55亿,-1.87%,0.0848,3.07,0.20,1.84,0.06,9.79%,30.82%,2.80%,2.76%,208.12,1.25,71.75,136.36,1.43,1.12,1.09,0.95,46.45%
2021-12-31,5.53亿,39.66%,5.28亿,52.19%,54.07亿,32.04%,0.4400,3.01,0.20,1.75,0.48,10.81%,32.49%,15.67%,14.56%,159.96,6.79,53.01,106.95,1.38,1.09,1.06,0.95,46.69%
2021-09-30,4.44亿,49.64%,4.24亿,53.99%,39.20亿,42.03%,0.3529,2.93,0.20,1.70,0.40,12.04%,35.31%,12.82%,12.02%,171.14,4.44,60.77,110.37,1.41,1.09,1.06,0.98,47.29%
2021-06-30,3.10亿,132.65%,2.92亿,144.72%,25.36亿,50.26%,0.2461,2.82,0.19,1.60,0.18,12.95%,37.07%,9.09%,8.73%,177.85,2.76,65.13,112.72,1.27,0.95,0.93,1.02,48.35%
2021-03-31,1.56亿,265.02%,1.48亿,321.83%,11.77亿,71.41%,0.1242,2.68,0.18,1.47,0.02,13.96%,38.03%,4.70%,4.64%,183.70,1.38,65.39,118.31,1.42,1.09,1.06,1.03,48.72%
2020-12-31,3.96亿,88.82%,3.47亿,91.42%,40.95亿,2.93%,0.3100,2.60,0.18,1.38,0.61,10.46%,39.32%,12.83%,12.09%,191.27,5.41,66.49,124.78,1.38,1.09,1.05,1.02,48.52%
2020-09-30,2.97亿,50.95%,2.76亿,62.94%,27.60亿,-3.01%,0.2358,2.53,0.18,1.31,0.47,11.65%,40.80%,9.80%,9.33%,210.31,3.64,74.24,136.07,1.39,1.09,1.03,1.03,48.66%
2020-06-30,1.33亿,46.88%,1.19亿,71.94%,16.87亿,-7.82%,0.1058,2.36,0.18,1.18,0.25,8.59%,38.67%,4.55%,4.49%,223.50,2.32,77.65,145.86,1.25,0.98,0.94,1.17,51.88%
2020-03-31,4282.02万,34.69%,3500.10万,133.50%,6.86亿,-16.75%,0.0340,2.30,0.18,1.13,0.13,6.49%,33.95%,1.49%,1.48%,266.94,0.97,92.66,174.28,1.18,0.90,0.86,1.13,51.11%
2019-12-31,2.10亿,921.69%,1.81亿,92.27%,39.78亿,12.85%,0.1700,2.28,0.18,1.09,0.50,5.67%,35.63%,7.70%,7.31%,188.89,5.48,65.67,123.21,1.15,0.90,0.85,1.16,51.72%
2019-09-30,1.97亿,37.39%,1.69亿,91.35%,28.46亿,19.84%,0.1561,2.25,0.15,1.08,0.34,7.46%,34.79%,7.23%,6.94%,201.25,3.83,70.45,130.79,1.19,0.91,0.91,1.18,52.12%
2019-06-30,9065.83万,-6.13%,6935.57万,42.98%,18.31亿,39.72%,0.0719,2.17,0.15,1.00,0.18,5.25%,32.75%,3.39%,3.32%,204.80,2.50,72.14,132.67,1.12,0.86,0.86,1.32,54.96%
2019-03-31,3179.25万,8.99%,1498.99万,-5.07%,8.24亿,46.34%,0.0252,2.13,0.16,0.95,0.07,3.89%,31.98%,1.20%,1.18%,231.53,1.08,83.16,148.37,0.95,0.71,0.71,1.34,55.41%
2018-12-31,2051.42万,-87.79%,9420.89万,-16.31%,35.25亿,36.65%,0.0200,2.05,0.16,0.92,0.45,0.97%,32.20%,0.75%,0.79%,184.83,5.14,70.01,114.82,0.87,0.67,0.67,1.40,56.39%
2018-09-30,1.43亿,31.59%,8837.86万,-4.14%,23.75亿,35.08%,0.1134,2.24,0.15,1.02,0.06,6.13%,30.95%,5.09%,5.07%,217.65,3.27,82.60,135.05,0.81,0.60,0.60,1.46,57.30%
2018-06-30,9658.28万,77.22%,4850.87万,8.94%,13.10亿,20.54%,0.0751,2.22,0.17,0.98,0.04,6.95%,29.86%,3.46%,3.45%,252.04,1.82,98.92,153.11,0.85,0.67,0.67,1.79,62.22%
2018-03-31,2916.98万,114.05%,1579.00万,56.44%,5.63亿,17.27%,0.0230,2.20,0.17,0.95,0.04,4.86%,29.44%,1.06%,1.05%,249.67,0.87,102.97,146.70,0.88,0.63,0.63,1.38,57.59%
2017-12-31,1.68亿,56.57%,1.13亿,32.78%,25.80亿,38.44%,0.1300,2.18,0.17,0.93,0.12,6.48%,29.27%,6.26%,6.11%,186.53,4.59,78.47,108.07,0.87,0.61,0.61,1.25,55.29%
2017-09-30,1.09亿,19.21%,9219.17万,36.54%,17.58亿,37.62%,0.0900,2.17,0.15,0.90,0.09,6.14%,28.91%,4.06%,3.97%,203.09,3.15,85.74,117.35,1.20,0.88,0.88,1.28,55.73%
2017-06-30,5450.00万,-2.86%,4452.59万,23.98%,10.87亿,36.90%,0.0400,2.13,0.15,0.85,0.03,4.85%,29.43%,2.06%,2.03%,210.01,2.00,89.92,120.09,1.23,0.90,0.90,1.22,54.60%
2017-03-31,1362.75万,-33.61%,1009.33万,13.27%,4.80亿,41.19%,0.0200,4.20,1.27,1.69,-0.10,2.84%,27.33%,0.52%,0.52%,227.67,0.93,97.16,130.51,1.35,1.01,1.01,1.20,54.34%
2016-12-31,1.07亿,-81.18%,8477.58万,-3.62%,18.63亿,14.92%,0.1854,4.18,1.27,1.67,0.08,5.69%,30.92%,5.71%,4.09%,199.72,4.21,85.61,114.11,1.33,0.97,0.97,1.04,50.59%
2016-09-30,9125.78万,-76.30%,6751.90万,58.10%,12.77亿,14.52%,0.1600,3.00,0.05,1.81,0.06,7.13%,30.56%,5.37%,5.35%,207.64,3.15,85.61,122.03,1.04,0.79,0.79,1.64,61.79%
2016-06-30,5610.64万,-84.55%,3591.43万,12.35%,7.94亿,11.73%,0.1000,2.94,0.05,1.75,0.05,7.04%,31.10%,3.30%,3.35%,212.57,2.00,89.82,122.74,0.84,0.64,0.64,1.52,60.07%
2016-03-31,2052.68万,48.37%,891.06万,-21.93%,3.40亿,2.06%,0.0400,2.98,0.05,1.80,-0.03,5.95%,31.06%,1.21%,1.21%,245.06,0.86,104.61,140.45,0.89,0.65,0.65,1.30,56.34%
2015-12-31,5.70亿,316.98%,8796.39万,-32.06%,16.21亿,-0.48%,1.0009,2.97,0.05,1.76,0.09,34.97%,30.58%,34.69%,33.68%,190.55,4.59,78.49,112.06,0.93,0.71,0.71,1.16,53.55%
2015-09-30,3.85亿,459.47%,4270.61万,-32.36%,11.15亿,-0.95%,0.6800,3.00,0.05,1.50,0.0100,34.50%,28.27%,24.88%,22.56%,208.87,3.05,88.59,120.29,0.93,0.70,0.70,1.12,52.58%
2015-06-30,3.63亿,820.99%,3196.59万,-10.07%,7.11亿,1.12%,0.6400,3.04,0.05,1.46,-0.0079,51.02%,29.28%,24.86%,20.98%,214.46,1.91,94.27,120.19,0.96,0.69,0.69,0.97,48.95%
2015-03-31,1383.47万,-27.41%,1141.34万,-34.37%,3.33亿,3.89%,0.0200,2.63,0.05,0.90,-0.02,4.05%,27.48%,1.16%,0.92%,230.25,0.92,98.31,131.95,0.72,0.50,0.50,1.03,50.44%
2014-12-31,1.37亿,64.48%,1.29亿,69.34%,16.29亿,22.27%,0.2400,2.08,0.05,0.87,0.05,8.36%,29.00%,12.31%,11.57%,163.67,4.88,73.79,89.87,0.70,0.51,0.51,1.24,54.91%
2014-09-30,6882.57万,44.43%,6314.08万,46.02%,11.26亿,20.73%,0.1200,2.03,0.04,0.78,-0.02,6.04%,26.75%,6.52%,5.94%,173.04,3.30,81.85,91.19,0.82,0.59,0.59,1.30,56.08%
2014-06-30,3943.15万,51.97%,3554.46万,47.30%,7.03亿,16.85%,0.0700,1.84,0.04,0.72,0.04,5.47%,27.31%,3.77%,3.76%,178.92,2.02,88.93,89.99,0.82,0.53,0.53,1.12,52.48%
2014-03-31,1905.89万,111.67%,1739.18万,111.46%,3.21亿,14.75%,0.0300,1.84,0.05,0.72,-0.03,5.73%,27.20%,1.83%,1.81%,193.83,0.92,97.38,96.45,1.10,0.70,0.70,0.80,44.08%
2013-12-31,8309.13万,-9.70%,7645.20万,12.58%,13.32亿,99.77%,0.1500,1.81,0.05,0.68,0.20,6.22%,26.86%,8.32%,8.05%,171.64,4.37,82.42,89.22,1.08,0.72,0.72,0.80,44.13%
2013-09-30,4765.24万,20.01%,4324.23万,21.70%,9.33亿,98.60%,0.0800,1.75,0.05,0.64,0.16,5.11%,25.82%,4.81%,4.78%,181.67,3.11,86.88,94.78,1.53,1.08,1.08,0.89,46.67%
2013-06-30,2594.77万,5.55%,2413.12万,15.59%,6.01亿,110.74%,0.0500,1.72,0.05,0.60,0.03,4.27%,25.30%,2.62%,2.64%,187.24,2.04,88.04,99.20,1.58,1.07,1.07,0.82,44.79%
2013-03-31,900.43万,-14.41%,822.46万,-16.61%,2.80亿,127.35%,0.0200,2.25,0.37,0.79,0.02,3.08%,22.10%,0.91%,0.91%,195.73,1.02,87.84,107.89,1.70,1.19,1.19,0.78,43.59%
2012-12-31,9201.60万,10.65%,6791.11万,-13.55%,6.67亿,2.93%,0.1600,2.23,0.37,0.77,0.08,13.68%,35.81%,9.75%,9.36%,270.03,2.49,144.81,125.23,1.68,1.24,1.24,0.84,45.34%
2012-09-30,3970.84万,-28.20%,3553.14万,-30.86%,4.70亿,1.80%,0.0900,2.09,0.34,0.66,-0.02,8.41%,32.41%,4.38%,4.32%,217.95,2.13,127.01,90.94,1.89,1.25,1.25,0.39,27.87%
