报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,465.70万,100.70%,358.63万,100.55%,108.37亿,-19.60%,0.0033,3.89,3.47,-0.92,0.02,-0.29%,7.73%,0.08%,0.08%,57.98,3.42,52.68,5.29,1.11,0.45,0.45,2.09,65.92%
2024-03-31,-1.98亿,41.94%,-1.79亿,46.81%,48.80亿,-25.19%,-0.1379,3.70,3.48,-1.06,-0.10,-4.60%,4.16%,-3.66%,-3.73%,56.70,1.78,50.61,6.09,1.08,0.53,0.53,2.24,67.35%
2023-12-31,-15.26亿,-1228.76%,-15.05亿,-1577.20%,269.49亿,1.55%,-1.0916,3.83,3.47,-0.92,0.37,-6.17%,2.74%,-24.97%,-27.77%,44.67,8.92,40.38,4.30,1.05,0.49,0.49,2.01,64.84%
2023-09-30,-9.11亿,-2760.81%,-8.95亿,-5713.93%,208.70亿,11.62%,-0.6557,4.33,3.55,-0.47,0.16,-4.90%,2.79%,-14.39%,-14.68%,48.35,6.13,44.04,4.32,1.20,0.57,0.57,1.99,64.75%
2023-06-30,-6.64亿,-375.22%,-6.53亿,-403.14%,134.80亿,18.39%,-0.4796,4.43,3.47,-0.31,0.05,-5.63%,2.19%,-10.24%,-10.80%,50.44,3.91,46.01,4.42,0.97,0.35,0.35,1.79,62.07%
2023-03-31,-3.40亿,-128.00%,-3.37亿,-106.38%,65.23亿,32.93%,-0.2463,4.70,3.47,-0.04,-0.22,-5.52%,2.13%,-5.13%,-5.22%,51.89,1.92,46.87,5.02,1.05,0.40,0.40,1.71,60.83%
2022-12-31,1.35亿,111.78%,1.02亿,110.04%,265.39亿,22.06%,0.1134,4.92,3.45,0.21,0.07,0.54%,7.77%,2.41%,1.99%,44.22,8.97,40.11,4.11,1.08,0.39,0.39,1.62,59.69%
2022-09-30,3423.19万,108.61%,1593.58万,104.35%,186.97亿,14.96%,0.0284,4.62,3.18,0.19,0.17,0.11%,8.11%,0.62%,0.61%,45.24,6.63,40.70,4.54,0.98,0.31,0.31,1.92,63.38%
2022-06-30,-1.40亿,-179.50%,-1.30亿,-166.25%,113.86亿,5.05%,-0.1160,4.46,3.16,0.04,0.04,-1.53%,6.18%,-2.57%,-2.60%,46.71,4.30,41.81,4.90,1.01,0.36,0.36,1.88,62.95%
2022-03-31,-1.49亿,-153.45%,-1.63亿,-156.76%,49.07亿,-2.35%,-0.1238,4.44,3.15,0.04,-0.16,-3.54%,4.32%,-2.75%,-2.79%,49.13,2.08,43.32,5.81,1.12,0.40,0.40,1.75,61.15%
2021-12-31,-11.47亿,-220.74%,-10.15亿,-210.37%,217.42亿,17.36%,-1.0007,4.57,3.14,0.16,-0.31,-5.39%,6.11%,-19.72%,-20.82%,39.16,10.29,34.98,4.18,1.31,0.56,0.56,1.53,57.88%
2021-09-30,-3.98亿,-156.29%,-3.66亿,-153.24%,162.64亿,22.49%,-0.3441,5.19,3.14,0.83,-0.12,-2.33%,7.14%,-6.47%,-6.35%,40.01,7.58,35.62,4.39,1.96,1.07,1.07,1.32,54.38%
2021-06-30,1.76亿,-59.29%,1.96亿,-53.41%,108.39亿,37.17%,0.1555,5.69,3.14,1.31,0.08,1.87%,10.22%,2.73%,2.56%,43.46,4.62,38.92,4.54,2.12,1.13,1.13,1.02,48.20%
2021-03-31,2.79亿,31.19%,2.88亿,39.02%,50.25亿,39.54%,0.2647,5.90,3.12,1.53,0.18,5.96%,13.40%,4.67%,3.92%,47.68,2.12,42.48,5.20,1.95,0.94,0.94,0.78,42.11%
2020-12-31,9.50亿,369.64%,9.19亿,353.23%,185.27亿,20.66%,1.0745,5.45,2.54,1.59,1.07,5.77%,13.33%,25.68%,17.81%,38.46,10.45,34.45,4.01,1.36,0.55,0.55,0.83,42.99%
2020-09-30,7.06亿,444.73%,6.88亿,382.72%,132.78亿,17.22%,0.8003,5.17,2.51,1.39,0.65,6.14%,13.76%,19.30%,13.98%,36.81,8.45,31.96,4.85,1.25,0.64,0.64,0.80,41.99%
2020-06-30,4.32亿,859.06%,4.20亿,616.74%,79.02亿,8.54%,0.5161,4.26,1.65,1.29,0.40,6.58%,14.15%,12.89%,11.20%,40.01,5.13,35.11,4.90,1.30,0.67,0.67,1.16,50.69%
2020-03-31,2.13亿,3844.97%,2.07亿,27650.01%,36.01亿,7.26%,0.1550,4.23,1.65,1.26,0.20,6.87%,14.52%,6.20%,5.56%,42.54,2.42,37.14,5.39,1.25,0.73,0.73,1.18,51.38%
2019-12-31,2.02亿,47.78%,2.03亿,43.68%,153.55亿,-0.43%,0.2400,3.98,1.65,1.00,0.65,1.88%,9.56%,5.84%,6.08%,34.54,11.89,30.27,4.27,0.87,0.36,0.36,1.05,47.81%
2019-09-30,1.30亿,2.19%,1.43亿,-0.63%,113.27亿,2.19%,0.1550,4.13,1.90,0.96,0.15,1.61%,9.26%,3.75%,3.75%,32.26,9.94,27.17,5.09,0.98,0.47,0.47,0.90,43.90%
2019-06-30,4501.55万,-35.96%,5863.29万,-27.01%,72.80亿,6.51%,0.0538,4.13,1.90,0.96,0.16,0.97%,8.90%,1.31%,1.30%,35.35,5.94,30.31,5.04,1.05,0.46,0.46,0.87,43.20%
2019-03-31,539.38万,-87.85%,-75.19万,-101.54%,33.58亿,2.21%,0.0064,4.08,1.90,0.91,0.13,0.35%,7.76%,0.16%,0.16%,36.54,2.92,30.82,5.72,1.09,0.52,0.52,0.83,41.81%
2018-12-31,1.37亿,-55.87%,1.41亿,-52.46%,154.22亿,12.28%,0.1639,4.07,1.90,0.90,0.67,1.27%,8.34%,4.00%,4.02%,32.33,12.79,28.15,4.19,1.14,0.48,0.48,0.76,39.48%
2018-09-30,1.27亿,-40.53%,1.43亿,-32.27%,110.85亿,6.96%,0.1518,4.09,1.89,0.93,0.27,1.61%,8.76%,3.42%,3.71%,34.22,9.60,28.12,6.11,1.19,0.52,0.52,0.72,38.23%
2018-06-30,7029.55万,-48.96%,8032.78万,-40.30%,68.36亿,4.60%,0.0840,4.03,1.89,0.86,0.04,1.48%,8.66%,2.10%,2.08%,36.05,5.88,30.60,5.45,1.16,0.54,0.54,0.74,38.64%
2018-03-31,4439.39万,-19.78%,4886.14万,-11.48%,32.85亿,7.32%,0.0531,4.16,1.89,0.98,-0.12,1.69%,8.84%,1.28%,1.28%,39.95,2.62,34.33,5.62,1.19,0.43,0.43,0.62,34.77%
2017-12-31,3.10亿,54.37%,2.97亿,54.20%,137.35亿,26.19%,0.3900,4.11,1.89,0.93,0.50,2.81%,10.38%,10.33%,9.04%,33.37,12.34,29.17,4.20,1.19,0.46,0.46,0.61,35.00%
2017-09-30,2.13亿,58.21%,2.12亿,65.04%,103.64亿,32.37%,0.2692,3.98,1.89,0.85,0.57,2.60%,9.72%,7.36%,6.40%,29.51,10.79,25.02,4.49,1.29,0.71,0.71,0.58,33.55%
2017-06-30,1.38亿,106.67%,1.35亿,117.60%,65.35亿,41.94%,0.1748,3.74,1.70,0.79,0.15,2.59%,9.71%,4.79%,4.59%,31.73,6.68,26.96,4.77,1.09,0.48,0.48,0.67,36.42%
