报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,896.16万,43.87%,-1699.69万,-378.22%,2.84亿,-43.34%,0.0100,0.36,2.09,-2.86,-0.17,2.38%,21.86%,2.83%,2.71%,1019.46,0.59,303.18,716.28,0.77,0.65,0.38,17.24,93.89%
2024-03-31,-2889.03万,-724.54%,-2564.96万,-724.44%,1.08亿,-61.91%,-0.0471,0.28,2.09,-2.93,-0.22,-27.19%,17.19%,-9.71%,-10.20%,1291.67,0.24,367.65,924.02,0.76,0.65,0.35,19.67,94.42%
2023-12-31,-1.49亿,59.40%,-1.84亿,51.74%,10.25亿,11.73%,-0.2500,0.33,2.09,-2.88,-0.66,-16.05%,18.04%,-44.18%,-47.87%,526.06,2.69,134.08,391.99,0.75,0.65,0.37,17.74,93.92%
2023-09-30,-2622.47万,55.56%,-2934.02万,45.73%,8.08亿,37.07%,-0.0400,0.53,2.09,-2.68,-0.60,-3.39%,17.88%,-6.83%,-6.04%,495.81,2.26,119.34,376.46,0.78,0.67,0.46,11.54,91.06%
2023-06-30,622.91万,109.04%,610.92万,110.18%,5.02亿,66.30%,0.0100,0.58,2.09,-2.63,-0.08,0.94%,16.89%,1.69%,1.34%,524.48,1.47,122.78,401.70,0.80,0.69,0.47,10.62,90.44%
2023-03-31,462.58万,142.51%,410.76万,114.65%,2.85亿,110.72%,0.0085,0.58,2.09,-2.63,-0.11,1.34%,13.15%,1.70%,0.99%,447.63,0.87,103.85,343.77,0.79,0.68,0.44,9.85,89.79%
2022-12-31,-3.68亿,77.85%,-3.82亿,76.16%,9.18亿,-52.36%,-0.7200,0.13,2.14,-3.15,-1.20,-40.66%,22.29%,-101.91%,-210.08%,503.35,2.42,148.85,354.51,0.70,0.61,0.39,27.22,95.37%
2022-09-30,-5901.10万,-288.25%,-5406.19万,-285.23%,5.89亿,-65.06%,-0.1200,0.74,2.14,-2.55,-0.85,-10.41%,20.31%,-11.41%,-12.10%,573.81,1.33,203.13,370.68,0.79,0.64,0.39,8.77,88.72%
2022-06-30,-6889.02万,-208.37%,-5998.83万,-196.63%,3.02亿,-76.81%,-0.1300,0.72,2.14,-2.57,-0.56,-23.39%,26.65%,-13.46%,-14.42%,730.92,0.64,279.11,451.81,0.80,0.66,0.39,8.86,88.83%
2022-03-31,190.75万,-79.24%,-2803.33万,-403.84%,1.35亿,-66.84%,0.0037,0.86,2.14,-2.43,-0.35,0.74%,39.25%,0.33%,0.35%,878.00,0.24,379.11,498.89,0.81,0.65,0.39,7.02,86.45%
2021-12-31,-16.61亿,-1138.82%,-16.01亿,-1130.54%,19.26亿,-23.57%,-3.2400,0.85,2.14,-2.43,-1.74,-86.71%,15.32%,-111.55%,-304.02%,224.08,4.68,76.90,147.18,0.84,0.71,0.44,7.23,86.76%
2021-09-30,3134.76万,-77.35%,2918.62万,-78.76%,16.87亿,-16.09%,0.0600,4.17,2.14,0.86,-1.10,1.66%,18.87%,1.32%,1.40%,214.94,4.02,67.13,147.81,1.70,1.55,1.13,1.52,59.64%
2021-06-30,6356.67万,-34.33%,6207.84万,-35.53%,13.01亿,3.15%,0.1200,4.23,2.14,0.92,-0.52,4.68%,20.71%,2.59%,2.79%,170.30,3.08,58.49,111.81,1.79,1.63,1.21,1.47,58.83%
2021-03-31,919.00万,175.78%,922.65万,175.90%,4.07亿,57.40%,0.0200,4.61,2.14,1.31,-0.33,1.93%,20.01%,0.37%,0.37%,276.03,0.82,110.28,165.75,2.04,1.81,1.50,1.29,55.63%
2020-12-31,1.60亿,-34.76%,1.55亿,-35.59%,25.20亿,-13.06%,0.3100,4.60,2.14,1.30,0.08,6.17%,21.90%,6.29%,6.48%,227.93,3.23,111.39,116.54,2.12,1.89,1.52,1.16,53.13%
2020-09-30,1.38亿,-29.52%,1.37亿,-29.51%,20.10亿,-8.31%,0.2700,5.17,2.35,1.66,-0.33,6.76%,19.97%,5.39%,5.22%,189.80,3.59,75.28,114.52,2.46,2.41,1.89,1.01,49.72%
2020-06-30,9680.45万,-28.87%,9628.54万,-28.80%,12.61亿,-13.06%,0.1900,4.87,2.14,1.59,0.09,7.57%,20.16%,3.76%,3.88%,195.70,2.24,80.30,115.40,1.85,1.81,1.34,0.74,41.94%
2020-03-31,-1212.71万,-169.58%,-1215.68万,-171.68%,2.59亿,-38.44%,-0.0200,4.95,2.14,1.69,-0.36,-4.91%,14.20%,-0.48%,-0.48%,421.07,0.49,182.41,238.66,1.93,1.89,1.37,0.74,42.07%
2019-12-31,2.45亿,-1.78%,2.41亿,0.59%,28.99亿,1.73%,0.4800,4.98,2.14,1.72,0.82,8.46%,19.68%,9.68%,9.61%,225.18,2.77,130.17,95.01,1.93,1.44,1.43,0.78,43.30%
2019-09-30,1.96亿,1.57%,1.95亿,5.41%,21.92亿,3.12%,0.3829,4.88,2.14,1.63,0.37,8.96%,20.06%,7.75%,7.85%,227.36,2.06,131.14,96.22,1.91,1.36,1.36,0.64,39.12%
2019-06-30,1.36亿,4.41%,1.35亿,10.78%,14.50亿,5.08%,0.2654,4.93,2.14,1.72,0.21,9.38%,20.18%,5.35%,5.39%,229.55,1.37,131.74,97.80,2.13,1.54,1.54,0.65,39.46%
2019-03-31,1742.83万,6.37%,1696.06万,43.04%,4.20亿,1.41%,0.0340,4.89,2.13,1.71,-0.04,4.15%,18.36%,0.70%,0.69%,378.03,0.41,221.57,156.47,2.49,1.76,1.76,0.54,34.86%
2018-12-31,2.50亿,3.27%,2.40亿,0.02%,28.49亿,11.06%,0.5265,4.87,2.13,1.68,0.11,8.76%,19.30%,11.64%,9.98%,214.84,2.65,135.62,79.21,2.54,1.79,1.79,0.53,34.54%
2018-09-30,1.93亿,11.70%,1.85亿,7.26%,21.26亿,10.12%,0.4194,4.81,2.13,1.59,-0.93,9.07%,17.86%,9.42%,7.82%,217.18,1.91,141.10,76.08,2.54,1.68,1.68,0.48,32.49%
