报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,7903.77万,116.95%,6098.24万,140.90%,5.69亿,53.62%,0.1809,3.66,0.57,1.99,-0.57,13.88%,33.25%,4.99%,4.91%,362.00,0.89,202.75,159.25,2.24,1.46,1.27,0.63,38.58%
2024-03-31,1085.32万,-47.66%,708.54万,-62.12%,1.71亿,0.49%,0.0247,3.52,0.58,1.84,-0.41,6.37%,27.33%,0.70%,0.70%,503.42,0.30,300.40,203.02,2.79,1.75,1.59,0.53,34.54%
2023-12-31,5234.67万,-71.04%,2999.89万,-82.42%,8.40亿,-30.39%,0.1200,3.55,0.58,1.82,0.46,6.11%,26.44%,3.41%,3.35%,369.17,1.78,202.17,167.00,3.13,2.21,1.97,0.48,32.45%
2023-09-30,3868.48万,-77.11%,2530.44万,-84.14%,5.48亿,-44.25%,0.0882,3.54,0.58,1.79,0.30,6.86%,26.76%,2.53%,2.49%,408.36,1.16,233.54,174.81,3.35,2.32,2.10,0.45,31.22%
2023-06-30,3643.19万,-63.49%,2531.46万,-72.94%,3.70亿,-34.84%,0.0832,3.50,0.58,1.75,0.29,9.60%,28.25%,2.38%,2.37%,400.78,0.81,222.47,178.31,3.58,2.60,2.37,0.43,30.14%
2023-03-31,2073.43万,-64.26%,1870.56万,-65.22%,1.70亿,-39.95%,0.0474,3.51,0.58,1.76,0.23,11.79%,33.04%,1.36%,1.35%,443.53,0.34,266.75,176.78,5.14,3.62,3.08,0.36,26.21%
2022-12-31,1.81亿,15.37%,1.71亿,18.96%,12.06亿,29.12%,0.4100,3.44,0.57,1.71,0.76,14.92%,31.03%,12.67%,11.95%,280.89,2.04,176.41,104.48,3.52,2.50,2.12,0.37,26.93%
2022-09-30,1.69亿,14.24%,1.60亿,14.50%,9.82亿,28.76%,0.3872,3.40,0.57,1.70,0.34,17.20%,33.56%,11.90%,11.30%,282.32,1.62,166.48,115.84,4.09,2.80,2.34,0.29,22.52%
2022-06-30,9979.75万,-23.11%,9356.63万,-24.45%,5.68亿,-4.99%,0.2287,3.24,0.57,1.55,0.30,17.53%,35.61%,7.17%,7.00%,332.54,0.81,222.30,110.24,4.13,2.62,2.19,0.29,22.68%
2022-03-31,5800.86万,-29.32%,5378.19万,-32.08%,2.84亿,-20.48%,0.1330,3.20,0.57,1.49,0.25,20.46%,37.98%,4.21%,4.13%,339.86,0.38,234.19,105.67,4.64,2.80,2.40,0.26,20.83%
