报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,3.54亿,16.30%,3.52亿,19.12%,46.68亿,-1.63%,0.2340,3.79,0.19,1.93,0.12,7.95%,22.15%,6.02%,6.17%,196.90,1.40,128.52,68.38,1.21,0.70,0.69,1.51,58.17%
2024-03-31,1.57亿,32.37%,1.57亿,35.63%,22.43亿,0.03%,0.1040,3.91,0.19,2.05,-0.10,7.31%,22.13%,2.69%,2.65%,197.87,0.68,131.98,65.89,1.21,0.69,0.68,1.33,55.20%
2023-12-31,5.60亿,-7.24%,5.65亿,7.67%,91.16亿,-5.13%,0.3690,3.80,0.19,1.95,1.78,6.74%,21.38%,9.99%,9.70%,191.73,2.97,121.11,70.63,1.20,0.71,0.70,1.29,54.32%
2023-09-30,4.51亿,4.25%,4.36亿,17.00%,73.34亿,1.13%,0.2970,3.68,0.19,1.91,0.46,6.71%,21.85%,8.04%,8.08%,184.23,2.47,109.23,75.00,1.41,0.83,0.81,1.17,51.84%
2023-06-30,3.05亿,30.99%,2.96亿,28.35%,47.46亿,2.64%,0.2010,3.58,0.19,1.81,0.21,7.06%,22.10%,5.38%,5.61%,189.17,1.60,112.63,76.54,1.42,0.85,0.84,1.22,53.07%
2023-03-31,1.19亿,-2.26%,1.16亿,0.0024%,22.42亿,-4.72%,0.0780,3.71,0.19,1.94,0.11,6.00%,21.46%,2.13%,2.11%,196.81,0.76,119.00,77.81,1.51,0.89,0.88,1.12,50.89%
2022-12-31,6.03亿,9.04%,5.24亿,-1.68%,96.08亿,0.83%,0.3980,3.63,0.19,1.86,0.50,7.01%,20.58%,10.88%,10.95%,174.46,3.38,106.36,68.10,1.48,0.87,0.86,1.12,50.95%
2022-09-30,4.33亿,0.53%,3.73亿,-12.91%,72.52亿,-0.29%,0.2850,3.69,0.23,1.77,0.31,6.65%,20.67%,7.74%,7.73%,175.12,2.56,105.45,69.67,1.46,0.90,0.89,1.18,52.23%
2022-06-30,2.33亿,-29.51%,2.30亿,-29.65%,46.24亿,-5.07%,0.1530,3.56,0.23,1.64,-0.02,5.73%,20.53%,4.11%,4.31%,184.32,1.62,110.97,73.35,1.35,0.81,0.80,1.29,54.51%
2022-03-31,1.21亿,-2.00%,1.16亿,-5.57%,23.53亿,4.41%,0.0800,3.74,0.23,1.82,-0.08,5.80%,19.73%,2.17%,2.14%,177.18,0.83,107.98,69.20,1.46,0.84,0.83,1.11,50.89%
2021-12-31,5.53亿,-2.13%,5.33亿,-0.51%,95.29亿,13.20%,0.3650,3.66,0.23,1.74,0.68,6.32%,21.20%,10.16%,9.98%,155.82,3.73,96.57,59.24,1.43,0.81,0.80,1.12,51.11%
2021-09-30,4.30亿,-2.27%,4.28亿,-0.90%,72.73亿,4.38%,0.2840,3.55,0.22,1.69,0.46,6.40%,22.00%,7.78%,8.00%,152.59,2.96,91.10,61.49,1.43,0.88,0.85,1.15,51.90%
2021-06-30,3.30亿,32.68%,3.27亿,33.27%,48.71亿,10.29%,0.2180,3.47,0.21,1.62,0.16,7.26%,21.77%,6.03%,6.27%,153.21,1.97,91.35,61.87,1.38,0.85,0.83,1.25,53.96%
2021-03-31,1.24亿,191.61%,1.22亿,176.42%,22.54亿,21.59%,0.0820,3.58,0.21,1.73,-0.02,5.85%,20.36%,2.31%,2.28%,159.01,0.93,96.78,62.22,1.46,0.88,0.86,1.09,50.78%
2020-12-31,5.65亿,14.37%,5.36亿,28.35%,84.18亿,-8.61%,0.3730,3.50,0.21,1.65,0.70,7.06%,21.36%,11.06%,10.64%,160.23,3.65,98.68,61.56,1.48,0.88,0.86,1.02,49.16%
2020-09-30,4.40亿,8.44%,4.32亿,29.67%,69.68亿,-1.16%,0.2900,3.31,0.21,1.60,0.56,6.60%,19.93%,8.67%,8.78%,147.84,3.09,87.40,60.44,1.33,0.84,0.80,1.09,50.71%
2020-06-30,2.49亿,-10.45%,2.46亿,11.21%,44.16亿,-5.16%,0.1640,3.18,0.21,1.47,0.25,5.83%,19.00%,5.00%,5.16%,155.15,1.98,91.03,64.12,1.22,0.78,0.76,1.25,54.17%
2020-03-31,4248.82万,-27.79%,4428.14万,-19.04%,18.54亿,-17.81%,0.0280,3.24,0.21,1.54,-0.09,2.34%,18.42%,0.88%,0.86%,182.03,0.82,109.37,72.66,1.24,0.75,0.73,1.20,53.07%
2019-12-31,4.94亿,14.20%,4.18亿,55.63%,92.11亿,2.23%,0.3260,3.24,0.24,1.51,0.65,5.64%,20.19%,10.30%,10.05%,146.26,4.04,89.04,57.22,1.13,0.68,0.65,1.14,52.07%
2019-09-30,4.06亿,3.84%,3.33亿,17.82%,70.50亿,-1.77%,0.2680,3.06,0.24,1.45,0.43,6.00%,20.44%,8.83%,8.74%,148.76,3.09,87.44,61.32,1.06,0.65,0.65,1.28,54.97%
2019-06-30,2.78亿,-6.51%,2.21亿,12.57%,46.57亿,-1.41%,0.1830,2.98,0.24,1.37,0.13,6.16%,20.17%,6.03%,6.15%,151.93,2.05,87.86,64.07,1.03,0.62,0.62,1.34,56.06%
2019-03-31,5883.78万,-7.19%,5469.30万,-5.44%,22.55亿,2.91%,0.0390,2.99,0.24,1.37,-0.03,2.70%,17.23%,1.31%,1.30%,152.12,1.01,88.97,63.15,1.03,0.62,0.62,1.37,56.62%
2018-12-31,4.33亿,-22.00%,2.68亿,29.71%,90.10亿,5.90%,0.2850,2.95,0.24,1.34,0.66,5.03%,18.86%,9.91%,9.68%,146.48,4.06,88.74,57.73,1.01,0.59,0.59,1.27,54.65%
2018-09-30,3.91亿,-41.57%,2.83亿,1.96%,71.77亿,7.33%,0.2580,2.92,0.24,1.34,0.47,5.74%,19.08%,8.92%,8.83%,142.43,3.27,82.59,59.83,0.97,0.59,0.59,1.40,57.14%
2018-06-30,2.97亿,-48.03%,1.96亿,9.55%,47.23亿,10.32%,0.1960,2.86,0.24,1.27,0.27,6.64%,19.54%,6.73%,6.86%,147.73,2.10,85.88,61.85,0.94,0.57,0.57,1.49,58.53%
2018-03-31,6339.84万,-85.98%,5784.23万,27.22%,21.92亿,2.27%,0.0420,2.85,0.24,1.27,0.05,3.17%,18.06%,1.48%,1.47%,151.21,0.99,90.77,60.44,0.95,0.53,0.53,1.30,55.30%
2017-12-31,5.55亿,147.81%,2.07亿,1.94%,85.08亿,1.81%,0.3660,2.81,0.24,1.23,0.70,6.70%,18.64%,12.96%,13.01%,149.20,3.97,90.77,58.43,0.94,0.52,0.52,1.30,55.13%
