报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,6280.45万,-76.65%,5860.53万,-71.39%,24.79亿,-1.15%,0.0615,5.48,0.54,3.48,-0.17,2.35%,17.84%,1.13%,1.12%,169.16,1.97,91.19,77.97,2.77,1.99,1.99,0.46,28.23%
2024-03-31,7652.74万,-45.53%,7250.84万,-14.51%,11.25亿,5.97%,0.0749,5.48,0.54,3.49,-0.31,6.58%,21.10%,1.16%,1.37%,191.05,0.82,110.31,80.75,2.56,1.73,1.73,0.45,27.69%
2023-12-31,4.03亿,-26.73%,2.79亿,-30.26%,54.06亿,-8.24%,0.3947,5.41,0.54,3.41,0.36,6.42%,19.76%,7.46%,7.30%,146.34,4.02,89.49,56.85,2.66,1.84,1.84,0.44,26.89%
2023-09-30,3.97亿,-0.87%,3.16亿,-13.10%,41.59亿,0.81%,0.3887,5.41,0.55,3.44,-0.0094,8.74%,20.67%,6.13%,7.19%,152.68,3.31,81.47,71.20,2.74,1.92,1.92,0.39,24.71%
2023-06-30,2.69亿,4.61%,2.05亿,-19.77%,25.08亿,-3.40%,0.2634,5.29,0.55,3.32,-0.08,9.91%,20.98%,4.95%,4.98%,165.04,1.87,96.16,68.88,2.69,1.78,1.78,0.35,22.87%
2023-03-31,1.40亿,4.76%,8481.75万,-36.57%,10.62亿,-5.48%,0.1376,5.32,0.55,3.37,-0.15,12.56%,22.05%,2.19%,2.59%,197.29,0.78,115.68,81.61,2.41,1.56,1.56,0.31,20.42%
2022-12-31,5.50亿,7.05%,4.00亿,-21.72%,58.92亿,11.13%,0.5401,5.19,0.56,3.23,-0.22,9.34%,21.59%,10.60%,10.39%,118.02,4.76,75.65,42.36,2.30,1.44,1.44,0.30,20.11%
2022-09-30,4.00亿,-13.82%,3.63亿,-21.17%,41.25亿,5.63%,0.3933,5.14,0.57,3.12,-0.32,9.95%,21.70%,6.63%,7.63%,127.17,3.62,74.50,52.68,2.05,1.34,1.34,0.34,22.40%
2022-06-30,2.57亿,-18.86%,2.55亿,-18.74%,25.97亿,0.48%,0.2529,5.13,0.57,3.13,-0.40,10.87%,22.59%,5.10%,4.91%,138.20,2.14,84.05,54.16,2.19,1.45,1.45,0.32,21.34%
2022-03-31,1.34亿,-17.06%,1.34亿,-16.21%,11.23亿,-12.93%,0.1320,4.99,0.53,3.03,-0.26,12.51%,25.80%,2.26%,2.64%,155.67,0.92,97.98,57.70,2.03,1.31,1.31,0.34,22.29%
