报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,35.73亿,4.80%,31.26亿,-19.09%,390.60亿,-2.16%,0.4224,8.15,0.62,6.34,0.99,9.42%,28.24%,5.19%,5.17%,249.04,1.37,131.24,117.80,1.67,1.00,0.98,1.25,55.16%
2024-03-31,15.80亿,4.21%,13.46亿,-6.41%,178.30亿,-0.95%,0.1867,8.19,0.62,6.32,0.52,9.19%,28.15%,2.35%,2.27%,270.29,0.62,144.18,126.10,1.76,1.05,1.03,1.21,54.29%
2023-12-31,45.27亿,5.53%,43.88亿,40.35%,740.19亿,-8.44%,0.5347,8.02,0.62,6.14,0.67,6.29%,27.71%,6.85%,6.65%,255.25,2.68,134.34,120.91,1.79,1.06,1.04,1.21,54.25%
2023-09-30,40.48亿,12.51%,42.29亿,38.84%,561.36亿,-5.08%,0.4785,7.99,0.63,6.11,0.60,7.47%,28.50%,6.02%,5.97%,255.37,1.95,138.15,117.22,1.69,0.98,0.97,1.26,55.32%
2023-06-30,34.09亿,29.41%,38.63亿,75.18%,399.25亿,-0.33%,0.4024,7.87,0.62,6.03,0.05,8.85%,28.21%,5.12%,5.09%,251.05,1.34,133.87,117.18,1.63,0.97,0.96,1.40,57.90%
2023-03-31,15.16亿,-4.62%,14.38亿,32.11%,180.02亿,-11.25%,0.1791,7.83,0.62,5.97,-0.19,8.78%,27.60%,2.30%,2.28%,275.31,0.60,150.60,124.71,1.67,0.96,0.95,1.38,57.61%
2022-12-31,42.90亿,-64.35%,31.27亿,-69.62%,808.39亿,-24.38%,0.5076,7.65,0.63,5.79,0.48,5.50%,24.02%,6.65%,6.58%,213.59,3.18,113.09,100.50,1.56,0.97,0.96,1.43,58.42%
2022-09-30,35.97亿,-71.37%,30.46亿,-73.31%,591.41亿,-32.98%,0.4266,7.59,0.63,5.72,0.41,6.35%,22.83%,5.57%,5.58%,222.65,2.27,118.78,103.88,1.62,0.98,0.97,1.37,57.26%
2022-06-30,26.34亿,-73.85%,22.05亿,-76.48%,400.46亿,-40.63%,0.3124,7.39,0.61,5.61,0.35,6.88%,22.50%,4.04%,4.20%,208.07,1.62,110.80,97.27,1.62,0.98,0.96,1.37,57.15%
2022-03-31,15.90亿,-71.29%,10.89亿,-79.27%,202.78亿,-39.49%,0.1885,7.68,0.61,5.93,0.23,8.18%,22.17%,2.47%,2.44%,211.10,0.77,116.72,94.38,1.57,0.89,0.87,1.21,54.20%
2021-12-31,120.33亿,-22.04%,102.91亿,-26.22%,1068.73亿,6.82%,1.4287,7.50,0.61,5.74,1.40,11.62%,25.85%,19.95%,18.89%,155.99,4.18,86.16,69.83,1.53,0.87,0.85,1.15,53.02%
2021-09-30,125.67亿,0.91%,114.12亿,0.95%,882.81亿,20.23%,1.4918,7.56,0.63,5.84,1.21,14.66%,27.32%,20.53%,19.58%,146.73,3.44,78.38,68.35,1.59,0.97,0.94,1.10,51.61%
2021-06-30,100.74亿,17.16%,93.77亿,18.01%,674.98亿,36.25%,1.1965,7.29,0.63,5.54,1.15,15.34%,28.14%,16.34%,16.29%,135.67,2.50,71.98,63.68,1.50,0.93,0.91,1.31,55.94%
2021-03-31,55.38亿,146.16%,52.52亿,169.61%,335.13亿,92.12%,0.6579,7.32,0.61,5.58,0.11,16.95%,29.83%,9.32%,8.91%,146.21,1.13,79.86,66.35,1.51,0.90,0.87,1.25,54.82%
2020-12-31,154.35亿,36.28%,139.48亿,33.96%,1000.55亿,31.25%,1.8401,6.67,0.61,4.93,1.58,15.97%,29.82%,29.64%,27.28%,164.82,4.17,86.36,78.47,1.47,0.88,0.81,1.20,53.91%
2020-09-30,124.53亿,34.71%,113.05亿,22.16%,734.24亿,24.26%,1.4747,6.30,0.60,4.57,1.30,17.47%,30.30%,24.06%,23.33%,168.93,3.49,77.45,91.47,1.48,0.99,0.96,1.22,54.22%
2020-06-30,85.98亿,27.42%,79.46亿,16.64%,495.41亿,13.37%,1.0197,5.89,0.77,4.01,1.01,17.56%,30.34%,17.34%,16.98%,168.64,2.42,74.49,94.15,1.51,1.15,1.13,1.31,56.09%
