报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,1.04亿,-46.47%,8486.34万,-45.60%,19.25亿,23.34%,0.2602,8.95,2.97,4.66,-0.19,5.14%,21.15%,2.91%,2.91%,213.78,1.80,99.95,113.83,2.07,1.52,1.44,0.56,35.52%
2024-03-31,3516.66万,-61.11%,2221.01万,-66.90%,8.13亿,15.27%,0.0877,9.04,2.97,4.75,-0.21,3.81%,21.67%,0.98%,0.97%,247.54,0.73,124.14,123.41,2.17,1.58,1.51,0.52,34.01%
2023-12-31,3.51亿,-21.28%,2.86亿,-27.49%,33.79亿,-1.91%,0.8800,8.70,2.72,4.67,0.42,10.13%,24.78%,10.12%,9.79%,225.90,3.10,116.12,109.78,2.10,1.57,1.51,0.55,35.20%
2023-09-30,3.23亿,-4.95%,2.60亿,-12.90%,25.75亿,-1.52%,0.8066,8.63,2.72,4.60,0.43,12.41%,25.64%,9.31%,9.09%,221.00,2.48,108.99,112.01,2.59,1.95,1.93,0.56,35.64%
2023-06-30,1.95亿,-17.99%,1.56亿,-25.30%,15.61亿,-12.32%,0.4864,8.31,2.72,4.28,0.09,12.41%,26.93%,5.75%,5.69%,240.24,1.38,130.10,110.14,2.63,1.90,1.88,0.55,35.35%
2023-03-31,9043.08万,-21.27%,6710.71万,-27.87%,7.05亿,-18.88%,0.2256,8.35,2.72,4.32,0.03,12.78%,27.64%,2.70%,2.63%,255.90,0.63,143.36,112.54,2.48,1.83,1.80,0.60,37.09%
2022-12-31,4.46亿,-8.51%,3.95亿,6.85%,34.45亿,6.52%,1.1140,8.12,2.72,4.09,0.23,13.04%,26.50%,13.96%,13.30%,213.26,3.15,114.12,99.14,2.49,1.84,1.82,0.59,36.93%
2022-09-30,3.40亿,-4.70%,2.98亿,3.28%,26.15亿,9.83%,0.8497,7.86,2.72,3.83,0.42,13.13%,25.41%,11.21%,10.48%,212.67,2.37,113.85,98.82,2.26,1.68,1.66,0.68,40.15%
2022-06-30,2.38亿,2.50%,2.09亿,13.67%,17.80亿,17.55%,0.5937,7.60,2.72,3.57,0.37,13.52%,25.91%,7.65%,7.56%,215.73,1.57,114.51,101.22,2.10,1.53,1.53,0.75,42.62%
2022-03-31,1.15亿,1.85%,9303.13万,11.62%,8.69亿,28.95%,0.2866,7.60,2.72,3.56,0.07,13.42%,25.24%,3.77%,3.66%,220.59,0.76,118.00,102.59,2.13,1.56,1.55,0.75,42.62%
2021-12-31,4.87亿,28.05%,3.69亿,15.78%,32.34亿,28.51%,1.2232,7.36,2.72,3.28,0.73,15.15%,29.56%,17.09%,15.98%,204.75,3.33,108.05,96.70,2.26,1.67,1.66,0.70,40.92%
2021-09-30,3.57亿,33.44%,2.89亿,33.59%,23.81亿,36.15%,0.8963,7.11,2.65,2.97,0.81,15.11%,30.12%,13.76%,12.11%,195.70,2.75,98.35,97.35,2.50,1.96,1.68,0.65,39.13%
2021-06-30,2.32亿,31.47%,1.84亿,31.63%,15.14亿,40.47%,0.5835,6.79,2.65,2.65,0.32,15.44%,30.98%,9.26%,8.22%,200.24,1.80,100.22,100.02,2.75,2.06,1.78,0.59,36.88%
2021-03-31,1.13亿,83.53%,8334.63万,101.27%,6.74亿,58.10%,0.2834,6.74,2.56,2.69,0.26,16.84%,31.46%,4.24%,4.03%,220.57,0.78,114.97,105.60,3.07,2.19,1.93,0.55,35.23%
2020-12-31,3.81亿,12.71%,3.19亿,12.21%,25.17亿,11.63%,0.9700,6.38,2.47,2.41,0.67,15.23%,32.41%,15.57%,14.32%,225.35,3.03,118.72,106.63,2.77,1.98,1.64,0.62,37.99%
2020-09-30,2.67亿,23.22%,2.16亿,21.69%,17.49亿,7.85%,0.6726,6.09,2.46,2.17,0.71,15.40%,35.27%,11.91%,10.52%,245.74,1.97,137.34,108.39,3.46,2.26,2.06,0.51,33.45%
2020-06-30,1.76亿,31.93%,1.40亿,38.49%,10.78亿,2.01%,0.4522,5.63,2.20,1.97,0.16,16.33%,35.15%,7.55%,7.47%,263.49,1.20,149.76,113.73,2.84,2.00,1.68,0.68,40.28%
2020-03-31,6144.67万,4.86%,4141.10万,-5.34%,4.26亿,-18.66%,0.1600,5.59,2.15,1.98,0.24,14.56%,33.58%,2.65%,2.62%,317.25,0.49,185.07,132.18,3.13,2.09,1.77,0.63,38.42%
2019-12-31,3.38亿,13.04%,2.84亿,7.48%,22.54亿,4.10%,0.8700,5.43,2.15,1.82,0.40,14.93%,33.29%,15.59%,14.77%,221.41,3.03,118.78,102.63,2.99,1.94,1.65,0.66,39.33%
2019-09-30,2.17亿,-3.48%,1.78亿,-14.11%,16.21亿,1.02%,0.5566,5.11,2.15,1.57,0.42,13.37%,30.11%,10.26%,10.05%,212.97,2.38,113.39,99.58,4.04,1.81,1.77,0.53,34.17%
2019-06-30,1.34亿,2.13%,1.01亿,-13.11%,10.57亿,5.11%,0.3429,4.90,2.15,1.35,0.14,12.58%,28.79%,6.35%,6.44%,210.36,1.63,110.25,100.11,3.87,2.84,2.80,0.55,34.97%
2019-03-31,5859.68万,14.53%,4374.60万,11.48%,5.24亿,22.73%,0.1502,5.01,2.15,1.46,0.05,11.16%,26.79%,2.84%,2.76%,195.50,0.92,97.56,97.94,4.03,1.53,1.53,0.53,34.06%
