报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
2024-06-30,14.34亿,8.80%,14.14亿,8.18%,26.16亿,8.47%,0.3300,4.19,0.82,1.55,0.28,54.83%,7.70%,7.84%,6.28,86.25%
2024-03-31,7.12亿,4.68%,7.01亿,3.61%,12.82亿,5.84%,0.1700,4.34,0.82,1.71,-0.66,55.54%,3.87%,3.76%,5.73,85.14%
2023-12-31,26.60亿,10.30%,26.39亿,10.17%,47.87亿,10.14%,0.6300,4.20,0.78,1.58,0.64,55.57%,15.81%,14.90%,5.72,85.12%
2023-09-30,20.41亿,11.79%,20.27亿,11.74%,36.40亿,12.01%,0.4800,4.06,0.77,1.54,0.24,56.06%,12.27%,11.86%,5.86,85.42%
2023-06-30,13.18亿,11.45%,13.07亿,11.17%,24.12亿,12.35%,0.3100,3.88,0.77,1.37,-0.0100,54.66%,7.99%,8.01%,6.10,85.92%
2023-03-31,6.80亿,10.38%,6.76亿,10.22%,12.11亿,12.98%,0.1600,5.57,1.44,2.09,-0.18,56.15%,4.17%,4.08%,5.86,85.42%
2022-12-31,24.12亿,16.36%,23.96亿,17.14%,43.46亿,10.29%,0.5800,5.35,1.44,1.87,-0.07,55.49%,15.89%,15.10%,5.82,85.35%
2022-09-30,18.26亿,15.78%,18.14亿,16.82%,32.50亿,10.63%,0.4400,5.15,1.44,1.80,-0.95,56.17%,12.15%,11.87%,5.92,85.55%
2022-06-30,11.83亿,11.27%,11.76亿,11.48%,21.47亿,5.83%,0.2800,4.93,1.44,1.58,-0.39,55.10%,7.90%,8.03%,6.22,86.14%
2022-03-31,6.16亿,10.60%,6.13亿,11.01%,10.72亿,2.77%,0.2100,5.08,1.44,1.74,-0.40,57.47%,4.15%,4.06%,5.74,85.17%
2021-12-31,20.72亿,10.40%,20.45亿,9.81%,39.41亿,5.00%,0.7000,4.87,1.44,1.54,0.34,52.59%,15.36%,14.24%,5.82,85.35%
2021-09-30,15.77亿,11.54%,15.53亿,10.91%,29.38亿,3.75%,0.5300,4.59,1.44,1.52,1.27,53.67%,11.85%,11.50%,5.97,85.65%
2021-06-30,10.63亿,13.10%,10.55亿,13.50%,20.29亿,8.98%,0.3600,4.42,1.43,1.35,0.84,52.41%,8.02%,8.06%,6.11,85.93%
2021-03-31,5.57亿,16.87%,5.53亿,15.93%,10.43亿,13.35%,0.1900,4.54,1.43,1.48,0.57,53.41%,4.19%,4.10%,5.36,84.26%
2020-12-31,18.77亿,18.56%,18.63亿,18.17%,37.53亿,22.43%,0.6300,4.36,1.43,1.30,-0.36,50.02%,15.15%,14.43%,5.25,84.00%
2020-09-30,14.14亿,17.13%,14.00亿,16.38%,28.32亿,27.50%,0.4700,4.20,1.43,1.27,0.37,49.92%,11.53%,11.27%,5.45,84.49%
2020-06-30,9.40亿,19.61%,9.29亿,18.79%,18.61亿,30.81%,0.3100,4.04,1.43,1.11,0.11,50.50%,7.68%,7.79%,5.51,84.64%
2020-03-31,4.77亿,25.51%,4.77亿,26.19%,9.20亿,36.17%,0.1600,4.12,1.45,1.19,-0.21,51.80%,3.91%,3.87%,4.85,82.90%
2019-12-31,15.83亿,26.56%,15.76亿,32.76%,30.66亿,25.82%,0.5300,4.02,1.45,1.03,0.41,51.65%,13.82%,13.20%,4.70,82.45%
2019-09-30,12.07亿,26.30%,12.03亿,33.98%,22.21亿,25.00%,0.4000,3.89,1.45,1.01,0.42,54.35%,10.64%,10.39%,4.72,82.51%
2019-06-30,7.86亿,22.29%,7.82亿,33.15%,14.23亿,20.21%,0.2600,3.75,1.45,0.87,-0.19,55.23%,6.95%,7.02%,4.77,82.66%
2019-03-31,3.80亿,16.79%,3.78亿,24.88%,6.76亿,12.42%,0.1300,3.81,1.45,0.94,-0.08,56.20%,3.39%,3.33%,4.44,81.60%
2018-12-31,12.51亿,23.79%,11.87亿,18.15%,24.37亿,25.42%,0.4300,3.69,1.45,0.81,-2.51,51.34%,12.68%,11.35%,4.36,81.34%
2018-09-30,9.56亿,10.28%,8.98亿,5.43%,17.77亿,17.55%,0.3400,3.59,1.45,0.80,-2.59,53.79%,10.01%,8.91%,4.48,81.74%
