报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,81.74亿,-4.60%,80.99亿,-2.54%,970.67亿,10.77%,2.6000,29.14,0.58,26.78,3.28,9.24%,16.41%,8.99%,8.94%,71.77,3.53,50.94,20.83,0.63,0.39,0.37,2.13,66.14%
2024-03-31,41.57亿,2.57%,41.27亿,3.47%,461.61亿,10.07%,1.3200,29.43,0.57,27.13,0.98,9.89%,17.63%,4.59%,4.50%,72.19,1.74,51.84,20.35,0.65,0.41,0.37,1.95,64.53%
2023-12-31,168.16亿,3.59%,164.39亿,4.06%,1753.61亿,5.92%,5.3600,28.24,0.58,25.81,8.53,10.44%,16.79%,20.42%,18.97%,66.59,7.52,47.90,18.69,0.57,0.33,0.31,1.79,62.67%
2023-09-30,127.03亿,-6.65%,124.28亿,-7.18%,1325.54亿,1.64%,4.0500,26.83,0.61,24.50,5.46,10.45%,16.76%,15.70%,15.08%,64.45,5.93,45.57,18.88,0.64,0.44,0.42,1.98,64.97%
2023-06-30,85.68亿,-17.48%,83.10亿,-18.70%,876.26亿,-1.67%,2.7300,25.79,0.69,23.18,3.57,10.56%,16.42%,10.63%,10.58%,66.69,3.92,45.93,20.77,0.63,0.42,0.39,1.96,64.65%
2023-03-31,40.53亿,-24.58%,39.89亿,-25.40%,419.39亿,0.37%,1.2900,25.78,0.69,23.34,1.33,10.46%,17.53%,5.14%,5.01%,70.10,1.90,47.49,22.61,0.64,0.46,0.42,1.88,63.93%
2022-12-31,162.34亿,-34.14%,157.97亿,-35.14%,1655.65亿,13.76%,5.1700,24.47,0.69,22.05,11.57,10.29%,16.57%,22.75%,21.13%,66.77,7.58,47.52,19.25,0.54,0.32,0.31,1.56,59.50%
2022-09-30,136.08亿,-30.36%,133.90亿,-30.54%,1304.20亿,21.53%,4.3300,23.58,0.69,21.21,6.35,10.91%,16.72%,19.21%,18.38%,66.55,5.75,46.96,19.59,0.70,0.49,0.43,1.86,63.88%
2022-06-30,103.83亿,-23.26%,102.22亿,-22.53%,891.19亿,31.72%,3.3100,22.53,0.69,20.19,4.55,12.11%,18.45%,14.64%,14.68%,70.65,3.65,49.37,21.28,0.71,0.48,0.42,1.88,64.09%
2022-03-31,53.74亿,-18.84%,53.47亿,-16.06%,417.84亿,33.44%,1.7100,23.50,0.69,21.09,1.29,13.22%,20.55%,7.55%,7.28%,74.89,1.67,53.95,20.94,0.79,0.55,0.49,1.77,62.91%
2021-12-31,246.49亿,145.47%,243.56亿,155.20%,1455.38亿,98.19%,7.8500,21.82,0.69,19.38,8.89,17.20%,26.26%,42.53%,35.98%,63.76,7.95,45.26,18.50,0.74,0.53,0.45,1.73,62.33%
2021-09-30,195.42亿,265.32%,192.78亿,288.12%,1073.18亿,117.99%,6.2200,20.38,0.69,17.75,5.57,18.53%,29.53%,34.80%,30.54%,65.38,5.92,45.63,19.75,0.75,0.54,0.46,1.78,62.94%
2021-06-30,135.30亿,377.21%,131.95亿,430.02%,676.57亿,118.91%,4.3100,18.41,0.69,15.84,3.53,20.37%,31.07%,25.07%,23.40%,68.69,3.82,47.15,21.55,0.72,0.52,0.45,1.84,63.74%
2021-03-31,66.21亿,380.82%,63.70亿,499.72%,313.12亿,104.08%,2.1100,17.48,0.69,14.94,0.96,21.55%,32.13%,12.77%,12.06%,66.33,1.99,45.12,21.20,0.70,0.50,0.38,1.70,61.65%
2020-12-31,100.41亿,-0.87%,95.44亿,4.23%,734.33亿,7.91%,3.2000,15.54,0.69,12.83,5.37,14.18%,26.78%,22.20%,20.59%,84.22,6.22,57.89,26.33,0.59,0.43,0.36,1.68,61.38%
2020-09-30,53.49亿,-32.28%,49.67亿,-31.47%,492.32亿,1.43%,1.7000,14.00,0.69,11.33,2.54,11.42%,22.58%,12.33%,12.17%,86.52,4.46,60.48,26.04,0.57,0.41,0.31,1.82,63.48%
2020-06-30,28.35亿,-49.56%,24.90亿,-50.62%,309.07亿,-2.00%,0.9000,13.16,0.69,10.53,2.00,9.79%,20.05%,6.56%,6.86%,88.91,2.83,63.67,25.24,0.53,0.35,0.30,1.74,62.75%
