报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,3800.67万,-25.92%,3170.68万,-23.82%,3.66亿,-25.81%,0.1500,5.56,0.38,3.71,0.11,9.64%,22.62%,2.59%,2.69%,355.91,0.87,207.45,148.47,2.81,2.02,1.88,0.35,22.68%
2024-03-31,1379.55万,-49.38%,999.99万,-50.67%,1.70亿,-28.70%,0.0500,5.75,0.38,3.90,0.0100,7.36%,21.79%,0.95%,0.94%,372.41,0.42,213.37,159.04,2.97,2.18,2.12,0.33,21.56%
2023-12-31,1.05亿,-28.72%,8612.94万,-33.27%,11.37亿,-7.61%,0.4100,5.69,0.38,3.84,1.00,8.73%,25.85%,7.35%,7.29%,261.19,2.54,142.00,119.19,2.70,2.04,1.99,0.37,23.93%
2023-09-30,1.00亿,2.58%,7975.88万,0.73%,7.79亿,-5.64%,0.3900,5.67,0.38,3.86,0.39,12.79%,23.09%,6.95%,6.94%,277.18,1.77,152.75,124.43,2.81,2.06,1.98,0.35,22.54%
2023-06-30,5130.40万,48.91%,4162.32万,34.85%,4.94亿,4.62%,0.2000,5.48,0.38,3.66,0.32,10.41%,21.91%,3.51%,3.68%,286.01,1.14,157.95,128.06,2.72,1.96,1.82,0.36,23.06%
2023-03-31,2725.08万,67.95%,2027.21万,19.92%,2.39亿,2.36%,0.1100,5.76,0.38,3.95,0.18,12.05%,22.29%,1.88%,1.86%,299.84,0.52,172.98,126.87,2.96,2.08,1.97,0.33,21.85%
2022-12-31,1.48亿,7.89%,1.29亿,20.94%,12.31亿,0.95%,0.5800,5.66,0.38,3.84,0.64,12.47%,23.79%,10.48%,10.29%,239.33,2.78,129.53,109.80,2.57,1.85,1.82,0.40,24.84%
2022-09-30,9751.78万,-11.22%,7917.81万,-12.85%,8.25亿,-2.73%,0.3800,5.46,0.38,3.70,0.13,12.45%,22.58%,7.03%,7.03%,265.35,1.85,146.07,119.28,2.61,1.81,1.74,0.38,24.14%
2022-06-30,3445.33万,-45.55%,3086.58万,-20.92%,4.72亿,-9.08%,0.1400,5.21,0.38,3.45,0.23,7.98%,20.20%,2.60%,2.60%,285.98,1.09,165.64,120.35,2.53,1.67,1.65,0.38,23.97%
2022-03-31,1622.59万,-45.26%,1690.47万,-31.26%,2.33亿,-9.73%,0.0600,5.52,0.38,3.76,0.21,7.52%,19.82%,1.16%,1.16%,275.29,0.55,165.11,110.19,2.63,1.76,1.71,0.37,23.55%
