报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,12.33亿,24.70%,10.17亿,7.12%,336.79亿,-8.78%,0.2000,4.15,0.76,2.15,0.18,3.66%,11.15%,4.73%,4.82%,66.65,3.56,50.51,16.14,0.86,0.51,0.35,1.64,60.56%
2024-03-31,5.54亿,47.24%,4.27亿,33.10%,168.72亿,-5.73%,0.0898,4.33,0.76,2.29,0.06,3.29%,10.30%,2.08%,2.08%,68.52,1.74,51.84,16.68,0.91,0.56,0.39,1.68,61.18%
2023-12-31,21.25亿,-1.67%,18.91亿,-6.79%,725.43亿,2.65%,0.3447,4.31,0.76,2.20,0.43,3.09%,10.60%,8.12%,8.01%,57.95,8.24,43.67,14.28,0.93,0.58,0.46,1.69,61.28%
2023-09-30,16.65亿,-19.83%,15.41亿,-23.36%,563.65亿,7.07%,0.2673,4.22,0.76,2.19,0.38,3.23%,10.63%,5.40%,6.40%,57.11,6.59,40.98,16.13,0.92,0.61,0.47,1.86,61.08%
2023-06-30,9.89亿,-36.80%,9.49亿,-36.06%,369.18亿,3.72%,0.1604,4.12,0.76,2.08,0.26,2.98%,10.55%,3.69%,3.89%,54.02,4.67,38.52,15.50,0.88,0.62,0.50,1.91,61.65%
2023-03-31,3.76亿,-49.80%,3.21亿,-59.95%,178.97亿,3.38%,0.0610,4.27,0.76,2.23,0.06,2.41%,9.41%,1.43%,1.43%,55.21,2.20,40.88,14.33,0.88,0.59,0.48,1.74,59.53%
2022-12-31,21.61亿,-48.59%,20.29亿,-45.01%,706.67亿,-7.69%,0.3512,4.23,0.76,2.17,0.61,3.29%,10.75%,7.94%,8.29%,53.70,8.30,43.39,10.30,0.85,0.58,0.47,1.68,58.83%
2022-09-30,20.77亿,-43.02%,20.10亿,-37.77%,526.45亿,-11.99%,0.3391,4.22,0.80,2.16,0.40,4.15%,12.03%,7.28%,7.99%,58.76,5.63,47.98,10.78,0.85,0.53,0.38,1.58,57.10%
2022-06-30,15.65亿,-30.77%,14.84亿,-29.37%,355.95亿,-9.59%,0.2545,4.21,0.90,2.07,0.31,4.50%,11.76%,5.38%,5.75%,60.06,3.58,50.29,9.77,0.91,0.55,0.42,1.45,55.33%
2022-03-31,7.49亿,-23.51%,8.02亿,-13.03%,173.13亿,0.62%,0.1219,4.42,0.90,2.25,0.07,4.13%,11.73%,2.67%,2.63%,56.01,1.85,48.66,7.36,0.89,0.51,0.31,1.19,53.65%
