报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
2024-06-30,4.77亿,73.39%,4.73亿,72.94%,12.55亿,47.62%,0.1700,4.64,2.48,0.53,-0.84,38.01%,3.78%,3.76%,2.56,71.85%
2024-03-31,2.20亿,25.22%,2.17亿,24.66%,5.64亿,29.85%,0.0800,4.62,2.48,0.53,-1.08,39.06%,1.76%,1.74%,2.52,71.54%
2023-12-31,7.01亿,26.33%,7.02亿,29.55%,19.27亿,21.33%,0.2600,4.52,2.48,0.45,-0.24,36.39%,5.74%,5.68%,2.50,71.38%
2023-09-30,4.60亿,2.25%,4.53亿,4.91%,12.98亿,8.66%,0.1700,4.42,2.48,0.44,-2.04,35.44%,3.76%,3.80%,2.49,71.36%
2023-06-30,2.75亿,13.46%,2.73亿,17.95%,8.50亿,12.08%,0.1000,4.36,2.48,0.37,-1.45,32.35%,2.24%,2.31%,2.50,71.44%
2023-03-31,1.76亿,110.73%,1.74亿,121.71%,4.34亿,40.93%,0.0600,4.50,2.48,0.52,-0.84,40.50%,1.44%,1.43%,2.43,70.84%
2022-12-31,5.55亿,-35.37%,5.42亿,-35.60%,15.88亿,-24.87%,0.2300,4.43,2.48,0.46,0.27,34.86%,5.55%,4.58%,2.28,69.51%
2022-09-30,4.50亿,-25.94%,4.32亿,-26.09%,11.94亿,-19.32%,0.1800,4.13,False,False,-1.63,37.62%,4.53%,4.43%,2.63,72.39%
2022-06-30,2.42亿,-13.58%,2.32亿,False,7.58亿,-2.20%,0.1000,4.04,2.11,0.43,-0.87,31.87%,2.46%,2.43%,2.76,73.40%
2022-03-31,8347.33万,63.53%,7856.40万,60.03%,3.08亿,13.23%,0.0300,3.98,2.11,0.40,-1.04,27.37%,0.86%,0.86%,2.86,74.07%
2021-12-31,8.59亿,40.61%,8.41亿,36.98%,21.13亿,27.47%,0.3500,3.95,2.11,0.37,0.22,40.63%,9.21%,8.84%,2.35,70.15%
2021-09-30,6.07亿,37.46%,5.85亿,False,14.80亿,15.94%,0.2500,3.84,2.11,0.29,-1.87,40.99%,6.57%,6.43%,2.60,72.16%
2021-06-30,2.80亿,10.97%,False,False,7.75亿,0.08%,0.1100,False,2.11,0.22,False,37.03%,False,False,2.56,71.85%
2021-03-31,5104.33万,False,4909.29万,False,2.72亿,False,0.0200,3.65,2.11,0.16,-0.46,18.74%,0.57%,0.57%,2.19,68.59%
2020-12-31,6.11亿,40.70%,6.14亿,42.67%,16.58亿,23.77%,0.3800,3.63,2.11,0.15,1.54,36.88%,10.59%,6.84%,1.96,66.18%
2020-09-30,4.42亿,False,False,False,12.77亿,False,False,False,2.11,0.20,False,36.22%,False,False,1.46,59.33%
2020-06-30,2.53亿,12.41%,False,False,7.76亿,25.04%,False,False,0.02,4.46,False,32.54%,False,False,3.46,77.52%
2019-12-31,4.34亿,148.24%,4.30亿,148.24%,13.40亿,64.32%,0.3300,6.89,0.02,4.06,0.32,32.39%,10.19%,9.69%,3.52,77.80%
2019-06-30,2.25亿,337.25%,False,False,6.21亿,133.54%,False,False,0.02,3.98,False,36.21%,False,False,3.68,78.59%
2018-12-31,1.75亿,-44.58%,1.73亿,False,8.15亿,-12.39%,0.1300,6.30,0.02,3.69,-1.38,21.46%,4.36%,4.27%,3.61,78.25%
2018-06-30,5142.42万,-65.97%,False,False,2.66亿,-30.83%,False,False,False,False,False,19.35%,False,False,False,False
2017-12-31,3.15亿,-25.40%,False,False,9.31亿,-15.56%,False,False,0.02,3.47,False,33.89%,False,False,3.83,79.25%
2017-06-30,1.51亿,-38.32%,False,False,3.84亿,-22.59%,False,False,0.0000,3.36,False,39.33%,False,False,3.90,79.60%
2016-12-31,4.23亿,-40.99%,False,False,11.02亿,-32.56%,False,False,0.0000,3.13,False,38.85%,False,False,4.21,80.79%
2016-09-30,3.39亿,False,False,False,7.44亿,False,False,False,0.0000,3.18,False,45.54%,False,False,4.21,80.80%
2016-06-30,2.45亿,-52.75%,False,False,4.96亿,-48.92%,False,False,0.30,3.09,False,49.36%,False,False,4.53,81.91%
2015-12-31,7.17亿,162.21%,False,False,16.33亿,109.63%,False,False,0.0000,2.66,False,43.87%,False,False,5.51,84.63%
2015-06-30,5.19亿,False,False,False,9.72亿,False,False,False,0.33,2.72,False,53.36%,False,False,6.80,87.18%
2014-12-31,2.73亿,87.92%,False,False,7.79亿,78.53%,False,False,0.0000,1.90,False,35.07%,False,False,5.13,83.69%
2013-12-31,1.45亿,43.14%,False,False,4.36亿,22.57%,False,False,-0.09,1.60,False,33.32%,False,False,2.86,74.12%
2012-12-31,1.02亿,-29.50%,False,False,3.56亿,-57.25%,False,False,-0.04,1.45,False,28.53%,False,False,2.85,74.01%
2011-12-31,1.44亿,-45.27%,False,False,8.33亿,-21.76%,False,False,-0.06,1.50,False,28.85%,False,False,1.94,62.18%
2010-12-31,2.63亿,-15.93%,False,False,10.65亿,-5.57%,False,False,-0.0100,1.35,False,37.05%,False,False,2.51,68.27%
2009-12-31,3.13亿,651.23%,False,False,11.27亿,93.13%,False,False,0.0073,1.01,False,38.76%,False,False,3.36,74.30%
2008-12-31,4169.00万,-90.16%,False,False,5.84亿,-39.25%,False,False,-0.02,0.68,False,34.06%,False,False,2.37,66.26%
2007-12-31,4.24亿,190.17%,False,False,9.61亿,214.10%,False,False,0.04,0.61,False,43.77%,False,False,2.71,73.07%
2006-12-31,1.46亿,False,False,False,3.06亿,False,False,False,0.0000,0.16,False,47.73%,False,False,1.83,64.68%
