报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
2024-06-30,6833.51万,-67.43%,5928.60万,-71.85%,5.41亿,-27.67%,0.0100,1.40,0.41,-0.16,-0.05,12.62%,0.72%,0.72%,0.60,37.40%
2024-03-31,3483.17万,-76.61%,3367.86万,-77.47%,2.78亿,-40.47%,0.0050,1.40,0.41,-0.17,-0.04,12.55%,0.37%,0.37%,0.71,41.37%
2023-12-31,2.51亿,154.57%,2.52亿,155.82%,13.71亿,16.93%,0.0370,1.39,0.41,-0.17,0.06,18.32%,2.68%,2.64%,0.68,40.44%
2023-09-30,2.51亿,494.15%,2.47亿,468.09%,10.35亿,3.38%,0.0370,1.39,0.41,-0.17,-0.03,24.27%,2.68%,2.65%,0.61,37.88%
2023-06-30,2.10亿,369.65%,2.11亿,358.43%,7.49亿,1.17%,0.0310,1.38,0.41,-0.18,0.04,28.06%,2.25%,2.22%,0.72,41.70%
2023-03-31,1.49亿,1503.35%,1.49亿,2116.93%,4.66亿,88.82%,0.0220,1.38,0.41,-0.19,-0.04,31.98%,1.60%,1.59%,0.79,44.17%
2022-12-31,-4.59亿,-478.45%,-4.51亿,-490.37%,11.72亿,-28.10%,-0.0670,1.35,0.41,-0.21,0.0100,-39.53%,-4.85%,-4.98%,0.66,39.67%
2022-09-30,-6367.54万,-118.71%,-6713.45万,-119.78%,10.01亿,-21.59%,-0.0090,1.41,0.41,-0.15,-0.15,-6.81%,-0.66%,-0.66%,0.65,39.19%
2022-06-30,-7781.65万,-156.56%,-8148.74万,-159.56%,7.40亿,10.12%,-0.0110,1.41,0.41,-0.15,-0.04,-10.30%,-0.81%,-0.81%,0.80,44.22%
2022-03-31,928.84万,98.70%,674.23万,110.74%,2.47亿,94.04%,0.0010,1.43,0.41,-0.14,-0.16,2.31%,0.10%,0.10%,0.82,45.04%
2021-12-31,1.21亿,115.95%,1.16亿,124.35%,16.30亿,39.16%,0.0180,1.42,0.41,-0.14,0.32,8.21%,1.26%,1.25%,1.06,51.29%
2021-09-30,3.40亿,243.21%,3.39亿,323.62%,12.77亿,59.92%,0.0500,1.46,0.41,-0.11,0.33,26.86%,3.49%,3.43%,1.13,52.82%
2021-06-30,1.38亿,159.95%,1.37亿,174.09%,6.72亿,35.70%,0.0200,1.43,0.41,-0.14,0.42,20.71%,1.42%,1.41%,1.55,60.73%
2021-03-31,467.46万,-95.25%,319.93万,-96.84%,1.27亿,-61.26%,0.0010,1.41,0.41,-0.15,-0.05,2.73%,0.05%,0.05%,1.38,57.92%
2020-12-31,-7.61亿,-264.30%,-4.75亿,-212.47%,11.72亿,-34.07%,-0.1120,1.41,0.41,-0.15,0.59,-64.51%,-7.62%,-7.92%,1.35,57.37%
2020-09-30,9917.34万,-75.25%,8013.77万,-79.57%,7.98亿,-43.22%,0.0150,1.54,0.41,-0.03,0.53,11.99%,0.95%,0.95%,1.38,57.93%
2020-06-30,5292.86万,-85.21%,4991.54万,-85.75%,4.95亿,-53.76%,0.0080,1.53,0.41,-0.03,0.49,7.94%,0.51%,0.51%,2.08,67.41%
2020-03-31,9834.70万,-72.28%,1.01亿,-71.18%,3.29亿,-53.69%,0.0140,1.53,0.41,-0.03,0.16,27.01%,0.95%,0.94%,2.05,67.04%
2019-12-31,4.63亿,135.01%,4.22亿,131.65%,17.77亿,352.72%,0.0680,1.52,0.41,-0.04,0.69,26.66%,4.57%,4.47%,1.96,66.01%
2019-09-30,4.01亿,326.28%,3.92亿,316.25%,14.06亿,115.57%,0.0590,1.50,0.41,-0.05,0.57,30.74%,3.98%,3.91%,2.23,68.39%
2019-06-30,3.58亿,439.65%,3.50亿,428.91%,10.71亿,117.10%,0.0530,1.50,0.41,-0.06,0.43,33.92%,3.56%,3.51%,2.39,69.94%
2019-03-31,3.55亿,6654.14%,3.51亿,918.16%,7.09亿,109.12%,0.0520,1.51,0.41,-0.06,0.29,49.69%,3.53%,3.46%,3.12,75.28%
2018-12-31,-13.22亿,-1237.14%,-13.33亿,-1181.87%,3.93亿,-69.96%,-0.1940,1.51,0.41,-0.03,0.36,-337.68%,-11.99%,-12.85%,3.09,74.99%
2018-09-30,-1.77亿,-303.57%,-1.81亿,-322.16%,6.52亿,-27.27%,-0.0260,1.65,0.41,0.14,0.57,-27.19%,-1.53%,-1.57%,2.47,70.62%
2018-06-30,-1.05亿,14.46%,-1.07亿,15.93%,4.93亿,31.35%,-0.0150,1.69,0.41,0.15,0.52,-21.38%,-0.90%,-0.91%,2.53,71.10%
2018-03-31,525.25万,105.55%,3449.54万,136.25%,3.39亿,112.54%,0.0010,1.73,0.41,0.17,-0.03,1.74%,0.04%,0.04%,3.03,74.67%
2017-12-31,1.16亿,-82.59%,1.23亿,-81.46%,13.07亿,-28.11%,0.0170,1.72,0.41,0.17,0.09,9.71%,0.99%,0.99%,2.98,74.32%
2017-09-30,8698.26万,-69.86%,8165.55万,-71.60%,8.87亿,-13.09%,0.0130,1.72,0.41,0.17,0.03,11.04%,0.74%,0.74%,2.67,72.14%
2017-06-30,-1.23亿,-184.21%,-1.27亿,-187.26%,3.74亿,-37.11%,-0.0180,1.68,0.41,0.14,0.20,-30.15%,-1.05%,-1.07%,2.41,69.95%
2017-03-31,-9465.88万,-1374.26%,-9515.51万,-1381.97%,1.59亿,-14.18%,-0.0140,1.72,0.41,0.18,0.41,-60.75%,-0.80%,-0.81%,2.45,69.56%
2016-12-31,6.68亿,-41.07%,6.65亿,-41.08%,18.04亿,-34.24%,0.1000,1.73,0.41,0.19,-0.59,36.93%,5.87%,5.65%,2.35,68.80%
2016-09-30,2.89亿,-63.03%,2.88亿,-63.02%,10.20亿,-46.68%,0.0430,1.71,0.41,0.16,-0.61,27.83%,2.60%,2.48%,2.36,69.16%
2016-06-30,1.46亿,-84.05%,1.45亿,-84.13%,5.94亿,-68.38%,0.0330,2.51,1.12,0.20,-0.59,24.21%,1.35%,1.28%,2.14,67.17%
2016-03-31,742.86万,-97.30%,742.25万,-97.30%,1.86亿,-67.93%,0.0010,2.48,1.12,0.17,-0.44,3.02%,0.10%,0.07%,2.43,69.82%
2015-12-31,11.33亿,108.54%,11.28亿,107.44%,27.43亿,101.84%,0.2140,2.10,0.52,0.32,-2.27,41.36%,16.57%,15.31%,3.53,76.61%
2015-09-30,7.80亿,123.29%,7.77亿,122.15%,19.13亿,118.88%,0.1470,1.97,0.52,0.32,-1.94,44.07%,11.69%,11.20%,3.39,72.70%
2015-06-30,9.17亿,534.48%,9.15亿,536.49%,18.79亿,349.40%,0.2600,2.04,0.52,0.36,-0.03,50.37%,13.54%,12.75%,3.91,76.25%
2015-03-31,2.75亿,345.11%,2.75亿,344.78%,5.79亿,219.69%,0.0780,1.85,0.52,0.18,0.27,49.58%,4.21%,4.22%,1.77,61.72%
2014-12-31,5.43亿,628.41%,5.44亿,620.35%,13.59亿,178.65%,0.1710,1.81,0.52,0.15,-0.34,42.13%,11.08%,8.49%,1.09,49.38%
2014-09-30,3.50亿,343.44%,3.50亿,342.01%,8.74亿,120.41%,0.1140,2.64,1.28,0.21,-1.22,42.55%,7.94%,5.63%,0.64,37.00%
2014-06-30,1.45亿,604.04%,1.44亿,572.87%,4.18亿,78.83%,0.0770,2.55,1.28,0.12,-0.82,35.39%,4.13%,2.40%,0.65,39.01%
2014-03-31,6185.86万,213.55%,6186.26万,213.70%,1.81亿,51.98%,0.0370,1.36,0.0004,0.15,0.0055,34.25%,2.79%,2.75%,1.37,57.80%
