报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,523.24万,129.26%,-1898.92万,12.61%,1.36亿,5.40%,0.0150,2.65,0.89,0.66,0.26,3.69%,27.28%,0.58%,0.58%,601.30,0.52,344.63,256.67,3.16,2.19,2.03,0.26,20.59%
2024-03-31,277.28万,224.33%,-2064.25万,-309.46%,3168.04万,-54.20%,0.0080,2.64,0.89,0.66,0.13,7.64%,14.75%,0.31%,0.31%,1153.34,0.14,664.21,489.13,3.19,2.13,1.61,0.26,20.43%
2023-12-31,-182.48万,-113.50%,-3198.76万,-668.16%,3.37亿,2.40%,-0.0100,2.63,0.89,0.65,0.24,-0.38%,24.86%,-0.20%,-0.20%,566.78,1.16,310.77,256.01,3.35,2.35,1.97,0.24,19.26%
2023-09-30,-2411.42万,-478.01%,-2885.60万,-8477.55%,2.17亿,21.16%,-0.0710,2.57,0.89,0.58,0.24,-10.67%,22.74%,-2.66%,-2.76%,692.46,0.69,388.55,303.92,4.05,2.38,1.95,0.22,17.84%
2023-06-30,-1788.20万,-1930.02%,-2172.90万,-929.25%,1.29亿,0.31%,-0.0530,2.59,0.89,0.61,0.05,-13.79%,20.57%,-1.96%,-2.03%,768.83,0.43,420.27,348.57,3.25,2.07,1.51,0.28,21.52%
2023-03-31,-223.02万,-349.57%,-504.14万,-1026.51%,6916.46万,6.63%,-0.0070,2.64,0.89,0.65,0.02,-3.41%,27.50%,-0.24%,-0.25%,778.98,0.21,432.69,346.29,3.34,2.11,1.66,0.27,20.94%
2022-12-31,1351.49万,-18.79%,563.00万,-3.88%,3.29亿,-7.66%,0.0400,2.65,0.89,0.66,0.04,4.27%,34.71%,1.51%,1.50%,707.48,0.90,400.62,306.85,3.15,1.99,1.53,0.29,22.17%
2022-09-30,637.93万,31.12%,34.44万,107.87%,1.79亿,-14.13%,0.0190,2.63,0.89,0.64,0.13,3.35%,36.45%,0.72%,0.71%,1022.44,0.42,636.34,386.10,3.26,1.79,1.55,0.29,22.21%
2022-06-30,97.71万,-91.39%,-211.11万,-152.14%,1.29亿,8.66%,0.0030,2.62,0.89,0.63,0.10,0.80%,37.12%,0.11%,0.11%,913.95,0.34,535.87,378.07,3.72,2.26,1.92,0.25,19.67%
2022-03-31,89.36万,-82.52%,-44.75万,-111.29%,6486.59万,38.21%,0.0030,2.61,0.89,0.63,-0.0100,1.14%,32.65%,0.10%,0.10%,849.30,0.19,481.80,367.50,3.82,2.35,1.71,0.25,19.25%
2021-12-31,1664.25万,201.00%,585.73万,126.58%,3.56亿,47.89%,0.0500,2.61,0.89,0.63,0.0022,4.67%,33.40%,1.89%,1.87%,625.22,1.02,351.46,273.76,3.54,2.25,1.89,0.26,20.65%
2021-09-30,486.53万,138.76%,-437.41万,71.46%,2.09亿,30.00%,0.0140,2.58,0.89,0.60,0.06,2.33%,31.52%,0.56%,0.56%,792.95,0.58,463.20,329.75,3.64,2.05,1.88,0.25,19.76%
2021-06-30,1134.27万,245.56%,404.89万,140.32%,1.19亿,40.55%,0.0300,2.60,0.89,0.62,0.10,9.56%,36.92%,1.29%,1.28%,972.96,0.30,602.21,370.75,4.84,2.52,2.25,0.19,15.77%
