报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
2024-06-30,5.46亿,19.73%,5.40亿,20.05%,16.78亿,29.55%,0.1500,4.72,2.20,0.70,0.35,32.72%,3.13%,3.14%,2.37,69.88%
2024-03-31,2.63亿,21.21%,2.57亿,22.56%,8.82亿,37.21%,0.0700,4.72,2.20,0.71,0.23,29.82%,1.52%,1.51%,1.88,64.79%
2023-12-31,6.77亿,4.85%,6.74亿,4.28%,24.76亿,23.30%,0.1800,4.66,2.20,0.64,-0.71,27.59%,4.03%,3.94%,2.39,70.06%
2023-09-30,5.68亿,6.04%,5.60亿,6.18%,17.73亿,15.87%,0.1500,4.59,2.20,0.66,-0.87,32.29%,3.39%,3.35%,2.25,68.75%
2023-06-30,4.56亿,26.73%,4.50亿,27.61%,12.95亿,34.94%,0.1200,4.56,2.20,0.63,-0.49,35.38%,2.72%,2.71%,2.33,69.53%
2023-03-31,2.17亿,73.02%,2.09亿,67.19%,6.43亿,63.35%,0.0600,4.57,2.20,0.67,-0.29,33.67%,1.30%,1.29%,2.25,68.85%
2022-12-31,6.46亿,-33.93%,6.46亿,-33.92%,20.08亿,-26.75%,0.1800,4.48,2.20,0.61,0.33,32.37%,3.92%,3.91%,2.11,67.38%
2022-09-30,5.36亿,-39.35%,5.28亿,-39.52%,15.30亿,-27.47%,0.1500,4.51,2.20,0.63,-0.17,35.23%,3.23%,3.22%,2.04,66.67%
2022-06-30,3.60亿,-46.65%,3.53亿,-47.42%,9.60亿,-35.13%,0.1000,4.46,2.20,0.59,0.67,37.70%,2.16%,2.19%,2.21,68.38%
2022-03-31,1.25亿,-29.14%,1.25亿,-29.26%,3.93亿,-20.12%,0.0300,4.50,2.20,0.62,0.55,32.06%,0.76%,0.76%,2.00,66.19%
2021-12-31,9.77亿,20.71%,9.78亿,20.69%,27.42亿,15.91%,0.2700,4.46,2.20,0.59,-0.71,35.96%,6.06%,5.94%,2.12,67.52%
2021-09-30,8.83亿,23.47%,8.72亿,22.34%,21.10亿,11.15%,0.2400,4.43,2.20,0.64,-0.95,42.08%,5.48%,5.41%,2.18,68.09%
2021-06-30,6.75亿,28.57%,6.70亿,28.17%,14.79亿,12.09%,0.1800,4.35,2.19,0.58,-0.26,45.79%,4.18%,4.21%,2.20,68.57%
2021-03-31,1.77亿,-23.46%,1.77亿,-24.35%,4.93亿,-14.71%,0.0500,4.33,2.19,0.58,-0.17,35.93%,1.11%,1.11%,1.87,64.96%
2020-12-31,8.10亿,14.06%,8.10亿,14.02%,23.65亿,7.43%,0.2400,4.28,2.19,0.53,-1.26,34.46%,6.74%,5.13%,1.82,64.32%
2020-09-30,7.15亿,9.72%,7.13亿,9.70%,18.98亿,14.38%,0.2200,3.45,1.27,0.64,-1.27,37.96%,6.34%,6.28%,2.69,72.71%
2020-06-30,5.25亿,36.70%,5.23亿,36.59%,13.20亿,31.66%,0.1600,3.44,1.27,0.58,-0.53,40.03%,4.63%,4.63%,2.73,72.97%
2020-03-31,2.31亿,9.39%,2.34亿,10.76%,5.77亿,13.90%,0.0700,3.47,1.27,0.56,-0.62,40.11%,2.06%,2.02%,2.53,71.46%
