报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,6.33亿,4.71%,5.67亿,4.52%,110.51亿,10.95%,0.6851,8.89,0.89,6.67,0.79,6.05%,19.41%,7.79%,7.70%,95.35,5.73,31.44,63.91,2.08,1.78,1.78,0.75,41.29%
2024-03-31,3.80亿,13.87%,3.28亿,11.10%,54.85亿,12.37%,0.4112,8.86,0.40,7.20,0.07,7.36%,20.17%,4.74%,4.63%,90.60,2.87,31.33,59.27,2.16,1.85,1.84,0.70,39.58%
2023-12-31,15.27亿,19.05%,13.98亿,21.00%,233.51亿,16.78%,1.6577,8.45,0.40,6.79,2.82,7.04%,18.86%,20.97%,19.49%,80.88,11.83,30.43,50.44,1.88,1.61,1.61,0.89,45.47%
2023-09-30,10.94亿,16.99%,9.97亿,18.34%,158.60亿,15.52%,1.1829,8.05,0.47,6.32,1.45,7.36%,20.39%,15.24%,14.68%,88.27,8.60,31.39,56.89,1.95,1.69,1.69,0.81,43.12%
2023-06-30,6.04亿,14.34%,5.43亿,12.10%,99.61亿,18.11%,0.6528,7.51,0.46,5.79,0.73,6.59%,19.52%,8.55%,8.69%,92.98,5.32,33.83,59.15,1.96,1.66,1.66,0.78,42.13%
2023-03-31,3.34亿,21.02%,2.95亿,15.41%,48.82亿,15.44%,0.3611,7.71,0.47,5.99,0.15,7.49%,19.68%,4.77%,4.67%,90.45,2.56,35.09,55.36,2.06,1.72,1.72,0.71,40.23%
2022-12-31,12.82亿,-15.51%,11.56亿,-14.37%,199.96亿,13.57%,1.3874,7.39,0.46,5.63,1.46,6.78%,19.36%,19.60%,18.72%,77.51,10.17,35.41,42.11,1.85,1.52,1.51,0.84,44.31%
2022-09-30,9.35亿,-16.28%,8.42亿,-15.12%,137.30亿,12.99%,1.0120,7.16,0.49,5.26,1.01,7.13%,20.65%,14.51%,14.08%,82.91,7.20,37.50,45.41,1.94,1.59,1.58,0.75,41.38%
2022-06-30,5.29亿,-20.65%,4.84亿,-21.01%,84.33亿,9.72%,0.5712,6.72,0.49,4.82,0.26,6.49%,20.50%,8.28%,8.49%,89.00,4.30,41.90,47.10,1.91,1.49,1.48,0.74,41.33%
2022-03-31,2.76亿,-16.04%,2.56亿,-13.34%,42.29亿,10.93%,0.2989,7.00,0.51,5.14,0.0045,6.76%,21.71%,4.35%,4.25%,83.37,2.13,42.25,41.12,2.08,1.62,1.61,0.64,37.72%
2021-12-31,15.18亿,20.90%,13.50亿,22.38%,176.07亿,34.02%,1.6450,6.68,0.49,4.85,1.68,8.71%,23.21%,26.82%,24.50%,71.75,9.42,38.20,33.55,1.83,1.45,1.44,0.79,42.90%
2021-09-30,11.17亿,22.38%,9.92亿,25.13%,121.52亿,42.33%,1.2114,6.16,0.45,4.42,1.06,9.21%,24.15%,19.88%,19.55%,81.17,6.49,41.59,39.59,1.89,1.44,1.40,0.72,40.50%
2021-06-30,6.66亿,43.43%,6.13亿,58.32%,76.86亿,61.43%,0.7226,5.62,0.40,3.93,0.39,8.64%,24.01%,12.19%,12.78%,85.92,4.12,43.68,42.24,1.84,1.36,1.35,0.73,40.87%
2021-03-31,3.28亿,42.50%,2.95亿,69.49%,38.12亿,82.96%,0.3552,5.99,0.61,4.07,0.18,8.66%,24.63%,6.09%,5.91%,80.63,2.18,41.25,39.38,1.91,1.50,1.49,0.70,40.04%
2020-12-31,12.55亿,18.43%,11.03亿,9.70%,131.38亿,17.92%,1.3558,5.60,0.58,3.71,1.37,9.43%,25.36%,26.91%,24.17%,85.02,7.26,49.58,35.45,1.74,1.38,1.37,0.82,43.96%
2020-09-30,9.13亿,13.85%,7.93亿,4.24%,85.38亿,7.43%,0.9879,5.36,0.52,3.36,0.96,10.47%,27.08%,20.50%,18.38%,96.05,4.87,55.45,40.60,2.02,1.59,1.58,0.62,37.23%
2020-06-30,4.65亿,-1.44%,3.87亿,-9.42%,47.61亿,-1.60%,0.5035,4.84,0.49,2.87,0.14,9.43%,27.07%,10.77%,10.34%,112.62,2.59,69.40,43.22,2.17,1.53,1.52,0.52,32.89%
2020-03-31,2.30亿,-10.95%,1.74亿,-25.21%,20.84亿,-11.55%,0.2504,4.82,0.30,3.04,-0.28,10.35%,27.92%,5.34%,5.20%,128.29,1.10,81.79,46.50,2.19,1.51,1.50,0.51,32.51%
2019-12-31,10.60亿,31.39%,10.05亿,34.13%,111.41亿,30.53%,1.1523,4.57,0.30,2.79,1.18,9.66%,26.13%,28.17%,25.23%,82.59,6.80,52.95,29.64,1.76,1.26,1.25,0.74,41.03%
2019-09-30,8.02亿,28.36%,7.61亿,32.88%,79.47亿,29.78%,0.8716,4.28,0.30,2.61,0.74,10.23%,26.79%,21.92%,20.37%,89.18,5.05,53.45,35.73,1.82,1.32,1.32,0.69,39.33%
2019-06-30,4.71亿,25.78%,4.27亿,25.39%,48.39亿,27.78%,0.5122,3.92,0.30,2.25,0.27,9.81%,26.20%,13.26%,13.07%,94.65,3.08,58.47,36.19,1.78,1.20,1.20,0.68,38.89%
2019-03-31,2.59亿,26.42%,2.33亿,29.54%,23.56亿,28.00%,0.2812,3.99,0.30,2.32,0.11,11.02%,27.07%,7.31%,7.05%,82.89,1.74,51.58,31.30,2.25,1.31,1.31,0.50,32.78%
2018-12-31,8.07亿,27.25%,7.49亿,37.63%,85.35亿,34.26%,0.8770,3.71,0.30,2.04,0.90,9.47%,25.83%,26.16%,23.66%,81.39,6.61,54.44,26.95,1.94,0.93,0.93,0.64,38.41%
2018-09-30,6.25亿,27.31%,5.72亿,29.89%,61.24亿,36.29%,0.6790,3.51,0.30,1.92,0.54,10.30%,25.46%,20.70%,19.35%,84.59,5.17,52.20,32.39,2.09,1.03,1.03,0.54,34.49%
2018-06-30,3.75亿,29.61%,3.41亿,24.88%,37.87亿,35.95%,0.4072,3.24,0.30,1.65,0.18,9.91%,25.60%,12.72%,12.58%,86.75,3.20,56.28,30.47,2.09,0.88,0.88,0.52,33.67%
2018-03-31,2.05亿,23.22%,1.80亿,15.37%,18.40亿,30.25%,0.2224,3.30,0.30,1.71,-0.04,10.86%,27.19%,6.97%,6.73%,81.80,1.61,55.84,25.96,2.59,1.86,1.86,0.40,28.04%
2017-12-31,6.34亿,28.63%,5.45亿,25.54%,63.57亿,36.35%,0.6892,3.08,0.30,1.49,0.78,9.87%,25.73%,24.45%,22.37%,79.19,5.88,61.22,17.97,2.13,0.75,0.75,0.52,33.60%
2017-09-30,4.91亿,24.14%,4.41亿,24.14%,44.93亿,30.14%,0.5334,2.92,0.30,1.41,0.41,10.76%,26.47%,19.26%,18.24%,79.19,4.33,62.34,16.85,2.59,0.92,0.92,0.40,27.92%
2017-06-30,2.89亿,15.36%,2.73亿,18.51%,27.85亿,27.80%,0.3142,2.71,0.30,1.19,0.20,10.07%,26.58%,11.57%,11.61%,81.70,2.68,67.13,14.57,2.49,0.67,0.67,0.38,26.80%
2017-03-31,1.66亿,13.84%,1.56亿,16.41%,14.13亿,24.66%,0.1805,2.82,0.30,1.30,0.14,11.50%,26.82%,6.61%,6.40%,73.17,1.50,60.08,13.09,3.13,1.28,1.28,0.32,23.71%
2016-12-31,4.93亿,16.63%,4.34亿,12.82%,46.62亿,24.36%,0.5358,2.64,0.30,1.12,0.74,10.32%,26.42%,21.81%,20.29%,82.77,4.96,72.59,10.18,2.75,0.96,0.96,0.37,26.56%
2016-09-30,3.95亿,21.49%,3.55亿,14.96%,34.52亿,20.22%,0.4297,2.54,0.30,1.07,0.43,11.34%,26.93%,17.67%,16.95%,79.77,4.01,67.26,12.50,3.21,1.03,1.03,0.30,22.23%
2016-06-30,2.51亿,20.81%,2.30亿,12.32%,21.80亿,17.97%,0.2724,2.38,0.30,0.91,0.23,11.17%,27.45%,11.31%,11.46%,85.94,2.45,73.61,12.33,2.95,0.78,0.78,0.33,23.80%
2016-03-31,1.46亿,33.34%,1.34亿,22.30%,11.33亿,20.25%,0.1586,5.03,1.59,2.10,0.31,12.52%,27.09%,6.51%,6.31%,76.10,1.36,65.94,10.16,3.53,1.75,1.75,0.26,20.42%
2015-12-31,4.23亿,24.47%,3.84亿,24.56%,37.49亿,23.19%,0.4619,4.71,1.59,1.78,1.08,10.86%,26.55%,21.44%,19.50%,86.12,4.57,78.79,7.33,3.06,1.02,1.02,0.31,23.08%
2015-09-30,3.25亿,19.09%,3.09亿,21.69%,28.72亿,22.47%,0.3589,4.50,1.59,1.67,0.64,11.01%,25.91%,16.88%,15.72%,79.86,3.83,70.55,9.32,3.80,1.22,1.22,0.23,18.09%
2015-06-30,2.07亿,14.80%,2.05亿,25.45%,18.48亿,23.85%,0.2305,4.25,1.60,1.41,0.57,10.88%,26.14%,11.04%,10.61%,82.88,2.40,75.12,7.76,3.03,0.69,0.69,0.29,22.08%
2015-03-31,1.09亿,25.93%,1.09亿,44.60%,9.43亿,24.56%,0.2379,4.54,1.60,1.70,0.39,11.26%,26.23%,6.58%,5.24%,71.73,1.40,64.29,7.44,3.84,2.80,2.80,0.22,17.85%
2014-12-31,3.40亿,21.13%,3.09亿,17.29%,30.43亿,28.96%,0.8489,3.09,0.14,1.68,0.86,10.82%,25.66%,31.83%,27.46%,81.96,4.77,75.51,6.45,1.89,0.64,0.64,0.38,27.12%
2014-09-30,2.73亿,False,2.54亿,False,23.45亿,False,0.6830,2.93,0.14,1.60,0.73,11.34%,25.66%,26.43%,23.35%,73.64,4.08,66.16,7.48,1.99,0.71,0.71,0.35,25.41%
