报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2024-06-30,2.20亿,26.24%,2.14亿,27.30%,13.80亿,16.05%,0.2500,2.88,0.52,1.19,0.29,17.77%,41.24%,8.31%,8.60%,131.86,1.77,101.45,30.41,5.00,3.98,3.98,0.22,17.74%
2024-03-31,1.09亿,43.44%,1.07亿,43.95%,6.79亿,25.08%,0.1229,2.98,0.52,1.26,0.10,18.18%,40.08%,4.21%,4.13%,127.23,0.90,100.16,27.07,5.93,4.89,4.89,0.19,15.41%
2023-12-31,4.20亿,70.17%,3.78亿,72.53%,26.94亿,21.64%,0.4700,2.86,0.52,1.14,0.57,17.06%,38.16%,17.43%,16.51%,133.89,3.34,107.92,25.97,4.44,3.22,3.22,0.26,20.12%
2023-09-30,2.77亿,61.58%,2.70亿,80.95%,18.62亿,21.56%,0.3121,2.71,0.53,1.00,0.45,16.56%,37.02%,11.73%,11.51%,146.95,2.35,114.72,32.23,4.02,3.24,3.24,0.29,22.22%
2023-06-30,1.74亿,64.51%,1.68亿,90.34%,11.89亿,19.42%,0.2000,2.60,0.53,0.89,0.22,16.31%,36.24%,7.19%,7.54%,139.57,1.70,105.85,33.72,5.16,4.26,4.26,0.22,17.56%
2023-03-31,7620.52万,38.18%,7443.76万,69.78%,5.43亿,13.50%,0.0857,2.67,0.53,0.98,-0.06,15.33%,34.52%,3.26%,3.21%,152.87,0.76,118.75,34.12,7.01,5.59,5.59,0.16,13.53%
2022-12-31,2.47亿,-21.86%,2.19亿,-8.93%,22.14亿,-3.88%,0.2800,2.59,0.53,0.89,0.46,12.05%,33.00%,10.97%,10.71%,164.06,2.75,130.70,33.36,5.33,4.13,4.13,0.21,17.14%
2022-09-30,1.72亿,-32.45%,1.49亿,-21.62%,15.32亿,-8.07%,0.1931,2.52,0.53,0.83,0.28,12.25%,31.62%,7.70%,7.68%,179.60,1.93,139.56,40.04,5.67,4.30,4.30,0.20,16.04%
2022-06-30,1.06亿,-48.82%,8826.87万,-41.47%,9.95亿,-11.78%,0.1200,2.42,0.53,0.76,-0.0087,11.65%,31.58%,4.71%,4.91%,192.25,1.21,148.98,43.26,6.78,4.83,4.83,0.16,13.69%
2022-03-31,5514.98万,-29.62%,4384.33万,-39.27%,4.78亿,-9.04%,0.0620,2.53,0.53,0.88,0.03,12.43%,29.65%,2.48%,2.45%,190.62,0.60,150.45,40.17,7.02,5.12,5.12,0.15,13.18%
2021-12-31,3.16亿,14.30%,2.40亿,-3.33%,23.04亿,19.10%,0.3500,2.47,0.53,0.82,0.32,14.21%,32.41%,14.82%,14.37%,167.56,2.70,133.48,34.08,5.41,3.87,3.87,0.20,16.48%
2021-09-30,2.54亿,37.69%,1.90亿,17.49%,16.66亿,31.26%,0.2859,2.41,0.53,0.77,0.04,15.86%,32.02%,11.97%,11.87%,180.26,1.88,143.30,36.97,7.38,4.89,4.89,0.15,13.23%
2021-06-30,2.07亿,92.78%,1.51亿,65.57%,11.28亿,50.63%,0.2328,2.35,0.53,0.72,-0.12,18.97%,33.78%,9.59%,9.89%,196.53,1.12,160.51,36.02,5.42,3.25,3.25,0.21,16.94%
2021-03-31,7836.34万,58.68%,7219.74万,67.43%,5.26亿,71.25%,0.0881,2.41,0.53,0.77,-0.08,15.37%,33.26%,3.74%,3.66%,201.20,0.55,164.35,36.85,4.86,3.12,3.12,0.22,17.95%
2020-12-31,2.76亿,124.85%,2.49亿,165.84%,19.34亿,55.59%,0.3100,2.31,0.53,0.68,0.32,15.05%,33.17%,14.04%,13.45%,180.36,2.50,143.96,36.40,4.21,2.99,2.99,0.26,20.41%
2020-09-30,1.85亿,130.03%,1.62亿,180.73%,12.70亿,61.10%,0.2083,2.21,0.52,0.60,0.27,15.48%,33.89%,9.60%,9.41%,199.10,1.71,158.08,41.02,4.57,3.26,3.26,0.23,18.69%
